Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
いけだまる,5,2 か月前,"連休中日の21:30に3人で初来店！
待なくすぐ入れましたが、ほぼ満席でした。

日本酒の種類がとても多いにも関わらず(写真撮り忘れ)、比較的リーズナブル。
炭火焼きや低温調理、蒸しがオススメのメニューはどれをとっても本当に美味しくて、特にレバ刺しは絶品でした。
21:30だったので売り切れもちらほら見られましたが、それでも大満足でした。次はもう少し早い時間に来て色んなメニューを楽しみたいです。
提供までもあまり待つことがなく、店員さんは優しいけれど大声を出すタイプの居酒屋ではなくで居心地が良かったです。",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
いけだまる,5,2 か月前,"連休中日の21:30に3人で初来店！
待なくすぐ入れましたが、ほぼ満席でした。

日本酒の種類がとても多いにも関わらず(写真撮り忘れ)、比較的リーズナブル。
炭火焼きや低温調理、蒸しがオススメのメニューはどれをとっても本当に美味しくて、特にレバ刺しは絶品でした。
21:30だったので売り切れもちらほら見られましたが、それでも大満足でした。次はもう少し早い時間に来て色んなメニューを楽しみたいです。
提供までもあまり待つことがなく、店員さんは優しいけれど大声を出すタイプの居酒屋ではなくで居心地が良かったです。",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
川尻健裕,4,10 か月前,2024年6月9日13:50訪問：何気なく昼呑みで入りました。女性陣が真っ先に見つけたのは１０００円の『昼呑みセット』。２品選択おつまみ＋シューマイ１個＋手羽焼き１個＋好きな飲み物・・・焼酎はどれが呑めるのかと店のお姉さんに聞いたら、どの焼酎でも結構です。原価割れだよこれ。焼酎ロックをゆっくり呑んで、さらにもう１杯お代わり。確認したら１杯８００円だった。あらら、なんか申し訳ない。そう思いながらレロレロに酔って店を出ました。感謝,居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
川尻健裕,4,10 か月前,2024年6月9日13:50訪問：何気なく昼呑みで入りました。女性陣が真っ先に見つけたのは１０００円の『昼呑みセット』。２品選択おつまみ＋シューマイ１個＋手羽焼き１個＋好きな飲み物・・・焼酎はどれが呑めるのかと店のお姉さんに聞いたら、どの焼酎でも結構です。原価割れだよこれ。焼酎ロックをゆっくり呑んで、さらにもう１杯お代わり。確認したら１杯８００円だった。あらら、なんか申し訳ない。そう思いながらレロレロに酔って店を出ました。感謝,居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
T ONO,4,5 か月前,"入り口がちょっと分かりにくいけど、階段をのぼっていく期待感。中は、明るい店内です。
焼酎が沢山あって、迷っていたらボトルを全部だして見せてくださいました。
コスパ最高です。",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
T ONO,4,5 か月前,"入り口がちょっと分かりにくいけど、階段をのぼっていく期待感。中は、明るい店内です。
焼酎が沢山あって、迷っていたらボトルを全部だして見せてくださいました。
コスパ最高です。",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
min 9,5,1 年前,"内装がきれいで落ち着いた雰囲気のお店です。十数席のカウンターと2〜4人座れるテーブルがいくつかありました。

頼んだ料理はすべておいしかったです。
たくさんの種類のシュウマイがあり、特に紅生姜のシュウマイは口の中がさっぱり出来て絶品でした✨
あと個人的にはいぶりがっこチーズ的なものが乗ったクラッカーとキムチ的な何かがとてもおいしかったです😋
酔っていてはっきり覚えていませんが日本酒をはじめ、お酒の種類も多かったと思います🍶

店員さんも気さくな対応をしてくださるのでとても良い時間を過ごせることが出来ました。
あと2階にあるのですが入口に灰皿がおいてありました。

どんなシチュエーションでも利用できるような素敵なお店です😊",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
min 9,5,1 年前,"内装がきれいで落ち着いた雰囲気のお店です。十数席のカウンターと2〜4人座れるテーブルがいくつかありました。

頼んだ料理はすべておいしかったです。
たくさんの種類のシュウマイがあり、特に紅生姜のシュウマイは口の中がさっぱり出来て絶品でした✨
あと個人的にはいぶりがっこチーズ的なものが乗ったクラッカーとキムチ的な何かがとてもおいしかったです😋
酔っていてはっきり覚えていませんが日本酒をはじめ、お酒の種類も多かったと思います🍶

店員さんも気さくな対応をしてくださるのでとても良い時間を過ごせることが出来ました。
あと2階にあるのですが入口に灰皿がおいてありました。

どんなシチュエーションでも利用できるような素敵なお店です😊",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
MA YA,4,11 か月前,"十条駅駅近くにできた宮崎本場の郷土料理が食べれるお店　ゴマカンパチや本場のチキン南蛮
何食べても美味しい了解　外れない
親鳥の骨付きモモ肉を炭火で食べる
弾力があり噛めば噛むほど味がでる
親鳥なので素直に硬いお肉
理解して食べないとね　びっくりしちゃう
ご馳走様でした",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
MA YA,4,11 か月前,"十条駅駅近くにできた宮崎本場の郷土料理が食べれるお店　ゴマカンパチや本場のチキン南蛮
何食べても美味しい了解　外れない
親鳥の骨付きモモ肉を炭火で食べる
弾力があり噛めば噛むほど味がでる
親鳥なので素直に硬いお肉
理解して食べないとね　びっくりしちゃう
ご馳走様でした",居酒屋 鶏とセイロ蒸 キンクラ 十条店,"
〒114-0034 東京都北区上十条２丁目２４−１２ 2階","
03-5948-6027",https://kinnokura-jujo2.foodre.jp/,"4.0
(33)",Unknown,居酒屋,35.7185129,139.7310357
