Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ハムカツ,4,3 か月前,山上からの眺めがとても良い。しかし、公共交通機関で行く場合は、JRまたはことでんの屋島駅からシャトルバスを利用することになるが、本数が少なく、タイミングが悪いと２時間近く待つことになる。しっかり時刻を確認した方が良い。,屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
ハムカツ,4,3 か月前,山上からの眺めがとても良い。しかし、公共交通機関で行く場合は、JRまたはことでんの屋島駅からシャトルバスを利用することになるが、本数が少なく、タイミングが悪いと２時間近く待つことになる。しっかり時刻を確認した方が良い。,屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
Shigeru Sakamoto,5,4 か月前,"岡山県の牛窓や小豆島から対岸に見えた台形の土地が屋島だと知ったので行ってみました。
3つの絶景ポイントがあります。
寺のそばにあるのは、獅子の霊巖。高松市街を見下ろせ、北嶺の向こうに瀬戸内海が見えます。さほどの感動はない。
ここから北嶺に向かっていく途中にある談古嶺からは目の前に五剣山が見えて迫力満点。源平合戦の舞台を見下ろせます。
そして、北嶺の端にある遊鶴亭からは瀬戸内海の大絶景が見えます。視界320度。牛窓、小豆島など、これまで屋島を見てきた場所を反対側から見れる感動あり。
駐車場から2キロちょいで30分は歩きますが、その苦労をかける価値はあります。",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
Shigeru Sakamoto,5,4 か月前,"岡山県の牛窓や小豆島から対岸に見えた台形の土地が屋島だと知ったので行ってみました。
3つの絶景ポイントがあります。
寺のそばにあるのは、獅子の霊巖。高松市街を見下ろせ、北嶺の向こうに瀬戸内海が見えます。さほどの感動はない。
ここから北嶺に向かっていく途中にある談古嶺からは目の前に五剣山が見えて迫力満点。源平合戦の舞台を見下ろせます。
そして、北嶺の端にある遊鶴亭からは瀬戸内海の大絶景が見えます。視界320度。牛窓、小豆島など、これまで屋島を見てきた場所を反対側から見れる感動あり。
駐車場から2キロちょいで30分は歩きますが、その苦労をかける価値はあります。",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
xr xr,5,4 日前,"ここは、眺望が良くて本当に良い場所。

今年は瀬戸内国際芸術祭。
作品が展示されていた。

ここからの高松の眺望が、本当に気持ち良い。
何度でも訪れます^⁠_⁠^",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
xr xr,5,4 日前,"ここは、眺望が良くて本当に良い場所。

今年は瀬戸内国際芸術祭。
作品が展示されていた。

ここからの高松の眺望が、本当に気持ち良い。
何度でも訪れます^⁠_⁠^",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
michi,4,6 か月前,"2024.09訪問。
ドライブウェイを登りきると駐車場があります。
駐車場代は300円。
屋島寺、水族館、眺望が楽しめます。
時間があれば散策も楽しめそうです。
屋島寺に行くためには、駐車場必須ですね。",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
michi,4,6 か月前,"2024.09訪問。
ドライブウェイを登りきると駐車場があります。
駐車場代は300円。
屋島寺、水族館、眺望が楽しめます。
時間があれば散策も楽しめそうです。
屋島寺に行くためには、駐車場必須ですね。",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
ら,5,8 か月前,"屋島山頂を堪能したい方は
遊鶴亭まで是非行って欲しい。
駐車場に停めて屋島寺を背にして歩くと入り口があります。
坂道もあるけど緩やかです。
屋島に来たなら遊鶴亭に行かないと勿体無いかも。",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
ら,5,8 か月前,"屋島山頂を堪能したい方は
遊鶴亭まで是非行って欲しい。
駐車場に停めて屋島寺を背にして歩くと入り口があります。
坂道もあるけど緩やかです。
屋島に来たなら遊鶴亭に行かないと勿体無いかも。",屋島,"
〒761-0111 香川県高松市屋島東町",Unknown,Unknown,"4.4
(75)",Unknown,〒761-0111 香川県高松市屋島東町,34.3557065,134.104648
