Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
いくたたかこ,4,1 年前,小城公園内にあり公園駐車場にも近いです‼️最初の鳥居から入って行き境内になると左手に独特の雰囲気の本殿がありました‼️意外と広い境内で天満神社・玉成社・武正社もあり社務所で岡山神社の御朱印を頂きました‼️,岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
いくたたかこ,4,1 年前,小城公園内にあり公園駐車場にも近いです‼️最初の鳥居から入って行き境内になると左手に独特の雰囲気の本殿がありました‼️意外と広い境内で天満神社・玉成社・武正社もあり社務所で岡山神社の御朱印を頂きました‼️,岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
Haru,5,1 年前,"小城公園の中にある神社。
鳥居の脇に、ゾンビランドサガ のマンホールがある。
「気」を込めるご利益のある神社のよう。

お社のお賽銭箱の側に、ご護符と鈴の入った袋があり、300円をお賽銭箱に入れて受け、家に帰って玄関に貼っておくと良いらしい。

それでも「気」が足りない時は、袋を開けて鈴掛けの木に鈴を納めて、新たに受けなおすと良いそう。

身近な人が亡くなった時などは、「穢れ」(=気・枯れ )と言い、49日は神社には行かない方が良いとのことだが、
枯れた気を補充してくれるようなので、
喪が明けたらお詣りするのも良いかもしれない。

小城公園自体が綺麗に清掃してあり、
この神社もとても古いのだけど、落ち葉もしっかり掃いて綺麗に清掃されていていて気持ちが良い。

社務所は無いようで、御朱印やお守りは、お社に無人販売で置いてはいなかった。

夕方17時頃だったので、もしかしたら社務所(?  後ろに民家的な建物はあったが社務所記載なし)が閉まっていただけなのかもしれない。要確認。",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
Haru,5,1 年前,"小城公園の中にある神社。
鳥居の脇に、ゾンビランドサガ のマンホールがある。
「気」を込めるご利益のある神社のよう。

お社のお賽銭箱の側に、ご護符と鈴の入った袋があり、300円をお賽銭箱に入れて受け、家に帰って玄関に貼っておくと良いらしい。

それでも「気」が足りない時は、袋を開けて鈴掛けの木に鈴を納めて、新たに受けなおすと良いそう。

身近な人が亡くなった時などは、「穢れ」(=気・枯れ )と言い、49日は神社には行かない方が良いとのことだが、
枯れた気を補充してくれるようなので、
喪が明けたらお詣りするのも良いかもしれない。

小城公園自体が綺麗に清掃してあり、
この神社もとても古いのだけど、落ち葉もしっかり掃いて綺麗に清掃されていていて気持ちが良い。

社務所は無いようで、御朱印やお守りは、お社に無人販売で置いてはいなかった。

夕方17時頃だったので、もしかしたら社務所(?  後ろに民家的な建物はあったが社務所記載なし)が閉まっていただけなのかもしれない。要確認。",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
mai sakuragi,5,2 年前,"生まれ故郷の神社が岡山神社と言うのを初めて知りました。隣接して小城公園があり公園の思い出が強かったです。神社に初めて参拝させて頂きましたが、整備がいまいちなんですが神社のパワーはステキです。気持ちが柔らかくなりました。私は大好きです。
隣接の小城公園も少し遊具があるので、お子様連れも楽しめると思います。",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
mai sakuragi,5,2 年前,"生まれ故郷の神社が岡山神社と言うのを初めて知りました。隣接して小城公園があり公園の思い出が強かったです。神社に初めて参拝させて頂きましたが、整備がいまいちなんですが神社のパワーはステキです。気持ちが柔らかくなりました。私は大好きです。
隣接の小城公園も少し遊具があるので、お子様連れも楽しめると思います。",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
まるっと,3,1 年前,"小城公園敷地内にある神社。無人の神社の様でおみくじや御札なども木箱やお賽銭箱へ。気の神と言う厄除け札と鈴を頂きにきました。札は玄関に鈴は鈴懸の木へ
厄除になる事を願いつつ····",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
まるっと,3,1 年前,"小城公園敷地内にある神社。無人の神社の様でおみくじや御札なども木箱やお賽銭箱へ。気の神と言う厄除け札と鈴を頂きにきました。札は玄関に鈴は鈴懸の木へ
厄除になる事を願いつつ····",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
H Y,4,3 年前,"一の鳥居は、丸みのある姿が特徴の肥前鳥居で、柱には小城市出身の書家・中林梧竹（なかばやしごちく）の書が刻まれています｡

神社には小城藩初代と二代目藩主が神として祀られています｡

瓦や側面に鍋島家の家紋・杏葉（ぎょうよう）が見られます。

また注連縄の形が特徴的です。",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
H Y,4,3 年前,"一の鳥居は、丸みのある姿が特徴の肥前鳥居で、柱には小城市出身の書家・中林梧竹（なかばやしごちく）の書が刻まれています｡

神社には小城藩初代と二代目藩主が神として祀られています｡

瓦や側面に鍋島家の家紋・杏葉（ぎょうよう）が見られます。

また注連縄の形が特徴的です。",岡山神社,"
〒845-0001 佐賀県小城市",Unknown,Unknown,"4.0
(68)",お店やスポットの電話番号を追加する,〒845-0001 佐賀県小城市,33.2886294,130.1959439
