Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
masumi.k,5,3 週間前,今年は久々に満開の時期に行けましたーこの2、3年台風災害で土砂で埋まり川底が見えてたり桜も咲いてなかったりでしたが久々に市房ダムらしい満開の桜をみれました🌸 …,市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
masumi.k,5,3 週間前,今年は久々に満開の時期に行けましたーこの2、3年台風災害で土砂で埋まり川底が見えてたり桜も咲いてなかったりでしたが久々に市房ダムらしい満開の桜をみれました🌸 …,市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
Masa,5,1 年前,"初めて桜の時期に訪れました。
湖畔に咲く一万本の桜がとても綺麗でした。
大噴水が迫力があり、桜とコラボで楽しませてくれました。",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
Masa,5,1 年前,"初めて桜の時期に訪れました。
湖畔に咲く一万本の桜がとても綺麗でした。
大噴水が迫力があり、桜とコラボで楽しませてくれました。",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
岩切達哉,5,2 週間前,満開のサクラに癒され、ダム湖一周もほんとに楽しい！,市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
岩切達哉,5,2 週間前,満開のサクラに癒され、ダム湖一周もほんとに楽しい！,市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
豆大福,4,3 年前,"桜の散る間際に訪問しました。

家族連れの方が多かったです。
スロープなどもあったりバリアフリーはまぁまぁ設備されていたのではないかと思います。
現に車椅子のご老人やベビーカーのご家族もいらしたので。
そういった場面では、写真撮影等される方は周囲に気を使ってあげてくださいね。

是非また伺いたいと思います。",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
豆大福,4,3 年前,"桜の散る間際に訪問しました。

家族連れの方が多かったです。
スロープなどもあったりバリアフリーはまぁまぁ設備されていたのではないかと思います。
現に車椅子のご老人やベビーカーのご家族もいらしたので。
そういった場面では、写真撮影等される方は周囲に気を使ってあげてくださいね。

是非また伺いたいと思います。",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
よしよし,4,4 年前,"桜を見に行きました。今年は早かったようで大分散り始めてましたが桜吹雪を楽しめました🎵
ゆっくりと散策出来、吊り橋も有り綺麗に整備されてます。まだ水害の工事があってます。ダムから大噴水出てますが、これは実費でワンコインでした！ …",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
よしよし,4,4 年前,"桜を見に行きました。今年は早かったようで大分散り始めてましたが桜吹雪を楽しめました🎵
ゆっくりと散策出来、吊り橋も有り綺麗に整備されてます。まだ水害の工事があってます。ダムから大噴水出てますが、これは実費でワンコインでした！ …",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
神宮司幸次,4,3 年前,満開でした。晴天。噴水も上がり、見物客も、多かったです。,市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
神宮司幸次,4,3 年前,満開でした。晴天。噴水も上がり、見物客も、多かったです。,市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
M S,3,5 年前,"気分転換にピッタリ。
500円で噴水楽しめます。売店裏にお金を入れると噴水見れる場所があります♪

噴水に近づくための道のりは危険すぎるので、あまりおすすめしません。子供を連れてヒヤヒヤものでした（笑）",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
M S,3,5 年前,"気分転換にピッタリ。
500円で噴水楽しめます。売店裏にお金を入れると噴水見れる場所があります♪

噴水に近づくための道のりは危険すぎるので、あまりおすすめしません。子供を連れてヒヤヒヤものでした（笑）",市房ダム湖,"
熊本県球磨郡水上村",Unknown,Unknown,"4.2
(72)",Unknown,湖,32.3290775,130.9798653
