Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
KO,5,1 か月前,"平湯温泉スキー場にある駐車場に車を止めて滝の見える場所まで登っていきます。ちょっと歩きますがたどり着いたときの感動はひとしおです。
大自然の癒しを存分に堪能できること間違いなしです。",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
KO,5,1 か月前,"平湯温泉スキー場にある駐車場に車を止めて滝の見える場所まで登っていきます。ちょっと歩きますがたどり着いたときの感動はひとしおです。
大自然の癒しを存分に堪能できること間違いなしです。",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
OSM,4,2 か月前,駐車場に車を停めて少し歩くと大きな滝に行けます。道もある程度整備してありアクセスは良好です。平日の昼過ぎに伺いましたがちらほら観光客の方がいらっしゃったくらいでさほど混雑していなくてのんびりとした時間を過ごすことができました。雨が降ったり止んだりの日に行ったため地面は少しぬかるんでおり、同行者（海外からの旅行者）は靴が汚れることを気にしていたので気になる方は汚れてもいい靴や靴を掃除できるものを持っていくといいと思います。,平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
OSM,4,2 か月前,駐車場に車を停めて少し歩くと大きな滝に行けます。道もある程度整備してありアクセスは良好です。平日の昼過ぎに伺いましたがちらほら観光客の方がいらっしゃったくらいでさほど混雑していなくてのんびりとした時間を過ごすことができました。雨が降ったり止んだりの日に行ったため地面は少しぬかるんでおり、同行者（海外からの旅行者）は靴が汚れることを気にしていたので気になる方は汚れてもいい靴や靴を掃除できるものを持っていくといいと思います。,平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
伊藤敦範（立田村民）,4,2 か月前,"冬は平湯温泉スキー場の駐車場に停めて歩いて800メートルちょっとです。
午後からスキーをする為に訪問しました。少し時間があるので、歩いて行きました。
雪が降った後は長靴で無いと、足死にます（笑）
ライトアップ期間中は毎日花火も上がるみたいで、温泉入って観る予定でしたが、子供達はお疲れだったんで、花火は見ずに帰りました。ライトアップも綺麗みたいです、",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
伊藤敦範（立田村民）,4,2 か月前,"冬は平湯温泉スキー場の駐車場に停めて歩いて800メートルちょっとです。
午後からスキーをする為に訪問しました。少し時間があるので、歩いて行きました。
雪が降った後は長靴で無いと、足死にます（笑）
ライトアップ期間中は毎日花火も上がるみたいで、温泉入って観る予定でしたが、子供達はお疲れだったんで、花火は見ずに帰りました。ライトアップも綺麗みたいです、",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
lieben lieben,3,1 週間前,2025.4　日本の滝100選ということもあり国道にも案内が出ています。滝の見える駐車場までは除雪されており入れましたが滝前までは残雪があり入れませんでした。,平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
lieben lieben,3,1 週間前,2025.4　日本の滝100選ということもあり国道にも案内が出ています。滝の見える駐車場までは除雪されており入れましたが滝前までは残雪があり入れませんでした。,平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
くらっちくら,4,2 か月前,"雪が降った後で除雪がされていなかったので、滑りやすかったです。
凍りついた滝は、青く輝いていて綺麗でした。",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
くらっちくら,4,2 か月前,"雪が降った後で除雪がされていなかったので、滑りやすかったです。
凍りついた滝は、青く輝いていて綺麗でした。",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
maru 123,4,7 か月前,"交通のアクセスが良好なので、車さえあれば気軽に真夏でも24℃のマイナスイオンたっぷりの森林浴ができます🎵
滝壺のかなり近くまで車で行く事ができますが、身体的に問題の無い方は是非第1駐車場から滝まで歩いて森林浴を楽しまれたらどうでしょう😉",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
maru 123,4,7 か月前,"交通のアクセスが良好なので、車さえあれば気軽に真夏でも24℃のマイナスイオンたっぷりの森林浴ができます🎵
滝壺のかなり近くまで車で行く事ができますが、身体的に問題の無い方は是非第1駐車場から滝まで歩いて森林浴を楽しまれたらどうでしょう😉",平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
福大也,4,6 か月前,とても立派な滝です。落差60m以上あるみたいです。平日なら、滝の近くの駐車場まで、行けると思います。10台位止められます。自分は、手前の広い駐車場に止めてしまい、100m? 坂道を歩いて、良い運動になりました。,平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
福大也,4,6 か月前,とても立派な滝です。落差60m以上あるみたいです。平日なら、滝の近くの駐車場まで、行けると思います。10台位止められます。自分は、手前の広い駐車場に止めてしまい、100m? 坂道を歩いて、良い運動になりました。,平湯大滝,"
〒506-1433 岐阜県高山市 奥飛騨 温泉郷平湯温泉",Unknown,http://www.okuhida.or.jp/archives/1804,"4.2
(697)",お店やスポットの電話番号を追加する,観光名所,36.1801059,137.5596961
