Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
りんりん,5,8 か月前,"全てが整備された海水浴場です。
2024.8お盆後に行きました。駐車場は浜辺目の前2000円。トイレ、売店、足洗い場の前に案内され便利でした！ゴミ箱もあり。タバコも自己責任でOK喫煙所はなし。足洗い場の水道２つ。水圧弱い。
浜辺は広くライフセーバーもしっかり見回りされていて安心です。
波は程よく綺麗な浜辺でおとなしいカニが砂浜にいます。運良ければウミガメに出会えるようです。飲食店もあり、シャワーは休暇村の3分200円。割と綺麗なシャワールーム。売店には色々海グッズも売ってます。
アナウンスで海水浴場手前500mに珍しい塩湯の温泉公衆浴場があると言っていて寄りました！素晴らしい情報です。",弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
りんりん,5,8 か月前,"全てが整備された海水浴場です。
2024.8お盆後に行きました。駐車場は浜辺目の前2000円。トイレ、売店、足洗い場の前に案内され便利でした！ゴミ箱もあり。タバコも自己責任でOK喫煙所はなし。足洗い場の水道２つ。水圧弱い。
浜辺は広くライフセーバーもしっかり見回りされていて安心です。
波は程よく綺麗な浜辺でおとなしいカニが砂浜にいます。運良ければウミガメに出会えるようです。飲食店もあり、シャワーは休暇村の3分200円。割と綺麗なシャワールーム。売店には色々海グッズも売ってます。
アナウンスで海水浴場手前500mに珍しい塩湯の温泉公衆浴場があると言っていて寄りました！素晴らしい情報です。",弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
kazutaka watanabe (カズタカ),4,1 年前,日本の渚100選の1つ、日本の海水浴場88選の1つ、伊豆の3大海水浴場の1つに選ばれてる。前回の雨があったせいなのか、浅瀬が濁っていた。本来は浅瀬から透明度が高い海のはずだった。来るタイミングが悪かったんだなー。透明度が高く、青々とした弓ヶ浜、見たかったなー。,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
kazutaka watanabe (カズタカ),4,1 年前,日本の渚100選の1つ、日本の海水浴場88選の1つ、伊豆の3大海水浴場の1つに選ばれてる。前回の雨があったせいなのか、浅瀬が濁っていた。本来は浅瀬から透明度が高い海のはずだった。来るタイミングが悪かったんだなー。透明度が高く、青々とした弓ヶ浜、見たかったなー。,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
NY NY,4,5 年前,海の水の透明度は悪くありません。波も静かで、小さなお子さんでも安心です。国民休暇村(だったと思います)が出している海の家が、無料で浮き輪の空気いれを貸し出してくれるのが本当にありがたいです。,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
NY NY,4,5 年前,海の水の透明度は悪くありません。波も静かで、小さなお子さんでも安心です。国民休暇村(だったと思います)が出している海の家が、無料で浮き輪の空気いれを貸し出してくれるのが本当にありがたいです。,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
西田修一,4,2 か月前,綺麗な砂浜でした,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
西田修一,4,2 か月前,綺麗な砂浜でした,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
品川龍也,5,1 年前,"平日に行きました。
のほほほほほほほーんって感じののんびり出来る雰囲気！！！天気も良かったからかも知れませんが。最高の時間が、過ごせました！",弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
品川龍也,5,1 年前,"平日に行きました。
のほほほほほほほーんって感じののんびり出来る雰囲気！！！天気も良かったからかも知れませんが。最高の時間が、過ごせました！",弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
きよ,5,2 年前,"毎年行ってます☺️
静かな所で、とても綺麗な海岸
夏も、ガヤガヤしてないし、ファミリーが多いですね☺️

台風来ると、カジメが大量(笑)
ヤバいです(笑)

場所選べば、まぁ何とか

良いところですよ。",弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
きよ,5,2 年前,"毎年行ってます☺️
静かな所で、とても綺麗な海岸
夏も、ガヤガヤしてないし、ファミリーが多いですね☺️

台風来ると、カジメが大量(笑)
ヤバいです(笑)

場所選べば、まぁ何とか

良いところですよ。",弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
Qrazy Cat,5,2 年前,シーズンオフは無料駐車場を使えます。いつも静かでゆっくり過ごせますが木陰が少ないので日差しに要注意です。トイレもあります。,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
Qrazy Cat,5,2 年前,シーズンオフは無料駐車場を使えます。いつも静かでゆっくり過ごせますが木陰が少ないので日差しに要注意です。トイレもあります。,弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
happyねこち,5,3 年前,"2021/12/19  車中泊情報

料金:現在シーズンオフのため無料

オープン:通年、24時間

トイレ、水場:通年、24時間

休憩所:広い、屋根付き、自販機あり

ロケーション:抜群

注意事項:駐車場入り口がわかりにくい。一帯はキャンプ不可。期間外キャンプ可のポールはありますが浜がウミガメの産卵地でもあり至る所にキャンプ禁止の看板あり。",弓ヶ浜海水浴場駐車場,"
〒415-0152 静岡県賀茂郡南伊豆町湊８８９",Unknown,Unknown,"4.2
(146)",お店やスポットの電話番号を追加する,駐車場,34.6355668,138.8740597
