Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
なお,4,1 か月前,"佐世保湾が一望できる弓張展望台
360度の素晴らしい絶景です✨
晴れた日は最高ですね😊
道がたどり着くまでくねくねして
大変な所にあるんだなぁと💦
展望台は綺麗に整備されているので
ゆっくり見れます。
駐車場もそんなに広くなく、平日は人は
少ないようですが観光バスも来る所です
トイレと自動販売機はあります。",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
なお,4,1 か月前,"佐世保湾が一望できる弓張展望台
360度の素晴らしい絶景です✨
晴れた日は最高ですね😊
道がたどり着くまでくねくねして
大変な所にあるんだなぁと💦
展望台は綺麗に整備されているので
ゆっくり見れます。
駐車場もそんなに広くなく、平日は人は
少ないようですが観光バスも来る所です
トイレと自動販売機はあります。",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
浅辺雅史,5,4 か月前,"佐世保湾が一望できる弓張岳展望台に伺いました。

自然美と人口美の対照が素晴しい大パノラマです！

米海軍の空母が停泊している事が確認出来ました。かなりデカいな…

よく調べたら強襲揚陸艦でした…

第2展望台からは九十九島を観る事が出来ます！",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
浅辺雅史,5,4 か月前,"佐世保湾が一望できる弓張岳展望台に伺いました。

自然美と人口美の対照が素晴しい大パノラマです！

米海軍の空母が停泊している事が確認出来ました。かなりデカいな…

よく調べたら強襲揚陸艦でした…

第2展望台からは九十九島を観る事が出来ます！",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
N K,4,6 か月前,"３６０°の絶景が広がります。
特別広くはないので、出来れば第二展望台までオススメします。
みちみちに沢山の歌碑が有るので、それを見るのも楽しいです。

以下引用させて頂きました。

日本夜景遺産
夜景遺産認定地

ゆみはりだけてんぼうだい
弓張岳展望台

標高364ｍの弓張岳山頂に位置し、市内で唯一観光バスが入ることができる。頂上付近に弓の形をした屋根付きの展望台は佐世保市民の憩いの場所として定着。佐世保の夜景スポットとして最もメジャーな場所。

標高364mの弓張岳山頂に位置し、市内で唯一観光バスが入ることができる。頂上付近に弓の形をした屋根付きの展望台は佐世保市民の憩いの場所として定着。佐世保の夜景スポットとして最もメジャーな場所。入口正面からでも大パノラマが鑑賞できるが、右方向の階段を上り、展望台へ向かいたい。佐世保港周辺に展開する海軍基地や造船所の灯り、市街の街灯りもオレンジ色に輝き、その色彩的特徴は全国的に見ても珍しい。駐車場、トイレ、道路、展望台の整備状況も良好。弓張岳山頂付近には南欧風リゾートホテル「弓張の丘ホテル」がある。客室からの夜景も美しい。アールデコを代表するガラス工芸家「ルネ・ラリック」の作品、約300点を展示した美術館を併設。その他、佐世保のイベントとしては「九十九島サンセットクルーズ」(7月〜10月の週末を中心に運航)、8月15日は「精霊流し・万灯籠流し」、11・12月は街中が美しくライトアップされた「きらきらフェスティバル」などがある。米海軍基地がある佐世保ならではの雰囲気が楽しめる「外国人バー」や、音楽活動が盛んな佐世保の「ジャズバー」や「ライブ スポット」なども楽しめる。

アクセス

電車
JR佐世保駅から市営バス弓張岳展望台行きで約25分、終点下車

車
西九州自動車道佐世保みなとICより約15分",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
N K,4,6 か月前,"３６０°の絶景が広がります。
特別広くはないので、出来れば第二展望台までオススメします。
みちみちに沢山の歌碑が有るので、それを見るのも楽しいです。

以下引用させて頂きました。

日本夜景遺産
夜景遺産認定地

ゆみはりだけてんぼうだい
弓張岳展望台

標高364ｍの弓張岳山頂に位置し、市内で唯一観光バスが入ることができる。頂上付近に弓の形をした屋根付きの展望台は佐世保市民の憩いの場所として定着。佐世保の夜景スポットとして最もメジャーな場所。

標高364mの弓張岳山頂に位置し、市内で唯一観光バスが入ることができる。頂上付近に弓の形をした屋根付きの展望台は佐世保市民の憩いの場所として定着。佐世保の夜景スポットとして最もメジャーな場所。入口正面からでも大パノラマが鑑賞できるが、右方向の階段を上り、展望台へ向かいたい。佐世保港周辺に展開する海軍基地や造船所の灯り、市街の街灯りもオレンジ色に輝き、その色彩的特徴は全国的に見ても珍しい。駐車場、トイレ、道路、展望台の整備状況も良好。弓張岳山頂付近には南欧風リゾートホテル「弓張の丘ホテル」がある。客室からの夜景も美しい。アールデコを代表するガラス工芸家「ルネ・ラリック」の作品、約300点を展示した美術館を併設。その他、佐世保のイベントとしては「九十九島サンセットクルーズ」(7月〜10月の週末を中心に運航)、8月15日は「精霊流し・万灯籠流し」、11・12月は街中が美しくライトアップされた「きらきらフェスティバル」などがある。米海軍基地がある佐世保ならではの雰囲気が楽しめる「外国人バー」や、音楽活動が盛んな佐世保の「ジャズバー」や「ライブ スポット」なども楽しめる。

アクセス

電車
JR佐世保駅から市営バス弓張岳展望台行きで約25分、終点下車

車
西九州自動車道佐世保みなとICより約15分",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
tomi,5,3 か月前,"太陽の光と雲の組み合わせで幻想的な景色になってて綺麗でした。
佐世保の街や船も見えておすすめスポットです。",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
tomi,5,3 か月前,"太陽の光と雲の組み合わせで幻想的な景色になってて綺麗でした。
佐世保の街や船も見えておすすめスポットです。",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
やったぜ。,4,6 か月前,"晴れの日に来れたのでとても綺麗でした。手入れが行き届いているのかあまりゴミもなくとても良かったです。
展望台の近くに4人掛けテーブルなどもあるのでツーリングできても良いと思います。
ただ唯一無二の欠点をあげるとするならば坂道が多かったので小排気量のバイクは途中休憩を挟んだ方が良いです。",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
やったぜ。,4,6 か月前,"晴れの日に来れたのでとても綺麗でした。手入れが行き届いているのかあまりゴミもなくとても良かったです。
展望台の近くに4人掛けテーブルなどもあるのでツーリングできても良いと思います。
ただ唯一無二の欠点をあげるとするならば坂道が多かったので小排気量のバイクは途中休憩を挟んだ方が良いです。",弓張岳展望所,"
〒858-0965 長崎県佐世保市小野町","
0956-24-1111",http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/317.html,"4.4
(1,051)",Unknown,〒858-0965 長崎県佐世保市小野町,33.1794128,129.7008972
