Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
嶋田善尚,4,4 日前,"これほどたくさんの桜を見たことがない。昨年は北上の桜を見に行って見事に外したが、今年はタイミングが合った。
人が多いのでなかなかベンチに座れない。ビニールシートを広げて座っている人がいた。
ソメイヨシノ以外はこれから盛りらしい。",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
嶋田善尚,4,4 日前,"これほどたくさんの桜を見たことがない。昨年は北上の桜を見に行って見事に外したが、今年はタイミングが合った。
人が多いのでなかなかベンチに座れない。ビニールシートを広げて座っている人がいた。
ソメイヨシノ以外はこれから盛りらしい。",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
1913 masato,5,4 日前,桜はボリュームがあって見事です。桜守がいるだけに綺麗に剪定されているのが秘訣でしょう。満開直前でも平日は混んでます。,弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
1913 masato,5,4 日前,桜はボリュームがあって見事です。桜守がいるだけに綺麗に剪定されているのが秘訣でしょう。満開直前でも平日は混んでます。,弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
ryota osanai,4,5 か月前,"11月の中旬なのでお祭りは終わってしまったが、まだ紅葉は見られるということで散策してみることに。

春の桜に並び、秋の紅葉もなかなかの見応え。四季それぞれの顔を見せてくれる。 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
ryota osanai,4,5 か月前,"11月の中旬なのでお祭りは終わってしまったが、まだ紅葉は見られるということで散策してみることに。

春の桜に並び、秋の紅葉もなかなかの見応え。四季それぞれの顔を見せてくれる。 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
hnmm,4,1 週間前,"夜桜観に伺いました！
初めてでしたが、無風で堀に桜が映りとっても綺麗でした。
最後に立ち寄ったイイダコのたこ焼き屋さん、いいだけ待ったのに、古い油の味でとても食べれませんでした。 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
hnmm,4,1 週間前,"夜桜観に伺いました！
初めてでしたが、無風で堀に桜が映りとっても綺麗でした。
最後に立ち寄ったイイダコのたこ焼き屋さん、いいだけ待ったのに、古い油の味でとても食べれませんでした。 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
SEXY GEORGE,5,1 週間前,"八戸市役所そば 中心街のお花見スポット🌸
天気が良いと八甲田連峰も見れ近くのJR本八戸駅の電車の撮影スポットでもあったり
公衆トイレ有り
火気禁止 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
SEXY GEORGE,5,1 週間前,"八戸市役所そば 中心街のお花見スポット🌸
天気が良いと八甲田連峰も見れ近くのJR本八戸駅の電車の撮影スポットでもあったり
公衆トイレ有り
火気禁止 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
靴磨き,5,3 か月前,新緑の6月に訪問。植物と水が豊かな公園で、天守はさすが重文の建築。弘前の街並みも和洋の趣でとても歴史を感じさせてくれ、ここが東北の都なのではと錯覚してしまうほどでした。,弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
靴磨き,5,3 か月前,新緑の6月に訪問。植物と水が豊かな公園で、天守はさすが重文の建築。弘前の街並みも和洋の趣でとても歴史を感じさせてくれ、ここが東北の都なのではと錯覚してしまうほどでした。,弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
hideki T,4,4 か月前,"散歩がてら弘前名物？のお城のある弘前公園ブラブラです。
勉強不足でこちらが桜の名所ということを知りませんでした、すみません。
全部は回れなかったのですがゆっくりできる落ち着いた公園でした。 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
hideki T,4,4 か月前,"散歩がてら弘前名物？のお城のある弘前公園ブラブラです。
勉強不足でこちらが桜の名所ということを知りませんでした、すみません。
全部は回れなかったのですがゆっくりできる落ち着いた公園でした。 …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
ふくすけ,5,2 か月前,2023年の4月半ばに訪問。満開の桜は言葉にならないほどキレイで、どこで撮っても美しいの一言に尽きる。朝10時近くから夕方近くまで半日程度いても全く飽きないくらい。今回は時間の関係で昼間しかいられなかったが、今度は夜桜も観てみたい。,弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
ふくすけ,5,2 か月前,2023年の4月半ばに訪問。満開の桜は言葉にならないほどキレイで、どこで撮っても美しいの一言に尽きる。朝10時近くから夕方近くまで半日程度いても全く飽きないくらい。今回は時間の関係で昼間しかいられなかったが、今度は夜桜も観てみたい。,弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
アニマルアングラーズ,5,6 か月前,"弘前城がある公園
春は桜祭りで有名ですね
今回は秋に訪問で、星５は春シーズンも含めてです …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
アニマルアングラーズ,5,6 か月前,"弘前城がある公園
春は桜祭りで有名ですね
今回は秋に訪問で、星５は春シーズンも含めてです …",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
なんしー,5,5 日前,"噂通りの素晴らしい公園
桜まつりも楽しそう",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
なんしー,5,5 日前,"噂通りの素晴らしい公園
桜まつりも楽しそう",弘前公園（鷹揚園）,"
〒036-8356 青森県弘前市下白銀町１","
0172-33-8739",https://www.hirosakipark.jp/,"4.4
(6,841)",Unknown,市立公園,40.5984826,140.4532297
