Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
walker EFSA,5,10 か月前,"撮影はもう少し緑が濃くなってからの方が良かったかもしれません。できれば直射日光が射し込ままない日がよかったかな？
鳥居の左右にある玉垣と言うか瑞垣と言うか、そこに水平に置かれている（ぬき）？で、池の縁石や正面のひら地、立て看板を覆い隠すアングルでしゃがんで撮りました。
偉そうな事言ってるけど、これは撮った後で気づいた事で、撮っている時は出来るだけ同系色でまとめようとアングルを探っている内に、結果的にそうなったと言う感じです。
画像的に貫が旨く結界の役目を果たしてくれたみたいですが、玉垣の向こう側にある池の奥行き感が損なわれるのでいいんだか悪いんだか。
※iPhone 12proMAXで撮影
レンズが26mm f/1.6
正面の明るい方がISO200
背面の暗い方が
ISO125
1/60s
1/75s
です。と言っても全部iPhoneおまかせですが。",御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
walker EFSA,5,10 か月前,"撮影はもう少し緑が濃くなってからの方が良かったかもしれません。できれば直射日光が射し込ままない日がよかったかな？
鳥居の左右にある玉垣と言うか瑞垣と言うか、そこに水平に置かれている（ぬき）？で、池の縁石や正面のひら地、立て看板を覆い隠すアングルでしゃがんで撮りました。
偉そうな事言ってるけど、これは撮った後で気づいた事で、撮っている時は出来るだけ同系色でまとめようとアングルを探っている内に、結果的にそうなったと言う感じです。
画像的に貫が旨く結界の役目を果たしてくれたみたいですが、玉垣の向こう側にある池の奥行き感が損なわれるのでいいんだか悪いんだか。
※iPhone 12proMAXで撮影
レンズが26mm f/1.6
正面の明るい方がISO200
背面の暗い方が
ISO125
1/60s
1/75s
です。と言っても全部iPhoneおまかせですが。",御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
ピーチ太郎,5,2 年前,鹿島神宮内にある公園です。茨城県屈指のパワースポットとして有名です。,御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
ピーチ太郎,5,2 年前,鹿島神宮内にある公園です。茨城県屈指のパワースポットとして有名です。,御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
sakura marine,5,2 年前,"いつ行ってもめちゃくちゃ水が綺麗です。
水も汲むことができます。",御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
sakura marine,5,2 年前,"いつ行ってもめちゃくちゃ水が綺麗です。
水も汲むことができます。",御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
blackheartblack,5,2 年前,とても静かで、とても癒されますね。,御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
blackheartblack,5,2 年前,とても静かで、とても癒されますね。,御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
AYUWEDAりえ,5,2 年前,"なんともいえない神秘的な聖地

神恩感謝",御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
AYUWEDAりえ,5,2 年前,"なんともいえない神秘的な聖地

神恩感謝",御手洗池,"
〒314-0031 茨城県鹿嶋市宮中",Unknown,Unknown,"4.6
(17)",Unknown,池,35.9712098,140.6359806
