Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Daisuke Tsuezaki,5,5 日前,"テレビで特集しているのを見て、懐かしくなり30年ぶり位に訪れました。
春は桜、夏は紫陽花、秋は紅葉を楽しみながら食事が出来る良い所です。
卵焼きも焼き鳥も団子も変わらぬ美味しさを味わえました。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
Daisuke Tsuezaki,5,5 日前,"テレビで特集しているのを見て、懐かしくなり30年ぶり位に訪れました。
春は桜、夏は紫陽花、秋は紅葉を楽しみながら食事が出来る良い所です。
卵焼きも焼き鳥も団子も変わらぬ美味しさを味わえました。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
A M,4,3 週間前,"知人よりここのちたけうどんが美味しいと聞いて訪れました。店先で注文し、外に設置してある小上がりのテーブルで食べました。曼珠沙華の季節で風が爽やかで気持ちが良かったです。
ちたけうどんは初めて食べましたが、ちたけの出汁が効いた柔らかめのうどんで家庭的で飽きのこないうどんでした。ちたけ(乳茸)はボソボソザラザラした食感で不思議な感じです。焼き鳥はタレがツヤツヤで食欲をそそり、餡子の団子は柔らかくて美味しかったです。
蕎麦通の旦那が食べた蕎麦の感想は期待外れだったそうです。名物の卵焼きを頼めば良いのにと思いました。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
A M,4,3 週間前,"知人よりここのちたけうどんが美味しいと聞いて訪れました。店先で注文し、外に設置してある小上がりのテーブルで食べました。曼珠沙華の季節で風が爽やかで気持ちが良かったです。
ちたけうどんは初めて食べましたが、ちたけの出汁が効いた柔らかめのうどんで家庭的で飽きのこないうどんでした。ちたけ(乳茸)はボソボソザラザラした食感で不思議な感じです。焼き鳥はタレがツヤツヤで食欲をそそり、餡子の団子は柔らかくて美味しかったです。
蕎麦通の旦那が食べた蕎麦の感想は期待外れだったそうです。名物の卵焼きを頼めば良いのにと思いました。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
TORAちゃん,4,4 週間前,"卵焼きとお団子が食べたくて行って来ました。桜の咲く季節は店先の景色が見える小上がりの机で料理を頂けるのでお気に入りスポットです。
卵焼きは甘塩っぱい味付けで、三大名物どれも他のお店よりリーズナブルでした。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
TORAちゃん,4,4 週間前,"卵焼きとお団子が食べたくて行って来ました。桜の咲く季節は店先の景色が見える小上がりの机で料理を頂けるのでお気に入りスポットです。
卵焼きは甘塩っぱい味付けで、三大名物どれも他のお店よりリーズナブルでした。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
おやじ三等兵,5,4 か月前,"謙信平に鎮座する観光向けの食堂群の角にあるいづみ家さん。
友人2人と大平山登山帰りに暖かい蕎麦が食べたく馳せ参じました。
有名人の方も多く来られてる様でサインも多く飾ってあります。
絶景テラス席の紅葉の下で暖かい蕎麦も良いのですが、観光客や車が行き交い外も寒かったので店内で「けんちん蕎麦」「焼き鳥」を頂きました。
けんちん蕎麦ですが、味付けはとても優しく胃に良さそうな味で冷えた身体が温まります♪
焼鳥は大きめなもも肉とむね肉のミックスで、七味をたっぷりとかけて頂きました。
玉子焼きは出汁巻きで甘いので小さなお子様でも美味しく頂けると思います。
観光地向けの茶屋の料理なので蕎麦も焼鳥もめちゃくちゃ美味い！という訳ではありませんが、駅そば感覚で冷えた身体には染みる一杯でした。
会計時にレジ横に鎮座する「燻製玉子」があったので、1つ買って食べてみましたがこれはしっかり燻製されており美味かったです♪
謙信平は観光客、交通量も多いので行き交う人々や車に気をつけましょう☆",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
おやじ三等兵,5,4 か月前,"謙信平に鎮座する観光向けの食堂群の角にあるいづみ家さん。
友人2人と大平山登山帰りに暖かい蕎麦が食べたく馳せ参じました。
有名人の方も多く来られてる様でサインも多く飾ってあります。
絶景テラス席の紅葉の下で暖かい蕎麦も良いのですが、観光客や車が行き交い外も寒かったので店内で「けんちん蕎麦」「焼き鳥」を頂きました。
けんちん蕎麦ですが、味付けはとても優しく胃に良さそうな味で冷えた身体が温まります♪
焼鳥は大きめなもも肉とむね肉のミックスで、七味をたっぷりとかけて頂きました。
玉子焼きは出汁巻きで甘いので小さなお子様でも美味しく頂けると思います。
観光地向けの茶屋の料理なので蕎麦も焼鳥もめちゃくちゃ美味い！という訳ではありませんが、駅そば感覚で冷えた身体には染みる一杯でした。
会計時にレジ横に鎮座する「燻製玉子」があったので、1つ買って食べてみましたがこれはしっかり燻製されており美味かったです♪
謙信平は観光客、交通量も多いので行き交う人々や車に気をつけましょう☆",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
Y. Hanamizuki,4,1 か月前,"大平山と言えば卵焼きと焼き鳥と団子
桜はまだ咲いていなかったけど久しぶりの団子と卵焼きは美味しかった!　卵焼きは大きくてインパクトがあります。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
Y. Hanamizuki,4,1 か月前,"大平山と言えば卵焼きと焼き鳥と団子
桜はまだ咲いていなかったけど久しぶりの団子と卵焼きは美味しかった!　卵焼きは大きくてインパクトがあります。",御料理 いづみ家,"
〒328-0054 栃木県栃木市平井町６５９","
0282-22-3752",https://itp.ne.jp/info/091401239000431350/,"4.2
(214)",Unknown,和食店,36.3596003,139.1436783
