Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Yurika baby,5,1 週間前,"恵比寿駅から徒歩7分ほどの路地裏に佇む
今年2月に移転オープンした「鮨謙心」さん。

店内は和モダンで高級感のある
落ち着いた空間。

旬の食材をふんだんに使ったおまかせコース。
砂糖を使わないシャリが
ネタの旨みを引き立てて、本当に美味しい！

一品料理も握りも、ひと皿ごとに
ワクワクが止まりません✨

この日のメニューは
〈八寸〉
・子持ちやりいか
・穴子とそらまめ
・白魚のオリーブオイル漬け
・赤貝の酢味噌
・グリーンピースのおひたし
〈一品料理〉
・初鰹　黄ニラ、行者にんにく
・鰆のフライ（黒七味と塩）
・蛤の茶碗蒸し（うらごし白子入り）
・鯛の桜蒸し寿司
〈握り〉
・スミイカ
・煮ほたて
・桜鱒
・毛蟹
・小肌
・まぐろ　赤身漬け
・中トロ
・甘海老
・鰻の手巻き
〈赤だし〉
〈デザート〉
苺のパフェ

中でも感動したのが、
ねっとりぷりぷりの甘海老。
口に入れた瞬間の濃厚な甘みと
とろけるような食感に、思わず笑顔に(*´꒳`*)

そしてラストに登場したのは
なんと「穴子」ではなく鰻！！！
ふわっふわの身と香ばしさが絶妙で
まさに締めにふさわしい一品でした✨

そして大将はワインソムリエの資格を持ち、
唯一無二の鮨体験ができます！
ワインや日本酒とのペアリングも抜群。
各国の美味しいワインや珍しいお酒も飲めて
とても楽しかったです！

海外からのお客さんも多かったけど
英語でしっかり対応されていたので、
海外からのゲストにも
安心して紹介できるお店です。

味、空間、サービスすべてが洗練されていて、
五感が満たされる夜でした！

また伺いたいお店です✨
ご馳走様でした！",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
Yurika baby,5,1 週間前,"恵比寿駅から徒歩7分ほどの路地裏に佇む
今年2月に移転オープンした「鮨謙心」さん。

店内は和モダンで高級感のある
落ち着いた空間。

旬の食材をふんだんに使ったおまかせコース。
砂糖を使わないシャリが
ネタの旨みを引き立てて、本当に美味しい！

一品料理も握りも、ひと皿ごとに
ワクワクが止まりません✨

この日のメニューは
〈八寸〉
・子持ちやりいか
・穴子とそらまめ
・白魚のオリーブオイル漬け
・赤貝の酢味噌
・グリーンピースのおひたし
〈一品料理〉
・初鰹　黄ニラ、行者にんにく
・鰆のフライ（黒七味と塩）
・蛤の茶碗蒸し（うらごし白子入り）
・鯛の桜蒸し寿司
〈握り〉
・スミイカ
・煮ほたて
・桜鱒
・毛蟹
・小肌
・まぐろ　赤身漬け
・中トロ
・甘海老
・鰻の手巻き
〈赤だし〉
〈デザート〉
苺のパフェ

中でも感動したのが、
ねっとりぷりぷりの甘海老。
口に入れた瞬間の濃厚な甘みと
とろけるような食感に、思わず笑顔に(*´꒳`*)

そしてラストに登場したのは
なんと「穴子」ではなく鰻！！！
ふわっふわの身と香ばしさが絶妙で
まさに締めにふさわしい一品でした✨

そして大将はワインソムリエの資格を持ち、
唯一無二の鮨体験ができます！
ワインや日本酒とのペアリングも抜群。
各国の美味しいワインや珍しいお酒も飲めて
とても楽しかったです！

海外からのお客さんも多かったけど
英語でしっかり対応されていたので、
海外からのゲストにも
安心して紹介できるお店です。

味、空間、サービスすべてが洗練されていて、
五感が満たされる夜でした！

また伺いたいお店です✨
ご馳走様でした！",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
mari kana,5,1 か月前,"恵比寿駅からの感想を抜けた、恵比寿郵便局交差点近くの閑静な路地裏に密やかに佇んでいます。
クールな黒の扉の奥には、丸みを帯びた凛としながらも柔らかさを感じるカウンターが広がります。
この日はおまかせ20品コースにワインペアリングをお願いしました。
新鮮なネタが織りなす鮨をはじめ、お料理がとにかく美味しいのはもちろんのこと、鮨×ワインペアリングに感激！
ワインソムリエ資格を持つ大将だからこそ生み出せる唯一無二のコースに大満足。
鮨とのワインペアリングは残念なことも多いのですが、砂糖不使用でキレのあるシャリとのバランスが最高なんです。
また是非伺いたいお店です。",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
mari kana,5,1 か月前,"恵比寿駅からの感想を抜けた、恵比寿郵便局交差点近くの閑静な路地裏に密やかに佇んでいます。
クールな黒の扉の奥には、丸みを帯びた凛としながらも柔らかさを感じるカウンターが広がります。
この日はおまかせ20品コースにワインペアリングをお願いしました。
新鮮なネタが織りなす鮨をはじめ、お料理がとにかく美味しいのはもちろんのこと、鮨×ワインペアリングに感激！
ワインソムリエ資格を持つ大将だからこそ生み出せる唯一無二のコースに大満足。
鮨とのワインペアリングは残念なことも多いのですが、砂糖不使用でキレのあるシャリとのバランスが最高なんです。
また是非伺いたいお店です。",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
mayu,5,2 か月前,"\\ プライベート感が最高！居心地良しコスパ良しで通いたくなる //

だいすきワインペアリング！
のコースがあるというお鮨屋さん♡
名店・あじゅう田出身でソムリエの資格も持つ
大将のお店・謙心さんが2025.2移転オープン！
年明けから目の回るような忙しい日々でさ、
１ヶ月以上前に予約し、お伺いしてきたよ〜◡̈⃝！

恵比寿駅から少し離れた隠れ家。
わああ素敵…♡
プライベート感満載・全8席のプラチナシート❅*˖

おまかせ20品 ¥18000
+ワインペアリング¥9900 のコースを。

17:00〜わくわく！一斉スタート。
大将おひとりでもテンポよく提供。
少量多種のお料理に、良きところで握り。
んんん、美し〜！おいし〜♡
ペアリングのワインもじゃんじゃん続々！
こんなにたっぷり飲んでいいの？！
う、うれしい、、、！♡
おいしいツマミにお酒が進む進む！

同じ組の方たちも楽しそう。
みんなお酒のピッチも進み進み
大将の軽快なトークを中心に盛り上がり、
まるで劇場に入り込んだかのよう♪

このボリュームとクオリティ。
かなりお値打ちかと。。。
長い期間ご褒美イベントにしてた甲斐あった！
おなかしあわせ楽しかった〜！♡

_______________________________φ(･_･

⚫︎ Champagne DAMIEN HUGOT
⚪︎ 季節の八寸

うつくし〜♡ 味付けも製法もバラバラで楽しい。
一発目のシャンパンがたっぷりで
うううううれしいいいいい♡
酒の進むツマミのコースで高まりしかない…！
これは…飲めるコースなのでは…

⚫︎ 2022 MELODINE GAMAY
⚪︎ メジマグロ 玉ねぎ醤油 うるい 辛子

カラシ・赤身・赤ワインのパンチ！すごい！
合う！！国外にほぼ輸出されないという、貴重なスイスワイン…！おおおいしい！
ちょっと皮目を炙ってあるのも良い…！！

美味しすぎて飲みきっちゃった、ガメイを…

⚪︎ ブリカツ ふきのとう

んんん〜♡おいしいいいい！
黒七味が赤ワインに合う…！！！

そう、実はおかわりさせてもらったの笑

ここからは大将に、このお酒のペアリングの
お料理は何品？と聞くことを決意。笑
大将も、毎回言ってくれるように。笑

このくらいの頃から、同時スタートの方達と
ゆる〜っとお話し。お店の雰囲気良いな〜

⚪︎ 鯛かぶら
⚫︎ あべ シルバー

うわぁぁぁすごい…ゆずの香りが！
鯛の旨み！蕪の甘み！
に、うすにごりで甘みがリンクするあべ！♡
さいこーう！お出汁飲みきった！

⚫︎ チャコリ スペインのワイン バスク地方
⚪︎ キンメ昆布〆
⚪︎ アオリイカ
⚪︎ 煮帆立 柚子

生魚をたべる文化のあるバス区地方の
すこし青い感じのあるワイン。握りに合う〜！

キンメだいすき〜！！
アオリイカの美しすぎる入れ、おおおおいしい
わたし史上初のトロ〜り＆雑のない口溶けに感動！
手の込んだ仕込みの煮帆立に感動！！！

⚫︎ オレンジワイン
⚪︎ 牡蠣の混ぜごはん
⚪︎ コハダ

うわぁぁぁす、すすすごおおおおい
オレンジワインとお鮨が合うなんて！

⚫︎ KIMURA cellars ピノノノワール
⚪︎ まぐろ
⚪︎ トロ

コメント…いる？！笑　最高でしかない。
もう、お鮨に赤でも驚かない、間違いない。

⚫︎ 2022  VIOGNIER
アロマティックな香りのフランスワイン
⚪︎ 白子 軍艦
⚪︎ 甘海老

火入れしてトロけるような白子、、、
薄皮パツン、とろ〜んと最高。
でも、主役は海苔なんだとか、、、確かにめちゃくちゃ香り良し風味良しおいし。

あああ、この白子、史上最高かもしれん。

⚫︎ 2025 merlot Nakai
⚪︎ 鰻 手巻き　奈良漬け

⚪︎ 赤出汁
⚪︎ 〆パフェ

_______________________________φ(･_･

大満足〜♡
品数あり、ボリュームもあり、飲み度満点◎

ペアリングすごかったなー！！
呑助でも満足できるペース＆量で提供してくれるから間違いない！マジで。
常連さんは、大将とおしゃべりしつつ
気分に合わせて選んでて楽しそうだった〜♪

ゆるやかに弧を描く8人だけの特別席は
他の方との目線が気にならなくて気疲れしない。
その場の空気感によって、個別にも、
カウンター全体で一体感をもらしてもくれるしで、非常に心地よい…♡

大将、スタッフさんの空気感のたまものだなぁと。
非常に快適・劇場型カウンターで
来るたびにたのしい、通いたくなるカウンター鮨だったよ◡̈⃝♡",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
mayu,5,2 か月前,"\\ プライベート感が最高！居心地良しコスパ良しで通いたくなる //

だいすきワインペアリング！
のコースがあるというお鮨屋さん♡
名店・あじゅう田出身でソムリエの資格も持つ
大将のお店・謙心さんが2025.2移転オープン！
年明けから目の回るような忙しい日々でさ、
１ヶ月以上前に予約し、お伺いしてきたよ〜◡̈⃝！

恵比寿駅から少し離れた隠れ家。
わああ素敵…♡
プライベート感満載・全8席のプラチナシート❅*˖

おまかせ20品 ¥18000
+ワインペアリング¥9900 のコースを。

17:00〜わくわく！一斉スタート。
大将おひとりでもテンポよく提供。
少量多種のお料理に、良きところで握り。
んんん、美し〜！おいし〜♡
ペアリングのワインもじゃんじゃん続々！
こんなにたっぷり飲んでいいの？！
う、うれしい、、、！♡
おいしいツマミにお酒が進む進む！

同じ組の方たちも楽しそう。
みんなお酒のピッチも進み進み
大将の軽快なトークを中心に盛り上がり、
まるで劇場に入り込んだかのよう♪

このボリュームとクオリティ。
かなりお値打ちかと。。。
長い期間ご褒美イベントにしてた甲斐あった！
おなかしあわせ楽しかった〜！♡

_______________________________φ(･_･

⚫︎ Champagne DAMIEN HUGOT
⚪︎ 季節の八寸

うつくし〜♡ 味付けも製法もバラバラで楽しい。
一発目のシャンパンがたっぷりで
うううううれしいいいいい♡
酒の進むツマミのコースで高まりしかない…！
これは…飲めるコースなのでは…

⚫︎ 2022 MELODINE GAMAY
⚪︎ メジマグロ 玉ねぎ醤油 うるい 辛子

カラシ・赤身・赤ワインのパンチ！すごい！
合う！！国外にほぼ輸出されないという、貴重なスイスワイン…！おおおいしい！
ちょっと皮目を炙ってあるのも良い…！！

美味しすぎて飲みきっちゃった、ガメイを…

⚪︎ ブリカツ ふきのとう

んんん〜♡おいしいいいい！
黒七味が赤ワインに合う…！！！

そう、実はおかわりさせてもらったの笑

ここからは大将に、このお酒のペアリングの
お料理は何品？と聞くことを決意。笑
大将も、毎回言ってくれるように。笑

このくらいの頃から、同時スタートの方達と
ゆる〜っとお話し。お店の雰囲気良いな〜

⚪︎ 鯛かぶら
⚫︎ あべ シルバー

うわぁぁぁすごい…ゆずの香りが！
鯛の旨み！蕪の甘み！
に、うすにごりで甘みがリンクするあべ！♡
さいこーう！お出汁飲みきった！

⚫︎ チャコリ スペインのワイン バスク地方
⚪︎ キンメ昆布〆
⚪︎ アオリイカ
⚪︎ 煮帆立 柚子

生魚をたべる文化のあるバス区地方の
すこし青い感じのあるワイン。握りに合う〜！

キンメだいすき〜！！
アオリイカの美しすぎる入れ、おおおおいしい
わたし史上初のトロ〜り＆雑のない口溶けに感動！
手の込んだ仕込みの煮帆立に感動！！！

⚫︎ オレンジワイン
⚪︎ 牡蠣の混ぜごはん
⚪︎ コハダ

うわぁぁぁす、すすすごおおおおい
オレンジワインとお鮨が合うなんて！

⚫︎ KIMURA cellars ピノノノワール
⚪︎ まぐろ
⚪︎ トロ

コメント…いる？！笑　最高でしかない。
もう、お鮨に赤でも驚かない、間違いない。

⚫︎ 2022  VIOGNIER
アロマティックな香りのフランスワイン
⚪︎ 白子 軍艦
⚪︎ 甘海老

火入れしてトロけるような白子、、、
薄皮パツン、とろ〜んと最高。
でも、主役は海苔なんだとか、、、確かにめちゃくちゃ香り良し風味良しおいし。

あああ、この白子、史上最高かもしれん。

⚫︎ 2025 merlot Nakai
⚪︎ 鰻 手巻き　奈良漬け

⚪︎ 赤出汁
⚪︎ 〆パフェ

_______________________________φ(･_･

大満足〜♡
品数あり、ボリュームもあり、飲み度満点◎

ペアリングすごかったなー！！
呑助でも満足できるペース＆量で提供してくれるから間違いない！マジで。
常連さんは、大将とおしゃべりしつつ
気分に合わせて選んでて楽しそうだった〜♪

ゆるやかに弧を描く8人だけの特別席は
他の方との目線が気にならなくて気疲れしない。
その場の空気感によって、個別にも、
カウンター全体で一体感をもらしてもくれるしで、非常に心地よい…♡

大将、スタッフさんの空気感のたまものだなぁと。
非常に快適・劇場型カウンターで
来るたびにたのしい、通いたくなるカウンター鮨だったよ◡̈⃝♡",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
biyouns gurume,5,1 か月前,"移転リニューアルOPENし、8席のカウンターがあるお店。ソムリエの資格をもつ大将が、鮨×ワインを提供してくれます☺️

今回食べたのは
おまかせ20品+ソムリエ厳選ワインペアリング8種　27900円
・季節の八寸（5品）
・鰹 刺身
・ブリカツ
・鯛カブラの煮物
・牡蠣のご飯
・握り9品、巻物
・赤出汁
・季節のフルーツパフェ
※メニュー、ペアリングは季節によって変化あり

1品料理からこだわっており、とても美味しかったです✨
今日で牡蠣のご飯は終わるとのことでしたがオリーブオイルとの組み合わせは最高すぎました✨
3月はハマグリだとか、、？
握りも充実していて、とくに白子が美味しくて感動しました🥺

お鮨とワインのペアリングは初めてでしたが、とても美味しく頂けました🥂✨
最後はテキーラで乾杯するなど、大将もフレンドリーで楽しかったです！

周りの席は全て海外の方で、大将が英語で会話していました。
会話に混ぜて下さり、みんなでお話しできて良い経験になりました🙆‍♀️",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
biyouns gurume,5,1 か月前,"移転リニューアルOPENし、8席のカウンターがあるお店。ソムリエの資格をもつ大将が、鮨×ワインを提供してくれます☺️

今回食べたのは
おまかせ20品+ソムリエ厳選ワインペアリング8種　27900円
・季節の八寸（5品）
・鰹 刺身
・ブリカツ
・鯛カブラの煮物
・牡蠣のご飯
・握り9品、巻物
・赤出汁
・季節のフルーツパフェ
※メニュー、ペアリングは季節によって変化あり

1品料理からこだわっており、とても美味しかったです✨
今日で牡蠣のご飯は終わるとのことでしたがオリーブオイルとの組み合わせは最高すぎました✨
3月はハマグリだとか、、？
握りも充実していて、とくに白子が美味しくて感動しました🥺

お鮨とワインのペアリングは初めてでしたが、とても美味しく頂けました🥂✨
最後はテキーラで乾杯するなど、大将もフレンドリーで楽しかったです！

周りの席は全て海外の方で、大将が英語で会話していました。
会話に混ぜて下さり、みんなでお話しできて良い経験になりました🙆‍♀️",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
IKE log,5,1 か月前,"☆オススメポイント☆
①肩肘張らずに楽しめるフランクな空間
②ワインソムリエの資格を持つ大将による厳選されたワインの数々

【予算】
20,000〜25,000円/人(ディナー)

【オススメ利用シーン】
デート・記念日・接待・会食

【メニュー】
「おまかせコース(18,000円)」
・季節の八寸
・一品料理4品
・握り8貫
・手巻き寿司
・止め椀
・デザート

【まとめ】
恵比寿駅東口から白金方面に進み、恵比寿郵便局交差点の近くに2025年2月1日にリニューアルオープンを果たした「恵比寿 鮨 謙心」さん。
実は、2024年の6月に同じ恵比寿にオープンしていたのが、今回移転して今の場所に再オープンした。

こちらのお店の特徴は、20品という豪華な内容でありながら18,000円という、本格鮨店としては比較的リーズナブルな価格設定という点と、ワインソムリエをもつという珍しい大将によるワインペアリングが魅力という点。

この日は休日の20:00に予約をして訪問。
店内はカウンター最大8席のみで、かなり席数は少なめにしており、一人一人に真剣に向き合うという想いが感じられる。
そのため、予約が埋まりやすく、もし訪問が決まっているのなら、早めの予約がおすすめ。

恵比寿駅からはやや離れているが、その分都会の喧騒を忘れさせてくれる落ち着いた雰囲気で、隠れ家的な雰囲気がむしろ良い。
内容を考えるとかなりコスパがいいので、知っていて損はないお店である。",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
IKE log,5,1 か月前,"☆オススメポイント☆
①肩肘張らずに楽しめるフランクな空間
②ワインソムリエの資格を持つ大将による厳選されたワインの数々

【予算】
20,000〜25,000円/人(ディナー)

【オススメ利用シーン】
デート・記念日・接待・会食

【メニュー】
「おまかせコース(18,000円)」
・季節の八寸
・一品料理4品
・握り8貫
・手巻き寿司
・止め椀
・デザート

【まとめ】
恵比寿駅東口から白金方面に進み、恵比寿郵便局交差点の近くに2025年2月1日にリニューアルオープンを果たした「恵比寿 鮨 謙心」さん。
実は、2024年の6月に同じ恵比寿にオープンしていたのが、今回移転して今の場所に再オープンした。

こちらのお店の特徴は、20品という豪華な内容でありながら18,000円という、本格鮨店としては比較的リーズナブルな価格設定という点と、ワインソムリエをもつという珍しい大将によるワインペアリングが魅力という点。

この日は休日の20:00に予約をして訪問。
店内はカウンター最大8席のみで、かなり席数は少なめにしており、一人一人に真剣に向き合うという想いが感じられる。
そのため、予約が埋まりやすく、もし訪問が決まっているのなら、早めの予約がおすすめ。

恵比寿駅からはやや離れているが、その分都会の喧騒を忘れさせてくれる落ち着いた雰囲気で、隠れ家的な雰囲気がむしろ良い。
内容を考えるとかなりコスパがいいので、知っていて損はないお店である。",恵比寿 鮨 謙心／Sushi Kenshin Ebisu Tokyo,"
〒150-0013 東京都渋谷区恵比寿２丁目８−１３ KHビル 1F","
03-5422-8270",https://tabelog.com/tokyo/A1303/A130302/13305820/,"4.9
(112)",Unknown,寿司店,35.6718862,139.7153828
