Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Tamaki N．,4,1 か月前,"20250222
銀河鉄道９９９🚆シネマコンサート
行ってきました！ …",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
Tamaki N．,4,1 か月前,"20250222
銀河鉄道９９９🚆シネマコンサート
行ってきました！ …",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
メイメイ,5,1 か月前,劇場版どまつりにて3時間かけて訪れました。音響もよく、座席の座り心地もよかったです。ただ1階席はやはり少し前の人の頭で見えづらいですね。,愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
メイメイ,5,1 か月前,劇場版どまつりにて3時間かけて訪れました。音響もよく、座席の座り心地もよかったです。ただ1階席はやはり少し前の人の頭で見えづらいですね。,愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
とらモン1号,4,2 か月前,"栄駅から徒歩5分とアクセスが良いです。愛知芸術文化センターの建物の中に愛知県芸術劇場があります。劇場はとても綺麗で高級感があります。劇場内の1Fは段差があり、後方の席でも観やすくなってます。
開場前は芸術文化センターの中で待機できるので、冬場は寒さをしのげます。 …",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
とらモン1号,4,2 か月前,"栄駅から徒歩5分とアクセスが良いです。愛知芸術文化センターの建物の中に愛知県芸術劇場があります。劇場はとても綺麗で高級感があります。劇場内の1Fは段差があり、後方の席でも観やすくなってます。
開場前は芸術文化センターの中で待機できるので、冬場は寒さをしのげます。 …",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
三谷京子,4,5 か月前,"交通の便利がよい、音響がよいのでどの席からも楽しめる。
5階席だけは階段移動なのと、トイレが無いのが残念。",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
三谷京子,4,5 か月前,"交通の便利がよい、音響がよいのでどの席からも楽しめる。
5階席だけは階段移動なのと、トイレが無いのが残念。",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
Koji 555,4,8 か月前,"2024年7月19日にとあるバンドのライブがあり来場しました
地下鉄栄駅から直ぐの好立地です
会場内は広く天井も高いため音の広がりが素晴らしい！ …",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
Koji 555,4,8 か月前,"2024年7月19日にとあるバンドのライブがあり来場しました
地下鉄栄駅から直ぐの好立地です
会場内は広く天井も高いため音の広がりが素晴らしい！ …",愛知県芸術劇場,"
〒461-0005 愛知県名古屋市東区東桜１丁目１３−２","
052-971-5511",https://www.aac.pref.aichi.jp/,"4.3
(2,469)",Unknown,劇場,35.1718278,136.9153638
