Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
u y,5,11 か月前,"2024/5/4訪問。
阿蘇、久住へドライブに来た流れで、この時期しか見られない扇棚田の水はりを見に行きました。ちょうどGWに合わせてくれていたのか、とても良いタイミングでした。
駐車場は展望台の下にあり、舗装はされていませんが、ぎりぎり3台ほど停められるくらいの広さでした。駐車場の横には階段があり、登ると360度パノラマで美しい山々を眺める事ができ、可愛らしい野草も少し咲いていて来た甲斐がありました。
足腰弱っている方は階段が危ないので上がらずに駐車場の辺りから眺めることもできます。
ここに来るまでの道のりは離合に苦労する覚悟で行くしかありません。道の脇には穏やかな表情のジャージー種？の牛さん達が数頭いて癒されました♪",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
u y,5,11 か月前,"2024/5/4訪問。
阿蘇、久住へドライブに来た流れで、この時期しか見られない扇棚田の水はりを見に行きました。ちょうどGWに合わせてくれていたのか、とても良いタイミングでした。
駐車場は展望台の下にあり、舗装はされていませんが、ぎりぎり3台ほど停められるくらいの広さでした。駐車場の横には階段があり、登ると360度パノラマで美しい山々を眺める事ができ、可愛らしい野草も少し咲いていて来た甲斐がありました。
足腰弱っている方は階段が危ないので上がらずに駐車場の辺りから眺めることもできます。
ここに来るまでの道のりは離合に苦労する覚悟で行くしかありません。道の脇には穏やかな表情のジャージー種？の牛さん達が数頭いて癒されました♪",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
高橋司,4,9 か月前,"2024年7月5日
Google mapで発見し珍しい形の棚田に惹かれて行ってみました。
Google mapsの検索で瀬の本方面から脇に入っていくルートは途中でアスファルト舗装ではなく砂利道に変わります。
アップダウンも激しいのでアドベンチャー感を感じたい方はそちらからどうぞ笑
運転に自信がない方は少し回り道するルートがおすすめです。
帰り際、外国人の方のグループが来ていたので海外の方の関心も高そうです。
すぐ近くに牛がいるのもほっこりして楽しいですよ",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
高橋司,4,9 か月前,"2024年7月5日
Google mapで発見し珍しい形の棚田に惹かれて行ってみました。
Google mapsの検索で瀬の本方面から脇に入っていくルートは途中でアスファルト舗装ではなく砂利道に変わります。
アップダウンも激しいのでアドベンチャー感を感じたい方はそちらからどうぞ笑
運転に自信がない方は少し回り道するルートがおすすめです。
帰り際、外国人の方のグループが来ていたので海外の方の関心も高そうです。
すぐ近くに牛がいるのもほっこりして楽しいですよ",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
山鹿草,4,3 か月前,"数年前に初めて来た時は綺麗に撮ることが出来ませんでした。

何故なら、この棚田は上から見る方が断然綺麗だからです。

なので、是非展望台へ登って見てみてください。",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
山鹿草,4,3 か月前,"数年前に初めて来た時は綺麗に撮ることが出来ませんでした。

何故なら、この棚田は上から見る方が断然綺麗だからです。

なので、是非展望台へ登って見てみてください。",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
yu mi,4,10 か月前,"山間の 美しい棚田です
狭い 山道を上がった所にあります
田植えしたばかりで 水面が
綺麗でした
近くには 牛が 放牧されてます
展望所もあり 見晴らしが良いです
少しですが 近くに無料の駐車場も
あります",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
yu mi,4,10 か月前,"山間の 美しい棚田です
狭い 山道を上がった所にあります
田植えしたばかりで 水面が
綺麗でした
近くには 牛が 放牧されてます
展望所もあり 見晴らしが良いです
少しですが 近くに無料の駐車場も
あります",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
JAPAN街街ラボ,4,1 年前,"絶景の田園風景が楽しめます。道中よくない道も通流ので、雨の降ってる日は避けた方が良いです。ナビを見ながらなんとかたどり着きましたが、非常にきれいな景色にびっくり。

ライダーたちの絶景スポットにもなっているので、結構な人たちが来ます。この辺はドローンの飛行は禁止されているので要注意へまた田んぼの所には柵が巡らされており入れないようになっています。

近隣にもいろいろな見所があるのでいちど行ってみたら良いのではないでしょうか。",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
JAPAN街街ラボ,4,1 年前,"絶景の田園風景が楽しめます。道中よくない道も通流ので、雨の降ってる日は避けた方が良いです。ナビを見ながらなんとかたどり着きましたが、非常にきれいな景色にびっくり。

ライダーたちの絶景スポットにもなっているので、結構な人たちが来ます。この辺はドローンの飛行は禁止されているので要注意へまた田んぼの所には柵が巡らされており入れないようになっています。

近隣にもいろいろな見所があるのでいちど行ってみたら良いのではないでしょうか。",扇棚田,"
〒869-2705 熊本県阿蘇郡産山村産山２６２１−８","
0967-25-2211",https://ubu-lab.com/play/ougida/,"4.4
(198)",Unknown,観光名所,33.0407325,126.3289842
