Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
はなうま,N/A,"Google
より（1 週間前）","1泊2日で利用しました。
庭が広く建物に着くまでワクワクしましたが正面玄関の周りの塗装など見ると老朽化を感じました。
（近々塗装工事予定だそうです）
ウェルカムドリンクに焼酎があり見ていたら美味しいですよと男性スタッフの方が声掛けをしてくれ親しみやすいなと思いました。飲んでみたらほんとにおいしくて良かったです。

部屋は薩摩御殿の部屋に2人で泊まり古さは否めませんが広々とした間取りで上階、隣部屋からの音もほとんどしなくて快適でした。
空調の音が少し気になるくらいです。
砂蒸し風呂は別途1500円かかるけど屋内で大浴場の奥にあり、終わったらすぐに砂を洗い流せて温泉に入れるシステムで最高でした。
お風呂も広々ポーラのシャンプーとコンディショナー、ボディソープで大好きなやつ、ドライヤーも数種類ありリファのドライヤー乾きが素早く出来良かったです。

夕食は味付けが濃くない優しい味付けで全て美味しかったです。
焼酎を飲みながら食べましたが出てくるタイミングも良くてご飯やデザートのタイミングもちゃんと確認してくれ丁寧でした。

朝ご飯のバイキングもどれも美味しくて、検討の段階でもう1つの別のホテルと最後まで迷いましたが将棋の対局でも有名な白水館さんを選んで正解だったなと思います。

砂蒸し風呂と温泉の効果は高く翌日動物園に行きましたが、暑さもあるアップダウンのある屋外を3時間近く疲れる事なく歩き廻れました。

海側の部屋で朝日が昇ってくる
のも見えたし立地も良いので老舗旅館としての良さを十分味わえました。
色々書きましたがお料理だけでも値段に見合った指宿の旅におすすめの旅館だと思います。",指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
はなうま,N/A,"Google
より（1 週間前）","1泊2日で利用しました。
庭が広く建物に着くまでワクワクしましたが正面玄関の周りの塗装など見ると老朽化を感じました。
（近々塗装工事予定だそうです）
ウェルカムドリンクに焼酎があり見ていたら美味しいですよと男性スタッフの方が声掛けをしてくれ親しみやすいなと思いました。飲んでみたらほんとにおいしくて良かったです。

部屋は薩摩御殿の部屋に2人で泊まり古さは否めませんが広々とした間取りで上階、隣部屋からの音もほとんどしなくて快適でした。
空調の音が少し気になるくらいです。
砂蒸し風呂は別途1500円かかるけど屋内で大浴場の奥にあり、終わったらすぐに砂を洗い流せて温泉に入れるシステムで最高でした。
お風呂も広々ポーラのシャンプーとコンディショナー、ボディソープで大好きなやつ、ドライヤーも数種類ありリファのドライヤー乾きが素早く出来良かったです。

夕食は味付けが濃くない優しい味付けで全て美味しかったです。
焼酎を飲みながら食べましたが出てくるタイミングも良くてご飯やデザートのタイミングもちゃんと確認してくれ丁寧でした。

朝ご飯のバイキングもどれも美味しくて、検討の段階でもう1つの別のホテルと最後まで迷いましたが将棋の対局でも有名な白水館さんを選んで正解だったなと思います。

砂蒸し風呂と温泉の効果は高く翌日動物園に行きましたが、暑さもあるアップダウンのある屋外を3時間近く疲れる事なく歩き廻れました。

海側の部屋で朝日が昇ってくる
のも見えたし立地も良いので老舗旅館としての良さを十分味わえました。
色々書きましたがお料理だけでも値段に見合った指宿の旅におすすめの旅館だと思います。",指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
善意無過失のデブ,N/A,"Google
より（6 日前）","客室は良い。標準的な客室に泊まったが、清潔感もあり、広さも十分。ただ、トイレがすりガラスで、入っている人の動きがわかるのはいただけない。ズボンを脱いだのも見ているとわかってしまい、付き合いたてのカップルとかだとかなり嫌なのでは？
夕食は素晴らしい。イタリアンをいただいた。和風な旅館でイタリアン？と疑問だったが、料理は本当に美味しい。大満足。説明も丁寧で、非常に良かった。朝食は微妙。
スタッフも良い。不快な点はなく、館内の説明も丁寧だった。感動はしない。",指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
善意無過失のデブ,N/A,"Google
より（6 日前）","客室は良い。標準的な客室に泊まったが、清潔感もあり、広さも十分。ただ、トイレがすりガラスで、入っている人の動きがわかるのはいただけない。ズボンを脱いだのも見ているとわかってしまい、付き合いたてのカップルとかだとかなり嫌なのでは？
夕食は素晴らしい。イタリアンをいただいた。和風な旅館でイタリアン？と疑問だったが、料理は本当に美味しい。大満足。説明も丁寧で、非常に良かった。朝食は微妙。
スタッフも良い。不快な点はなく、館内の説明も丁寧だった。感動はしない。",指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
Kmna,N/A,"Google
より（4 日前）","九州周遊旅行で泊まらせていただきました。
昭和の団体旅行の観光ホテルの域です。
久しぶりにこういった感じの所に泊まりました。
中華系を含め相当数の団体客を受け入れているのでしょうね。館内どこでも人に会う。エレベーターも毎階のように止まります。
エントランス近くのホールに並べられたテーブルとソファはウェルカムドリンクを楽しめる場所のようですが小さい紙コップはソフトドリンク、焼酎は味見程度のカップ、ビールの用意はなく、近くの売店で買って飲むように勧められた。かなりオープンなスペースでお風呂までの一杯、夕飯までの一杯をのんびり楽しめるような雰囲気もなく、ひっきりなしに隣のカウンターは大勢のスタッフ、客で賑わっている感じでした。

宿泊した客室から人気の砂風呂、元禄風呂まではとにかく歩く。客室から遠すぎて「もういいか」と思えるほど。

客室はオーシャンフロント、海が綺麗で夜は月明かりが海に映ってとても綺麗で楽しめたが、客室も洗面も古く、写真とは印象が違ったように感じました。九州の他の旅館、ホテルと比べてもかなり割高な印象。政治家が各国首脳との交流に使ったとか、そういう事を売りにしている料金設定なのかな。。。

でも、夕食のお刺身やしゃぶしゃぶのお肉は美味しかったし、若いスタッフの方々は丁寧でとても好感を持ちました。
多分もう泊まることはないし、友達にもオススメはしないけれど、スタッフの方々で嫌な思いをすることは全くないです。",指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
Kmna,N/A,"Google
より（4 日前）","九州周遊旅行で泊まらせていただきました。
昭和の団体旅行の観光ホテルの域です。
久しぶりにこういった感じの所に泊まりました。
中華系を含め相当数の団体客を受け入れているのでしょうね。館内どこでも人に会う。エレベーターも毎階のように止まります。
エントランス近くのホールに並べられたテーブルとソファはウェルカムドリンクを楽しめる場所のようですが小さい紙コップはソフトドリンク、焼酎は味見程度のカップ、ビールの用意はなく、近くの売店で買って飲むように勧められた。かなりオープンなスペースでお風呂までの一杯、夕飯までの一杯をのんびり楽しめるような雰囲気もなく、ひっきりなしに隣のカウンターは大勢のスタッフ、客で賑わっている感じでした。

宿泊した客室から人気の砂風呂、元禄風呂まではとにかく歩く。客室から遠すぎて「もういいか」と思えるほど。

客室はオーシャンフロント、海が綺麗で夜は月明かりが海に映ってとても綺麗で楽しめたが、客室も洗面も古く、写真とは印象が違ったように感じました。九州の他の旅館、ホテルと比べてもかなり割高な印象。政治家が各国首脳との交流に使ったとか、そういう事を売りにしている料金設定なのかな。。。

でも、夕食のお刺身やしゃぶしゃぶのお肉は美味しかったし、若いスタッフの方々は丁寧でとても好感を持ちました。
多分もう泊まることはないし、友達にもオススメはしないけれど、スタッフの方々で嫌な思いをすることは全くないです。",指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
HRNB M,N/A,"Tripadvisor
より（3 週間前）",砂むし温泉も併設した豪華な巨大な温泉旅館で、指宿の中心部から離れているが館内ですべて完結する。砂むしも部屋から浴衣で大浴場へ行き、まず砂むしを楽しみ、そのまま大浴場で入浴して浴衣で部屋へ戻れるので便利に楽しめる。ただい温泉自体は塩分を含んでいるが、あまり特徴はない。食事は趣向をこらしておりおいしい。宿泊客は敷地内の伝承館も割引で入館できる。,指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
HRNB M,N/A,"Tripadvisor
より（3 週間前）",砂むし温泉も併設した豪華な巨大な温泉旅館で、指宿の中心部から離れているが館内ですべて完結する。砂むしも部屋から浴衣で大浴場へ行き、まず砂むしを楽しみ、そのまま大浴場で入浴して浴衣で部屋へ戻れるので便利に楽しめる。ただい温泉自体は塩分を含んでいるが、あまり特徴はない。食事は趣向をこらしておりおいしい。宿泊客は敷地内の伝承館も割引で入館できる。,指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
緒 前,N/A,"Tripadvisor
より（1 か月前）",土曜日からの一泊で60代夫婦と30代の娘との家族旅行で初めて宿泊させて頂きました。有難いことに、同じ料金でお部屋がグレードアップ⤴️の違う棟の和洋室にして頂いていて、ビックリ。お食事は食べきれないぐらいのお品数で手の込んだコース料理でした。美味しくて満足、満腹です。砂蒸し風呂に入りたくて指宿温泉を選んだのですが、砂蒸し風呂が終わったら、そのまま続けて大浴場の素晴らしいお風呂に入れたので、とても気持ちよくて楽でした。今度は孫たちもつれて大勢で寄せて貰いたいと思います。お庭も広く …,指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
緒 前,N/A,"Tripadvisor
より（1 か月前）",土曜日からの一泊で60代夫婦と30代の娘との家族旅行で初めて宿泊させて頂きました。有難いことに、同じ料金でお部屋がグレードアップ⤴️の違う棟の和洋室にして頂いていて、ビックリ。お食事は食べきれないぐらいのお品数で手の込んだコース料理でした。美味しくて満足、満腹です。砂蒸し風呂に入りたくて指宿温泉を選んだのですが、砂蒸し風呂が終わったら、そのまま続けて大浴場の素晴らしいお風呂に入れたので、とても気持ちよくて楽でした。今度は孫たちもつれて大勢で寄せて貰いたいと思います。お庭も広く …,指宿白水館,"
〒891-0404 鹿児島県指宿市東方１２１２６−１２","
0993-22-3131",https://www.hakusuikan.co.jp/,"4.4
(3,258)",Unknown,Unknown,31.2164981,130.6179769
