Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ゆゆさん,5,1 か月前,お茶とお菓子をお座敷でいただきました。部屋から見える景色が美しいです。お茶の後に建物内の見学もできます。縁側から船も見えて日本画の様な風景でした。,掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
ゆゆさん,5,1 か月前,お茶とお菓子をお座敷でいただきました。部屋から見える景色が美しいです。お茶の後に建物内の見学もできます。縁側から船も見えて日本画の様な風景でした。,掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
BC Chan,4,3 か月前,"この場所と景色は本当に美しく、ここで抹茶とデザートを楽しむのは最高です。リラックスして静かに過ごせるかどうかは、運が良ければいいのですが、アジアの大きな国から騒々しい訪問者が来たら運が悪ければいいのです。

最初は運が良かったのですが、騒々しい人たちが来たらすぐに立ち去りました。

さらに、スタッフはとてもフレンドリーで親切でした。",掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
BC Chan,4,3 か月前,"この場所と景色は本当に美しく、ここで抹茶とデザートを楽しむのは最高です。リラックスして静かに過ごせるかどうかは、運が良ければいいのですが、アジアの大きな国から騒々しい訪問者が来たら運が悪ければいいのです。

最初は運が良かったのですが、騒々しい人たちが来たらすぐに立ち去りました。

さらに、スタッフはとてもフレンドリーで親切でした。",掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
さかたはるみじゃん,5,1 か月前,"栗林公園内にある茶屋
歴史のある建物でお抹茶と和菓子を頂き
その後は建物内を見学出来ます
枯山水の庭 奥行と開放感のある掬月の間から見える南湖が絶景です✨",掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
さかたはるみじゃん,5,1 か月前,"栗林公園内にある茶屋
歴史のある建物でお抹茶と和菓子を頂き
その後は建物内を見学出来ます
枯山水の庭 奥行と開放感のある掬月の間から見える南湖が絶景です✨",掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
ら“そら”そ,5,2 か月前,"建物はとても趣きがあり、外の眺めもよい。
真冬に行きましたが電気カーペットがあり、あたたかくて落ち着きました。中も歩いて見て回ることができて、とても良い時間を過ごせました。また違う季節にもここでゆっくりしたいです。",掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
ら“そら”そ,5,2 か月前,"建物はとても趣きがあり、外の眺めもよい。
真冬に行きましたが電気カーペットがあり、あたたかくて落ち着きました。中も歩いて見て回ることができて、とても良い時間を過ごせました。また違う季節にもここでゆっくりしたいです。",掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
三宅英彦,5,1 週間前,風光明媚な素敵な庭園。オンシーズンは朝5時半から開園してます。,掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
三宅英彦,5,1 週間前,風光明媚な素敵な庭園。オンシーズンは朝5時半から開園してます。,掬月亭,"
〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園","
0120-857-170",https://www.2chou.jp/news/ritsurin-kikugetsu/,"4.5
(759)",Unknown,〒760-0073 香川県高松市栗林町１丁目２０−１６ 内 栗林公園,34.3299036,134.0457696
