Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ANBO M,5,3 か月前,20241231ワンコ散歩しようと思い立ちよりました。駐車場は解放されていて、トイレも使用可能でした。飲食店などは見当たりませんでした。人も疎らでのんびり出来ました。,新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
ANBO M,5,3 か月前,20241231ワンコ散歩しようと思い立ちよりました。駐車場は解放されていて、トイレも使用可能でした。飲食店などは見当たりませんでした。人も疎らでのんびり出来ました。,新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
I F,5,8 か月前,"2024年8月
海水浴はいつも福井の方にいくのですが、天気が悪そうだったので三重県の海に海水浴しに行きました。
尾鷲よりも西にはおそらく行ったことがなかったのですが、口コミが良さそうなこちらのビーチにしました。
まず人が少なくて混み合ってないのが良いです。
場所取りも他の人と近すぎることなく広々と確保できます。
海の綺麗さでいうとやはり福井の綺麗な海には劣りますが十分に綺麗です。
ゴーグルで海中を覗くと浅瀬にも結構な大きさの魚が群れで泳いでました。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
I F,5,8 か月前,"2024年8月
海水浴はいつも福井の方にいくのですが、天気が悪そうだったので三重県の海に海水浴しに行きました。
尾鷲よりも西にはおそらく行ったことがなかったのですが、口コミが良さそうなこちらのビーチにしました。
まず人が少なくて混み合ってないのが良いです。
場所取りも他の人と近すぎることなく広々と確保できます。
海の綺麗さでいうとやはり福井の綺麗な海には劣りますが十分に綺麗です。
ゴーグルで海中を覗くと浅瀬にも結構な大きさの魚が群れで泳いでました。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
nt rg,4,8 か月前,"新鹿インターから近い、とても綺麗な海水浴場です。
特に列車の車窓から見える時、圧巻の景色です。

家族の希望で海水浴に来ました。駐車場1,000円のところに停めました。駐車場から細い橋を渡って海岸に行くところ。シャワーは男女別、試着室みたいな感じ。何分使えるかははっきりわからないけれど体感5分で100円くらい。
駐車場代、シャワー代は細かいものを準備していくと焦らないです。

意外と波が高い時もあり、周辺で遊んでいた子どもたちはライフジャケットをつけていて賢いなと思いました。おそらく深いところまでは行けないように区画はついていますが、水難事故が起きないように注意が必要です。

途中南紀が通るところが見れました。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
nt rg,4,8 か月前,"新鹿インターから近い、とても綺麗な海水浴場です。
特に列車の車窓から見える時、圧巻の景色です。

家族の希望で海水浴に来ました。駐車場1,000円のところに停めました。駐車場から細い橋を渡って海岸に行くところ。シャワーは男女別、試着室みたいな感じ。何分使えるかははっきりわからないけれど体感5分で100円くらい。
駐車場代、シャワー代は細かいものを準備していくと焦らないです。

意外と波が高い時もあり、周辺で遊んでいた子どもたちはライフジャケットをつけていて賢いなと思いました。おそらく深いところまでは行けないように区画はついていますが、水難事故が起きないように注意が必要です。

途中南紀が通るところが見れました。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
Noriyuki Saito,5,9 か月前,"2024.6.29訪問
海開き前でしたので、のんびり海水浴を楽しめました。
残念だったのが、写真をとりわすれましたが、奥の川が広げられて、川下りが出来なくなってしまった。

2023.9.2·3訪問
初めて新鹿(あたしか)海水浴場に来ました。
土曜日は、14時頃から海水浴をしました。海水温度は高くぬるかったです。
川が流れ込んでいるところは、ちょっとひんやりして気持ち良かったです。
日曜日は、9時で一番乗りでした。
大きい駐車場から近い砂浜は、満潮時には海の中でした。
ただ、その間は浅いプール状態で楽しめました。昼にはだいぶ砂浜になってました。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
Noriyuki Saito,5,9 か月前,"2024.6.29訪問
海開き前でしたので、のんびり海水浴を楽しめました。
残念だったのが、写真をとりわすれましたが、奥の川が広げられて、川下りが出来なくなってしまった。

2023.9.2·3訪問
初めて新鹿(あたしか)海水浴場に来ました。
土曜日は、14時頃から海水浴をしました。海水温度は高くぬるかったです。
川が流れ込んでいるところは、ちょっとひんやりして気持ち良かったです。
日曜日は、9時で一番乗りでした。
大きい駐車場から近い砂浜は、満潮時には海の中でした。
ただ、その間は浅いプール状態で楽しめました。昼にはだいぶ砂浜になってました。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
ZAOTON,4,8 か月前,"お盆休み時期の土曜だったので混雑を覚悟して行った。11時ごろ到着。駐車場は空いていて、すぐに停められた。
海水浴場では、テントを立てたり、バーベキューをしたりできる。

テントは2000円、バーベキューは1000円、観光協会に支払うように看板があったが、どこかに受付があるわけではなかったので、駐車場のおじさんに聞いたら、そのうち観光協会のスタッフの方が集金に来るとのことだった。

集金に来たスタッフの方は礼儀正しく、ゴミの回収場所などを丁寧に教えてくださった。

シャワーやトイレは古いが、不衛生というわけではなく、きちんと管理されていた。

海はとてもきれいだった。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
ZAOTON,4,8 か月前,"お盆休み時期の土曜だったので混雑を覚悟して行った。11時ごろ到着。駐車場は空いていて、すぐに停められた。
海水浴場では、テントを立てたり、バーベキューをしたりできる。

テントは2000円、バーベキューは1000円、観光協会に支払うように看板があったが、どこかに受付があるわけではなかったので、駐車場のおじさんに聞いたら、そのうち観光協会のスタッフの方が集金に来るとのことだった。

集金に来たスタッフの方は礼儀正しく、ゴミの回収場所などを丁寧に教えてくださった。

シャワーやトイレは古いが、不衛生というわけではなく、きちんと管理されていた。

海はとてもきれいだった。",新鹿海水浴場,"
〒519-4206 三重県熊野市新鹿町",Unknown,https://www.atashikabeach.com/,"4.4
(110)",お店やスポットの電話番号を追加する,観光名所,33.9285943,136.1472928
