Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
おいちゃん!熊本で単身赴任中,3,2 年前,"2022年10月。通行止めにはなっていませんが、道幅が狭く、車１台通れるのがやっとのところがほとんどで、すれ違いは大変厳しい。加えて、木の枝や石がたくさん落ちており、どうしても行きたい人以外はやめた方がいい。特に峠から南の高森町側は、道路の両脇から草がボウボウ。車が傷だらけになるのを覚悟してどうぞ。

峠からの登山道は、立入禁止のロープが張られており、事実上、入山禁止状態です。峠は森林の中で展望はのぞめません。トイレなし。もう行かない。",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
おいちゃん!熊本で単身赴任中,3,2 年前,"2022年10月。通行止めにはなっていませんが、道幅が狭く、車１台通れるのがやっとのところがほとんどで、すれ違いは大変厳しい。加えて、木の枝や石がたくさん落ちており、どうしても行きたい人以外はやめた方がいい。特に峠から南の高森町側は、道路の両脇から草がボウボウ。車が傷だらけになるのを覚悟してどうぞ。

峠からの登山道は、立入禁止のロープが張られており、事実上、入山禁止状態です。峠は森林の中で展望はのぞめません。トイレなし。もう行かない。",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
Captain nemo,5,2 年前,たまにこの峠を越えて阿蘇市側に行きたくなります。環境省・熊本県銘の『日の尾峠』と『九州自然道　阿蘇くじゅう国立公園ー阿蘇自然歩道ー』の2枚の案内板を読むことができます。古来は阿蘇・南郷を結ぶ重要路だと書かれています。阿蘇神社詣でや宮地の郡役所へなどの往来に使われていたようです。いまではすれ違う車も人もないややもすれば荒れていく林道といった風情ですが、むしろS社の軽四駆を駆るものにはちょっと馴らしにでかけたくなる場所でもあります。阿蘇市側への下りは見晴らしのいい開けた牧草地なども眺められます。ところどころ苔むした路面や湿潤な枯れ葉でぬかるんだ路面が現れます。滑りやすいのでスピードをださない安全運転を心がけましょう。また往来がマレとはいえども人や車・バイク・自転車などの対向車がくることを想定した前方注意が肝心です。慎重な運転を心がけましょう。,日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
Captain nemo,5,2 年前,たまにこの峠を越えて阿蘇市側に行きたくなります。環境省・熊本県銘の『日の尾峠』と『九州自然道　阿蘇くじゅう国立公園ー阿蘇自然歩道ー』の2枚の案内板を読むことができます。古来は阿蘇・南郷を結ぶ重要路だと書かれています。阿蘇神社詣でや宮地の郡役所へなどの往来に使われていたようです。いまではすれ違う車も人もないややもすれば荒れていく林道といった風情ですが、むしろS社の軽四駆を駆るものにはちょっと馴らしにでかけたくなる場所でもあります。阿蘇市側への下りは見晴らしのいい開けた牧草地なども眺められます。ところどころ苔むした路面や湿潤な枯れ葉でぬかるんだ路面が現れます。滑りやすいのでスピードをださない安全運転を心がけましょう。また往来がマレとはいえども人や車・バイク・自転車などの対向車がくることを想定した前方注意が肝心です。慎重な運転を心がけましょう。,日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
マスタング,3,2 年前,"2022.09.11南側からバイクで行きました。
鍋の平キャンプ場の先に門があり閉まってましたが、施錠は無く「開けたら閉めてください」の看板があります。
入りましたが落葉や落枝が凄いですね。
道幅は草のせり出しもあって軽自動車でも両サイドを草で擦る様なポイントもあり、バイクと軽自動車でも離合出来ない感じです。
たまたま自転車とバイクしかすれ違わなかったのでよかったです。
私観ですが感動する何かがあるわけではないので登山等の目的がある人以外は疲労と苦労は報われないと感じました。",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
マスタング,3,2 年前,"2022.09.11南側からバイクで行きました。
鍋の平キャンプ場の先に門があり閉まってましたが、施錠は無く「開けたら閉めてください」の看板があります。
入りましたが落葉や落枝が凄いですね。
道幅は草のせり出しもあって軽自動車でも両サイドを草で擦る様なポイントもあり、バイクと軽自動車でも離合出来ない感じです。
たまたま自転車とバイクしかすれ違わなかったのでよかったです。
私観ですが感動する何かがあるわけではないので登山等の目的がある人以外は疲労と苦労は報われないと感じました。",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
Nalutosi HASIMOTO,3,2 年前,"基本的に舗装道路をずっと歩く感じの登山道になってます。
そのまま南阿蘇に行く道かな
個人的にその手前
景色が好きで良く見に行きます(笑)",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
Nalutosi HASIMOTO,3,2 年前,"基本的に舗装道路をずっと歩く感じの登山道になってます。
そのまま南阿蘇に行く道かな
個人的にその手前
景色が好きで良く見に行きます(笑)",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
yuriele_to Jurney (Yuri_to_Journey),4,3 年前,"阿蘇山と根子岳の間を進む林道です

林道を慣れていないかたは不安を感じるかもしれませんが舗装もされています

ところどころ陥没や崖崩れがありますが通行できます

天気がよいと迫力の絶景です",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
yuriele_to Jurney (Yuri_to_Journey),4,3 年前,"阿蘇山と根子岳の間を進む林道です

林道を慣れていないかたは不安を感じるかもしれませんが舗装もされています

ところどころ陥没や崖崩れがありますが通行できます

天気がよいと迫力の絶景です",日ノ尾峠,"
熊本県Unnamed Road",Unknown,Unknown,"3.8
(11)",お店やスポットの電話番号を追加する,ハイキング コース,32.8855862,131.1317197
