Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
h 03hide,5,2 か月前,"ダム内にある・・建設現場を色々な角度から感じ取れるギャラリーでした。ダムの中に空間やエレベーター
などがあり上部でも下部からでも時間は限られていますが見学できます。是非ともこちらまで足を運んでください。",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
h 03hide,5,2 か月前,"ダム内にある・・建設現場を色々な角度から感じ取れるギャラリーでした。ダムの中に空間やエレベーター
などがあり上部でも下部からでも時間は限られていますが見学できます。是非ともこちらまで足を運んでください。",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
Morita Jehoshy,5,3 か月前,"2024年４月中頃と10月中頃に観光で訪れる。
1997(平成９)年に完成した日吉ダム堤体内部に在る見学施設。2018(平成30)年10月に「ダム博物館」の分館施設としてもオープン。入場料金は無料。
1990年代までは京都府宇治市の天ヶ瀬ダムで堤体内部へ入って洪水吐や発電設備を見学できたが、テロ対策や老朽化等で現在は見学不可能になった。それだけに現役稼働中のダム内部を見学できる施設は貴重。
日吉ダムスプリングパークからダム堰堤へ向かうとインフォギャラリーへの出入口がある。もうひとつは日吉ダム堤頂からエレベーターで3階から１階へ降りればインフォギャラリー内部の受付の横へ直に入れる。
内部は３つのテーマゾーンに分かれ、出入口から順番に「20周年記念ゾーン→ダム建設ゾーン→ダム管理ゾーン」と奥へ続き、最後は常用洪水吐ゲート見学室に至る。
20世紀記念ゾーンは、映像によるダムの仕組みの解説役と聞き役に、少年画報社ヤングキングアワーズGHに2014年４月号から2016年９月号まで連載された「ダムマンガ」の主役キャラクター２人が採用されており（完結済のコミックス全４巻で各巻にキャラクターのダムカードが付いてた）、ダム博物館分館 第２号治水館の宣伝ポスターにも２人が居る。思わぬ再会に懐かしさが込み上げた。
常用洪水吐ゲート見学室は、無機質な階段を昇り降りしつつガラス窓向こうの巨大な機械を眺める様は近未来ＳＦチック。
いろいろ見学してるうちに、通路の片側の壁の向こうに圧倒的大量の湖水が存在してると気付くと得も言われぬ戦慄と不気味さに襲われる。
西日本でダムを体験するなら必ず行くべき施設。
【2024年神無月筆】",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
Morita Jehoshy,5,3 か月前,"2024年４月中頃と10月中頃に観光で訪れる。
1997(平成９)年に完成した日吉ダム堤体内部に在る見学施設。2018(平成30)年10月に「ダム博物館」の分館施設としてもオープン。入場料金は無料。
1990年代までは京都府宇治市の天ヶ瀬ダムで堤体内部へ入って洪水吐や発電設備を見学できたが、テロ対策や老朽化等で現在は見学不可能になった。それだけに現役稼働中のダム内部を見学できる施設は貴重。
日吉ダムスプリングパークからダム堰堤へ向かうとインフォギャラリーへの出入口がある。もうひとつは日吉ダム堤頂からエレベーターで3階から１階へ降りればインフォギャラリー内部の受付の横へ直に入れる。
内部は３つのテーマゾーンに分かれ、出入口から順番に「20周年記念ゾーン→ダム建設ゾーン→ダム管理ゾーン」と奥へ続き、最後は常用洪水吐ゲート見学室に至る。
20世紀記念ゾーンは、映像によるダムの仕組みの解説役と聞き役に、少年画報社ヤングキングアワーズGHに2014年４月号から2016年９月号まで連載された「ダムマンガ」の主役キャラクター２人が採用されており（完結済のコミックス全４巻で各巻にキャラクターのダムカードが付いてた）、ダム博物館分館 第２号治水館の宣伝ポスターにも２人が居る。思わぬ再会に懐かしさが込み上げた。
常用洪水吐ゲート見学室は、無機質な階段を昇り降りしつつガラス窓向こうの巨大な機械を眺める様は近未来ＳＦチック。
いろいろ見学してるうちに、通路の片側の壁の向こうに圧倒的大量の湖水が存在してると気付くと得も言われぬ戦慄と不気味さに襲われる。
西日本でダムを体験するなら必ず行くべき施設。
【2024年神無月筆】",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
N M,3,3 年前,"タムの内部にあるギャラリーです。
中は少しひんやりしてました。

ダムが建設されるに至った経緯や、ダム完成前後の写真、ジオラマ、ガラス越しに見えるゲートなどがあり、博物館みたいになっていますので色々と知ることができます。

しかしよっぽどダムのことが好きな人以外はあんまり楽しめる場所ではないと思います。

小さなお子さんなどは特にワクワクする要素が少なくてすぐ飽きると思います。
何か体験出来るものでもあればいいのですが。

大人でもダムの構造なんかに興味がない人は飽きると思います。

ただダムの内部に入れることは貴重だと思うので、日吉ダムに来られた際は入ってみる価値はあると思います。",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
N M,3,3 年前,"タムの内部にあるギャラリーです。
中は少しひんやりしてました。

ダムが建設されるに至った経緯や、ダム完成前後の写真、ジオラマ、ガラス越しに見えるゲートなどがあり、博物館みたいになっていますので色々と知ることができます。

しかしよっぽどダムのことが好きな人以外はあんまり楽しめる場所ではないと思います。

小さなお子さんなどは特にワクワクする要素が少なくてすぐ飽きると思います。
何か体験出来るものでもあればいいのですが。

大人でもダムの構造なんかに興味がない人は飽きると思います。

ただダムの内部に入れることは貴重だと思うので、日吉ダムに来られた際は入ってみる価値はあると思います。",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
もといわはるまさ,5,9 か月前,"見学に訪れた人に少しでもダムのことを知ってもらおうと、一生懸命作りこんでいる様子が伝わって、好感度が高いです。
気楽に、興味の赴くままにぶらりと見学したらいいかと思います。
階下から、広場に降りて橋のほうへ行き素晴らしい解放感も味わえます。",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
もといわはるまさ,5,9 か月前,"見学に訪れた人に少しでもダムのことを知ってもらおうと、一生懸命作りこんでいる様子が伝わって、好感度が高いです。
気楽に、興味の赴くままにぶらりと見学したらいいかと思います。
階下から、広場に降りて橋のほうへ行き素晴らしい解放感も味わえます。",日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
もちもち,5,1 年前,ダム堤体内部にあるギャラリーです。なんとダムマンガの部長がお出迎えしてくれました！洪水吐ラジアルゲートお見ることができます。かなりヒンヤリしてて真夏に訪問すると心地よいです。展示物もや解説も素晴らしいですがダム堤体内部に入れるって凄いことですよね！,日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
もちもち,5,1 年前,ダム堤体内部にあるギャラリーです。なんとダムマンガの部長がお出迎えしてくれました！洪水吐ラジアルゲートお見ることができます。かなりヒンヤリしてて真夏に訪問すると心地よいです。展示物もや解説も素晴らしいですがダム堤体内部に入れるって凄いことですよね！,日吉ダム インフォギャラリー,"
〒629-0335 京都府南丹市日吉町中 神子ヶ谷68","
0771-72-0171",https://www.water.go.jp/kansai/hiyoshi/html/infovisitor/infogallery2.html,"4.5
(12)",Unknown,技術博物館,35.1475891,135.5174208
