Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
朝倉和子（クレア）,4,3 週間前,"コレド室町1の３階に有ります。
コレド室町は、アーバンなムードで食事が出来て好きです。

蟹専門店と言う事で、心行くまで蟹を食べたい人と、行きました。

お通しから始まり、全ての料理に蟹が入っていて、これぞ蟹尽くし！
と満足しました。

お酒も色々有り、日本酒を頂きましたが、美味しかったです。

小ぢんまりした店なので、予約をして行った方が良いと思います。

夜、コレド室町に初めて行きましたが、昼とは違う落ち着いたムードを味わえました。",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
朝倉和子（クレア）,4,3 週間前,"コレド室町1の３階に有ります。
コレド室町は、アーバンなムードで食事が出来て好きです。

蟹専門店と言う事で、心行くまで蟹を食べたい人と、行きました。

お通しから始まり、全ての料理に蟹が入っていて、これぞ蟹尽くし！
と満足しました。

お酒も色々有り、日本酒を頂きましたが、美味しかったです。

小ぢんまりした店なので、予約をして行った方が良いと思います。

夜、コレド室町に初めて行きましたが、昼とは違う落ち着いたムードを味わえました。",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
桑澤健一,4,3 か月前,正月4日の11:30に予約し入店。店内は女性の予約客で満席。この時期は予約がないと入れない！毛蟹会席13000円と御かに飯2200円にかにみそ甲羅焼き880円にかに皮酒を注文。コースなので順番に出てくるので1品別に頼んでよかった。とくにかにみその甲羅焼きはマイルドでふわふわしてコクがあり絶品。前菜のソフトクラブの唐揚げも想像以上に柔らかくパリパリで美味しかった。カニ酢とかに飯がやや甘めで女性向きかと思ったが個人的にはもう少し押さえ酢の効いたほうが好き。かに飯の量が普通でも多めなので女性は注意。サービスの早さ　気配り　店の雰囲気も良く安心して正月気分を楽しめた!,日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
桑澤健一,4,3 か月前,正月4日の11:30に予約し入店。店内は女性の予約客で満席。この時期は予約がないと入れない！毛蟹会席13000円と御かに飯2200円にかにみそ甲羅焼き880円にかに皮酒を注文。コースなので順番に出てくるので1品別に頼んでよかった。とくにかにみその甲羅焼きはマイルドでふわふわしてコクがあり絶品。前菜のソフトクラブの唐揚げも想像以上に柔らかくパリパリで美味しかった。カニ酢とかに飯がやや甘めで女性向きかと思ったが個人的にはもう少し押さえ酢の効いたほうが好き。かに飯の量が普通でも多めなので女性は注意。サービスの早さ　気配り　店の雰囲気も良く安心して正月気分を楽しめた!,日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
sos izumi,4,1 か月前,"以前行ったこちらの本店が良かったので行ってみました。
内容はほぼ変わらず。
カニクリームコロッケやかにすき鍋の後の雑炊は美味しかったです。
ただ8人ほどの団体客が周囲を気にせず大声でしゃべっていたのが気に障りました。
あそこまで騒がしいなら店側も注意すべきですね",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
sos izumi,4,1 か月前,"以前行ったこちらの本店が良かったので行ってみました。
内容はほぼ変わらず。
カニクリームコロッケやかにすき鍋の後の雑炊は美味しかったです。
ただ8人ほどの団体客が周囲を気にせず大声でしゃべっていたのが気に障りました。
あそこまで騒がしいなら店側も注意すべきですね",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
あさしょ,4,4 か月前,"訪問日：2021年10月
日本橋の蟹料理屋さん。
三越前駅から2〜3分の場所にあります。
コレド室町1の3Fです。

新型コロナのワクチン接種を受け、
副反応で暫く美味いもんが食えないかもしれん、
ということで接種後蟹を食べに来ました。
(結果的に1週間体調不良になったので正解…orz)

金曜19:30過ぎに行き、3割ほどの埋まり。
いただいたのは以下です。

✔︎かにしゃぶ 小（3980円）
ずわい蟹のしゃぶしゃぶです。
しゃぶしゃぶの出汁は昆布と蟹で取っている。
ずわい蟹のポーションは8本。
野菜は人参、椎茸、えのき、ネギ、豆腐、
白菜、ほうれん草などなど。
小にしてはなかなかのボリューム。
紅葉おろし、青ネギを入れたポン酢に
潜らせながら食べ進めていきます。
蟹は少し熱を通した
半生くらいが美味しい(*´ω`*)

✔︎かにめし 上（2800円）
こちらもずわい蟹たっぷりのかにめし。
枝豆や魚卵、海苔などを散りばめて華々に。

・まずは茶碗に寄せて蟹出汁茶漬けで、
・そのあとは出汁無しのかに飯を
・最後に薬味を投入して再度出汁で食べて〆
という三段階で食べるのがお勧めだそう。
卓上にある胡麻山椒なんかも使うと、
一味変わるのでこれもアクセントに使えます。
かにめしはミニカニクリームコロッケ付きです。

注文したのは2品だけだったが
確りカニを満喫した。
他にも値段は張るがタラバガニがあったり、
刺身や焼き、すき焼き、グラタン、味噌など、
バリエーション豊かなかにメニューが満載。
あと1,2回は行っても飽きなさそうかな。
ごちそうさまでした(°▽°)！",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
あさしょ,4,4 か月前,"訪問日：2021年10月
日本橋の蟹料理屋さん。
三越前駅から2〜3分の場所にあります。
コレド室町1の3Fです。

新型コロナのワクチン接種を受け、
副反応で暫く美味いもんが食えないかもしれん、
ということで接種後蟹を食べに来ました。
(結果的に1週間体調不良になったので正解…orz)

金曜19:30過ぎに行き、3割ほどの埋まり。
いただいたのは以下です。

✔︎かにしゃぶ 小（3980円）
ずわい蟹のしゃぶしゃぶです。
しゃぶしゃぶの出汁は昆布と蟹で取っている。
ずわい蟹のポーションは8本。
野菜は人参、椎茸、えのき、ネギ、豆腐、
白菜、ほうれん草などなど。
小にしてはなかなかのボリューム。
紅葉おろし、青ネギを入れたポン酢に
潜らせながら食べ進めていきます。
蟹は少し熱を通した
半生くらいが美味しい(*´ω`*)

✔︎かにめし 上（2800円）
こちらもずわい蟹たっぷりのかにめし。
枝豆や魚卵、海苔などを散りばめて華々に。

・まずは茶碗に寄せて蟹出汁茶漬けで、
・そのあとは出汁無しのかに飯を
・最後に薬味を投入して再度出汁で食べて〆
という三段階で食べるのがお勧めだそう。
卓上にある胡麻山椒なんかも使うと、
一味変わるのでこれもアクセントに使えます。
かにめしはミニカニクリームコロッケ付きです。

注文したのは2品だけだったが
確りカニを満喫した。
他にも値段は張るがタラバガニがあったり、
刺身や焼き、すき焼き、グラタン、味噌など、
バリエーション豊かなかにメニューが満載。
あと1,2回は行っても飽きなさそうかな。
ごちそうさまでした(°▽°)！",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
R O.,4,4 か月前,"師走のプチ贅沢ランチに蟹をいただきたくなり初めての訪問。
席数が少ないので、予約をした方が確実ですが、開店と同時に行ってカウンター席でいただけました。

◎蟹のお味…ご飯もコロッケもしっかり蟹の味を楽しめました
◯お値段…4,250円/一人

☆マイナス１…後々メニューの写真を見たら、かにすき膳に甘味がついていなかったことに気が付きました。残念です。",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
R O.,4,4 か月前,"師走のプチ贅沢ランチに蟹をいただきたくなり初めての訪問。
席数が少ないので、予約をした方が確実ですが、開店と同時に行ってカウンター席でいただけました。

◎蟹のお味…ご飯もコロッケもしっかり蟹の味を楽しめました
◯お値段…4,250円/一人

☆マイナス１…後々メニューの写真を見たら、かにすき膳に甘味がついていなかったことに気が付きました。残念です。",日本橋かに福 コレド室町店,"
〒103-0022 東京都中央区日本橋室町２丁目２−１ コレド室町1 3F","
03-6265-1577",http://www.kani-fuku.com/coredomenu,"3.6
(231)",Unknown,かに料理店,39.0984243,140.0750625
