Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
tony nakayama,5,3 週間前,"幾度と行った横浜山下公園てすが初めて氷川丸に乗船しました。
入場料は比較的安くて更に色んな割引もあります。最初はデッキと客室の見学だけかと思っていましたが、操縦室や機関室、チャプリンが泊まった個室や歴史資料も見学出来てとても楽しめました。船上から見る横浜はいかにも港町って感じでした。
戦前からの外国航路船なのでとても貴重です。保存も大変とは思いますが末永く保存して欲しいものです。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
tony nakayama,5,3 週間前,"幾度と行った横浜山下公園てすが初めて氷川丸に乗船しました。
入場料は比較的安くて更に色んな割引もあります。最初はデッキと客室の見学だけかと思っていましたが、操縦室や機関室、チャプリンが泊まった個室や歴史資料も見学出来てとても楽しめました。船上から見る横浜はいかにも港町って感じでした。
戦前からの外国航路船なのでとても貴重です。保存も大変とは思いますが末永く保存して欲しいものです。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
Noriko I,5,1 か月前,"横浜は遠くはないので、若い頃から何度も訪れているのに、氷川丸の中に入ったことが一度もありませんでした（笑）

3月1日は土曜日で、観覧できるので、初めて乗船してみました。

入館料300円も安いので、船長室とか客室とかダンスホール位かと思って、順路通りに進んでいくと、操舵室には、当時の機械類が並んでましたし、船底のエンジンルームは、物凄い数のパイプやら操作のためのレバーやらで、圧巻でした。
この入館料で良いの？と思うくらい観て良かったと思いました。

また、艦内に展示してあった、子供達の賞を取った絵画も、どれも素晴らしい絵でした。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
Noriko I,5,1 か月前,"横浜は遠くはないので、若い頃から何度も訪れているのに、氷川丸の中に入ったことが一度もありませんでした（笑）

3月1日は土曜日で、観覧できるので、初めて乗船してみました。

入館料300円も安いので、船長室とか客室とかダンスホール位かと思って、順路通りに進んでいくと、操舵室には、当時の機械類が並んでましたし、船底のエンジンルームは、物凄い数のパイプやら操作のためのレバーやらで、圧巻でした。
この入館料で良いの？と思うくらい観て良かったと思いました。

また、艦内に展示してあった、子供達の賞を取った絵画も、どれも素晴らしい絵でした。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
kazy “jasmine”,5,1 か月前,"山下公園には数え切れないほど来ていて何十年目にして初めての入場（乗船？）。予想をはるかに超える床面積に驚きながら、順路の矢印のお蔭で迷うこともなく見学。氷川丸は輸送船だとばかり思っていたら、貨客船だった。貨物も人も運んでいた船の特等船室や一等船室の客室や食堂の豪華なこと。三等船室は狭い二段ベッドの8人部屋で、映画タイタニックを思い出した。
操舵室には氷川丸の由来でもある大宮の氷川神社のお札も祀ってあった。
入場料は、一般300円、シニア200円、小人100円と、とてもお得な印象。中は綺麗に保たれているし、トイレも男女別である。広い看板から大海原やベイブリッジも眺められるし、大満足。各階へ繋がる階段が細くて急なので、高いヒールは気をつけて。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
kazy “jasmine”,5,1 か月前,"山下公園には数え切れないほど来ていて何十年目にして初めての入場（乗船？）。予想をはるかに超える床面積に驚きながら、順路の矢印のお蔭で迷うこともなく見学。氷川丸は輸送船だとばかり思っていたら、貨客船だった。貨物も人も運んでいた船の特等船室や一等船室の客室や食堂の豪華なこと。三等船室は狭い二段ベッドの8人部屋で、映画タイタニックを思い出した。
操舵室には氷川丸の由来でもある大宮の氷川神社のお札も祀ってあった。
入場料は、一般300円、シニア200円、小人100円と、とてもお得な印象。中は綺麗に保たれているし、トイレも男女別である。広い看板から大海原やベイブリッジも眺められるし、大満足。各階へ繋がる階段が細くて急なので、高いヒールは気をつけて。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
Sesame Open (simsim),4,2 週間前,"2025/2/15、恐らく2回目。
お昼のお店を予約してあって、それまで時間が余っていたので寄ることにしました。友達は障害者手帳があって無料で、一緒に来た友達も付き添いで無料にしていました。私は待っている間に割引制度についてじっくり読んでいたら、ネットで優待券があることを発見。割引で入ることができました。後ろに並んでいた外国人観光客にも教えてあげたのですが、ネット環境ないらしく、一枚で5名までだったので自分たちの仲間に加えることにしました。
中をしっかりと見て回りました。こういう形でちゃんと保存して公開してくれてありがたいです。
割引情報を日本語以外でも表記して欲しいです。
無料wifiあり。
クレカ払い。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
Sesame Open (simsim),4,2 週間前,"2025/2/15、恐らく2回目。
お昼のお店を予約してあって、それまで時間が余っていたので寄ることにしました。友達は障害者手帳があって無料で、一緒に来た友達も付き添いで無料にしていました。私は待っている間に割引制度についてじっくり読んでいたら、ネットで優待券があることを発見。割引で入ることができました。後ろに並んでいた外国人観光客にも教えてあげたのですが、ネット環境ないらしく、一枚で5名までだったので自分たちの仲間に加えることにしました。
中をしっかりと見て回りました。こういう形でちゃんと保存して公開してくれてありがたいです。
割引情報を日本語以外でも表記して欲しいです。
無料wifiあり。
クレカ払い。",日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
ミツバ・,5,2 か月前,1930年の竣工から貨客船、病院船、引き揚げ船、定期航路船、観光船、重要文化財と移り変わり歴史ある船。入館チケットが一般300円・・維持費も掛かるだろうにと思ってしまう。,日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
ミツバ・,5,2 か月前,1930年の竣工から貨客船、病院船、引き揚げ船、定期航路船、観光船、重要文化財と移り変わり歴史ある船。入館チケットが一般300円・・維持費も掛かるだろうにと思ってしまう。,日本郵船氷川丸,"
〒231-0023 神奈川県横浜市中区山下町山下公園地先","
045-641-4362",https://hikawamaru.nyk.com/,"4.4
(1,958)",Unknown,博物館,35.4457655,139.6497793
