Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
飯島友子,4,1 週間前,週末、天気が良かったので、ドライブ🚗🌞しに行きました!と、言うのも家🏡から車で20分!!すごく混んでいました!山桜や枝垂れ桜🌸が満開でした✨仙娥滝の近くのお店屋さんや神社⛩️なども有ります!仙娥滝を見るのには、階段がかなり有り、観光されている人たちも、かなり辛かったみたいです😅ヒール👠は、履いて行かないほうがいいですよ!!桜🌸満開の昇仙峡でした✨,昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
飯島友子,4,1 週間前,週末、天気が良かったので、ドライブ🚗🌞しに行きました!と、言うのも家🏡から車で20分!!すごく混んでいました!山桜や枝垂れ桜🌸が満開でした✨仙娥滝の近くのお店屋さんや神社⛩️なども有ります!仙娥滝を見るのには、階段がかなり有り、観光されている人たちも、かなり辛かったみたいです😅ヒール👠は、履いて行かないほうがいいですよ!!桜🌸満開の昇仙峡でした✨,昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
さすらいのワタリガニ,5,2 か月前,"昇仙峡 グリーンライン 県営無料駐車場に車を停めてバスにで滝上バス停まで行き、ハイキングコースを歩いて駐車場に向かうルートで散策しました。
大体30～40分ほどで仙娥滝、石門、覚円峰など見所を回る事が出来ます。
川の中や周りは大きい岩がたくさんで迫力があります。
1回目に行った時は入ったトイレが1週間後に落石で潰れ、２回目は紅葉シーズンでしたが夕方だったため散策している人が誰もおらず、うっかり川に落ちても誰にも知られずに行方不明になってしまいそうだな、とちょっとゾッとしました。

自然の迫力が素晴らしい所なので、出来るだけ人の多い時間に歩きやすい格好で落石に気をつけながら楽しむといいと思います。",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
さすらいのワタリガニ,5,2 か月前,"昇仙峡 グリーンライン 県営無料駐車場に車を停めてバスにで滝上バス停まで行き、ハイキングコースを歩いて駐車場に向かうルートで散策しました。
大体30～40分ほどで仙娥滝、石門、覚円峰など見所を回る事が出来ます。
川の中や周りは大きい岩がたくさんで迫力があります。
1回目に行った時は入ったトイレが1週間後に落石で潰れ、２回目は紅葉シーズンでしたが夕方だったため散策している人が誰もおらず、うっかり川に落ちても誰にも知られずに行方不明になってしまいそうだな、とちょっとゾッとしました。

自然の迫力が素晴らしい所なので、出来るだけ人の多い時間に歩きやすい格好で落石に気をつけながら楽しむといいと思います。",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
まんぷくぷく,4,3 か月前,"紅葉時期ではないですが立ち寄ってみました
ロープウェイ往復￥１５００(片道５分)
00.20.40.と２０分間隔で運行してます

アソビューなら割引あるようですが￥１００円割引ですね

乗車券少し高く感じますがロープウェイのロープ一本交換で憶掛かるそうで維持費や今回2人乗っても運行なのを考えると高くもないのかもしれませんね

頂上景色は富士山や街並みや金峰山など見渡せて
とても絶景でした！
更に展望台迄５分と書いてあり少し登りましたが そこからの富士山は木が邪魔した見えず街並みを見下ろす感じで期待外れですが遠くの山々などはとても綺麗でした  ただ一歩先は崖なので転がり落ちたら命がとても危険な感じで足がすくみました

冬なので観光客もチラホラで静かですが
ゆっくり見れたので とても良かったです😊

出発乗り場の外にはジャイアンという
とても大きいな黄金の鯉がいます
キラキラして綺麗でしたよ

次回は紅葉時期に来たいと思います",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
まんぷくぷく,4,3 か月前,"紅葉時期ではないですが立ち寄ってみました
ロープウェイ往復￥１５００(片道５分)
00.20.40.と２０分間隔で運行してます

アソビューなら割引あるようですが￥１００円割引ですね

乗車券少し高く感じますがロープウェイのロープ一本交換で憶掛かるそうで維持費や今回2人乗っても運行なのを考えると高くもないのかもしれませんね

頂上景色は富士山や街並みや金峰山など見渡せて
とても絶景でした！
更に展望台迄５分と書いてあり少し登りましたが そこからの富士山は木が邪魔した見えず街並みを見下ろす感じで期待外れですが遠くの山々などはとても綺麗でした  ただ一歩先は崖なので転がり落ちたら命がとても危険な感じで足がすくみました

冬なので観光客もチラホラで静かですが
ゆっくり見れたので とても良かったです😊

出発乗り場の外にはジャイアンという
とても大きいな黄金の鯉がいます
キラキラして綺麗でしたよ

次回は紅葉時期に来たいと思います",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
M marvelous,5,4 か月前,"紅葉の季節に訪れました。
甲府駅7:30発のバスに乗りましたが、平日早朝ということで紅葉シーズンながらも車内はとても空いていました。およそ30分で昇仙峡口のバス停に着き、そこから上に向けて登ってみました。

川沿いの色々な岩に色々な名前が付いており、ひとつひとつ見て行くと結構楽しめます。
のんびりと写真を撮りながら、道を逸れて寄り道しつつのんびり進んで、ロープウェイ駅近辺までおよそ3時間半でした。
道は整備されているので、歩きやすい靴であれば何でも大丈夫です。

覚円峰に着く頃には人がかなり増え、仙娥滝ではかなりの混雑でした。
ほとんどの人が車や観光バスでロープウェイ駅近辺に直行するので、上に行けば行くほど混んでいます。
ロープウェイも紅葉シーズンのため平日ながらも臨時便が沢山出ていましたが、それでも1本目には乗れず、行き帰りとも次便に乗ることになりました。

覚円峰や仙娥滝もとても綺麗ですが、ロープウェイで登った先にある昇仙峡パノラマ台展望台からの景色は絶景でした。
ただしパノラマ展望台までは少し道が悪いので注意が必要です。",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
M marvelous,5,4 か月前,"紅葉の季節に訪れました。
甲府駅7:30発のバスに乗りましたが、平日早朝ということで紅葉シーズンながらも車内はとても空いていました。およそ30分で昇仙峡口のバス停に着き、そこから上に向けて登ってみました。

川沿いの色々な岩に色々な名前が付いており、ひとつひとつ見て行くと結構楽しめます。
のんびりと写真を撮りながら、道を逸れて寄り道しつつのんびり進んで、ロープウェイ駅近辺までおよそ3時間半でした。
道は整備されているので、歩きやすい靴であれば何でも大丈夫です。

覚円峰に着く頃には人がかなり増え、仙娥滝ではかなりの混雑でした。
ほとんどの人が車や観光バスでロープウェイ駅近辺に直行するので、上に行けば行くほど混んでいます。
ロープウェイも紅葉シーズンのため平日ながらも臨時便が沢山出ていましたが、それでも1本目には乗れず、行き帰りとも次便に乗ることになりました。

覚円峰や仙娥滝もとても綺麗ですが、ロープウェイで登った先にある昇仙峡パノラマ台展望台からの景色は絶景でした。
ただしパノラマ展望台までは少し道が悪いので注意が必要です。",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
秋山,5,4 か月前,"車で紅葉を見に昇仙峡へ
駐車場は有名な場所＋紅葉シーズンだったので何処も混んでいたので早く行くことをオススメします。
ハイキングコースがあり、仙娥滝～昇仙峡グリーンラインまでの道のりを歩きました。写真を撮りながら歩き、1時間もかからない程度で堪能出来ました。
滝は虹がかかって迫力満点で、紅葉はとても色付いていて平日の疲れが吹っ飛びました。
かなりオススメです、感動しました。",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
秋山,5,4 か月前,"車で紅葉を見に昇仙峡へ
駐車場は有名な場所＋紅葉シーズンだったので何処も混んでいたので早く行くことをオススメします。
ハイキングコースがあり、仙娥滝～昇仙峡グリーンラインまでの道のりを歩きました。写真を撮りながら歩き、1時間もかからない程度で堪能出来ました。
滝は虹がかかって迫力満点で、紅葉はとても色付いていて平日の疲れが吹っ飛びました。
かなりオススメです、感動しました。",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
夏男,4,4 か月前,"2024年11月24日訪問
紅葉狩🍁を思い立ちお昼過ぎにロープウェイ側の市営駐車場へ到着。　お昼を食べて帰られる方々もいらっしゃり無事に駐車できました。
遊歩道を散策し、高さ30mの仙娥滝にてマイナスイオンを浴びて、石門や覚円峰の壮大さと紅葉🍁の見事さを堪能しました♪",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
夏男,4,4 か月前,"2024年11月24日訪問
紅葉狩🍁を思い立ちお昼過ぎにロープウェイ側の市営駐車場へ到着。　お昼を食べて帰られる方々もいらっしゃり無事に駐車できました。
遊歩道を散策し、高さ30mの仙娥滝にてマイナスイオンを浴びて、石門や覚円峰の壮大さと紅葉🍁の見事さを堪能しました♪",昇仙峡,"
〒400-1214 山梨県甲府市高成町","
090-8648-0243",https://www.shosenkyo-kankoukyokai.com/,"4.3
(2,745)",Unknown,〒400-1214 山梨県甲府市高成町,35.7494911,138.565943
