Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
杉浦T,4,6 か月前,"「春」舟越保武
四季のタイトルが付いた作品
幣舞橋を飾る彫刻で景色に溶け込む素敵なデザイン",春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
杉浦T,4,6 か月前,"「春」舟越保武
四季のタイトルが付いた作品
幣舞橋を飾る彫刻で景色に溶け込む素敵なデザイン",春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
Kei Yoshino,3,1 年前,残念ながら雲がかかっていましたが何人かは来ていたので有名な撮影スポットだと実感しました。雲がない日にリベンジしたいです。,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
Kei Yoshino,3,1 年前,残念ながら雲がかかっていましたが何人かは来ていたので有名な撮影スポットだと実感しました。雲がない日にリベンジしたいです。,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
濱田達海,5,5 年前,ここから見る旧釧路川沿いの夕陽は最高です。何度この夕陽を見るためにこの春の像の前に立ったことか❣️,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
濱田達海,5,5 年前,ここから見る旧釧路川沿いの夕陽は最高です。何度この夕陽を見るためにこの春の像の前に立ったことか❣️,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
9 MONKEYS,3,2 年前,日の入りの時刻に一番人が集まる像。東京藝大名誉教授の作品。,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
9 MONKEYS,3,2 年前,日の入りの時刻に一番人が集まる像。東京藝大名誉教授の作品。,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
GO Deto,4,1 年前,"夕焼けだけじゃもったいない
朝焼けだってとっても綺麗",春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
GO Deto,4,1 年前,"夕焼けだけじゃもったいない
朝焼けだってとっても綺麗",春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
knich tam,4,5 年前,"舟越保武氏
「若葉が萌えいずる雪解けの季節｣",春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
knich tam,4,5 年前,"舟越保武氏
「若葉が萌えいずる雪解けの季節｣",春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
Hiroiku Kawai,4,5 年前,朝焼け、夕焼け、観れませんでした。残念！,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
Hiroiku Kawai,4,5 年前,朝焼け、夕焼け、観れませんでした。残念！,春,"
〒085-0015 北海道釧路市北大通１丁目",Unknown,Unknown,"4.1
(29)",お店やスポットの電話番号を追加する,〒085-0015 北海道釧路市北大通１丁目,42.9810566,144.3855501
