Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
4M-2M,5,1 年前,"とても広い歩道橋がある名橋(全長26m、全幅15m)。長さに対して、これだけの幅は初めて見ました。広場には沢山の鳩がいました。
鉄筋コンクリート 3径間ラーメン橋
日本百名橋",智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
4M-2M,5,1 年前,"とても広い歩道橋がある名橋(全長26m、全幅15m)。長さに対して、これだけの幅は初めて見ました。広場には沢山の鳩がいました。
鉄筋コンクリート 3径間ラーメン橋
日本百名橋",智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
珈琲,5,4 年前,"智頭橋Chizu Bridge (3月下旬～4月上旬)：
烏取市元町～材木町付近   鳥取駅徒歩１５分
袋川桜土手 約230本、1500km",智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
珈琲,5,4 年前,"智頭橋Chizu Bridge (3月下旬～4月上旬)：
烏取市元町～材木町付近   鳥取駅徒歩１５分
袋川桜土手 約230本、1500km",智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
因幡国白兎,5,6 年前,"新しい橋になってから年数が経ちました。袋川の上に広い広場が併設されて、しゃんしゃん祭りなどや、各種イベントに利用されて、大変多くの人々で賑わいます。ポケモンGO
のジムも設定されていて、レイドバトルなどで、多くのファンが常に集まっています。気候が良くなると夕暮れ時から、待ち合わせの人達が集まり、日中は時間に余裕かある方々の憩いの場になっています。夜間も照明が明るいので、集う方々も多数いらっしゃいます。大変優れた公共施設になりました。",智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
因幡国白兎,5,6 年前,"新しい橋になってから年数が経ちました。袋川の上に広い広場が併設されて、しゃんしゃん祭りなどや、各種イベントに利用されて、大変多くの人々で賑わいます。ポケモンGO
のジムも設定されていて、レイドバトルなどで、多くのファンが常に集まっています。気候が良くなると夕暮れ時から、待ち合わせの人達が集まり、日中は時間に余裕かある方々の憩いの場になっています。夜間も照明が明るいので、集う方々も多数いらっしゃいます。大変優れた公共施設になりました。",智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
ニイタカヤマノボレ,4,3 年前,ブロンズ像があり橋から見渡す街中を流れる袋川が癒されます。春は桜が咲きます。沿道は散歩やジョギングやウォーキングにビッタリで、朝は猫がちらほらいます。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
ニイタカヤマノボレ,4,3 年前,ブロンズ像があり橋から見渡す街中を流れる袋川が癒されます。春は桜が咲きます。沿道は散歩やジョギングやウォーキングにビッタリで、朝は猫がちらほらいます。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
きっし,5,5 年前,桜が咲く時季には、花見スポットとして、とても賑やかで、近くに公衆便所、駐車場、居酒屋、コンビニがありとても良いです❗,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
きっし,5,5 年前,桜が咲く時季には、花見スポットとして、とても賑やかで、近くに公衆便所、駐車場、居酒屋、コンビニがありとても良いです❗,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
白いケモノ,5,5 年前,五月連休中に来たのですが、鯉のぼりや、遠目に見える城山が良かったです。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
白いケモノ,5,5 年前,五月連休中に来たのですが、鯉のぼりや、遠目に見える城山が良かったです。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
北村勇治,4,5 年前,春は桜が綺麗なスポットです。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
北村勇治,4,5 年前,春は桜が綺麗なスポットです。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
MIKI,3,5 年前,市民の憩いの場…と言いたいが閑散として、日常的な活用がなされてないのが残念。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
MIKI,3,5 年前,市民の憩いの場…と言いたいが閑散として、日常的な活用がなされてないのが残念。,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
Takashi kodani,4,4 年前,ここから見る桜がとても良いです,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
Takashi kodani,4,4 年前,ここから見る桜がとても良いです,智頭橋,"
〒680-0037 鳥取県鳥取市元町３２２",Unknown,Unknown,"4.4
(20)",お店やスポットの電話番号を追加する,〒680-0037 鳥取県鳥取市元町３２２,35.3825271,134.2275487
