Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Ka N,5,1 年前,親切で金額に応じた修理に板金の腕も最高です。ただ一人で運営してるので、それだけは、加味してあげて下さい。ディーラーより良い仕事してくれます！,有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
Ka N,5,1 年前,親切で金額に応じた修理に板金の腕も最高です。ただ一人で運営してるので、それだけは、加味してあげて下さい。ディーラーより良い仕事してくれます！,有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
でんたく2ばん,5,2 年前,"先日v36スカイラインのブレーキフルード&前後パッドの持ち込み交換お願いしました。
店主さんは穏やかな方で好印象でした。
交換後の説明、案内もわかりやすいと思いました。

注意点として、予約日当日、事前にこちらから一本電話を入れたほうがよさそうです。
お一人で作業されている様で、急用で外に出ている、なんてことがありました。",有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
でんたく2ばん,5,2 年前,"先日v36スカイラインのブレーキフルード&前後パッドの持ち込み交換お願いしました。
店主さんは穏やかな方で好印象でした。
交換後の説明、案内もわかりやすいと思いました。

注意点として、予約日当日、事前にこちらから一本電話を入れたほうがよさそうです。
お一人で作業されている様で、急用で外に出ている、なんてことがありました。",有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
oyashiro sama,1,4 年前,"代車は無料で借りれます。ただ注意が必要です。軽になるというのは聞いてたけど、パワステ壊れてるし、ガス欠状態の代車でした。
見積もりから取り付けをやめた部品あったので工程減ってるはずなのに見積もり通りでした。どういう見積もりだったんだろう。予定してた通りだったら2-3万増えてるってことだけど、見積もりザルすぎないか？また納期も遅れると思うと聞いていたけど、予定納期になっても連絡なく、問い合わせるまで連絡なし。遅れたことに対して謝罪もなし。なんで高評価なの？たぶんなんのトラブルもなく上手く行った人の評価なのかな。二度と頼まないかな。",有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
oyashiro sama,1,4 年前,"代車は無料で借りれます。ただ注意が必要です。軽になるというのは聞いてたけど、パワステ壊れてるし、ガス欠状態の代車でした。
見積もりから取り付けをやめた部品あったので工程減ってるはずなのに見積もり通りでした。どういう見積もりだったんだろう。予定してた通りだったら2-3万増えてるってことだけど、見積もりザルすぎないか？また納期も遅れると思うと聞いていたけど、予定納期になっても連絡なく、問い合わせるまで連絡なし。遅れたことに対して謝罪もなし。なんで高評価なの？たぶんなんのトラブルもなく上手く行った人の評価なのかな。二度と頼まないかな。",有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
nin svn,5,1 年前,"古い車のエアコンがきかなくなりみてもらいました。
色々、方法を提案してもらい、しっかり対応していただきました。
なにより、科学が良心的でびっくりしました。
また、お世話になります！",有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
nin svn,5,1 年前,"古い車のエアコンがきかなくなりみてもらいました。
色々、方法を提案してもらい、しっかり対応していただきました。
なにより、科学が良心的でびっくりしました。
また、お世話になります！",有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
笠井清隆,5,5 年前,お一人でやられているので、いつもお忙しそうですが、技術は確かで料金も良心的です。板金塗装は現在はされていないそうです。,有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
笠井清隆,5,5 年前,お一人でやられているので、いつもお忙しそうですが、技術は確かで料金も良心的です。板金塗装は現在はされていないそうです。,有限会社フクバ自動車工業,"
〒233-0016 神奈川県横浜市港南区下永谷２丁目２９−７","
0078-60569-89213",https://www.goo-net.com/pit/shop/0551163/top?site=GMB,"4.5
(12)",Unknown,自動車整備工場,35.4116308,139.2568839
