Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
田村徹,5,1 年前,ここの場所は愛媛県の野村ダムの駐車場からはすぐ近くにあります。2024年4月14に訪れた時は、まだ桜が咲いていました。展望台もあります。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
田村徹,5,1 年前,ここの場所は愛媛県の野村ダムの駐車場からはすぐ近くにあります。2024年4月14に訪れた時は、まだ桜が咲いていました。展望台もあります。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
MonaLisa JP3 Server,4,4 か月前,"毎年、双子座流星群をここで見ております！
今年は天気が微妙でしたが、ちゃんと見れました！
鹿や、カモシカ、猫など道中に車道に出てきました。　運転はスピードを出さずゆっくりと行きましょう！",朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
MonaLisa JP3 Server,4,4 か月前,"毎年、双子座流星群をここで見ております！
今年は天気が微妙でしたが、ちゃんと見れました！
鹿や、カモシカ、猫など道中に車道に出てきました。　運転はスピードを出さずゆっくりと行きましょう！",朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
魔法少女さくら,3,5 年前,"入口ではでっかい牛の置物が出迎えてくれます。
その近くに展望台がありますが、木が生い茂っていてダムやダム湖は見えません。
ダム自体は車で渡ることができ、川岸に車を停めるスペースもあります。
公園とは言うものの遊べるものはほぼありません。",朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
魔法少女さくら,3,5 年前,"入口ではでっかい牛の置物が出迎えてくれます。
その近くに展望台がありますが、木が生い茂っていてダムやダム湖は見えません。
ダム自体は車で渡ることができ、川岸に車を停めるスペースもあります。
公園とは言うものの遊べるものはほぼありません。",朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
吉嶺樹,3,2 年前,のんびり花見するのにいいと思います。今日は花見には少し早かったので貸し切りでした。トイレが和式なので洋式トイレになってくれたらいいなぁ～。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
吉嶺樹,3,2 年前,のんびり花見するのにいいと思います。今日は花見には少し早かったので貸し切りでした。トイレが和式なので洋式トイレになってくれたらいいなぁ～。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
Isao Murashita,4,3 年前,桜の時期はなかなかのものです。入口にいる牛の巨大なオブジェが結構シュールで…ま、私はこういうの好きな方ですが(笑),朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
Isao Murashita,4,3 年前,桜の時期はなかなかのものです。入口にいる牛の巨大なオブジェが結構シュールで…ま、私はこういうの好きな方ですが(笑),朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
檜垣陽介,5,2 年前,"文字通り、朝霧が湖面に浮かぶ朝霧湖に出会えて、最高のウォーキング日和となりました。
ここから乙亥会館までの約3キロ、肱川沿いの農道をゆっくりと野村町の河成段丘を眺めながら、4年前の豪雨災害からの復興の芽吹くさまを実感できました。",朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
檜垣陽介,5,2 年前,"文字通り、朝霧が湖面に浮かぶ朝霧湖に出会えて、最高のウォーキング日和となりました。
ここから乙亥会館までの約3キロ、肱川沿いの農道をゆっくりと野村町の河成段丘を眺めながら、4年前の豪雨災害からの復興の芽吹くさまを実感できました。",朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
のんびりクマさん,4,8 年前,年末年始のイルミネーションはなかなかよいです。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
のんびりクマさん,4,8 年前,年末年始のイルミネーションはなかなかよいです。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
Daicey Hackmann,3,5 年前,ホワイトファームへ行く途中にトイレ休憩に寄ったものの丁度改修工事中でした。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
Daicey Hackmann,3,5 年前,ホワイトファームへ行く途中にトイレ休憩に寄ったものの丁度改修工事中でした。,朝霧湖ダム公園,"
〒797-1212 愛媛県西予市野村町野村",Unknown,Unknown,"3.6
(41)",お店やスポットの電話番号を追加する,〒797-1212 愛媛県西予市野村町野村,33.3597906,132.6287645
