Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
HiDE会,4,3 か月前,"札幌市内とは思えない自然豊かな場所、森の中にある美術館。
北海道の自然と一体となった作品も様々展示されています！
北海道の作家を中心とした企画展や有名作家の企画展も開催されてます！
東京や大阪の美術館では考えられないほどゆっくりと見れる事も！
北海道民に愛されている美術館ですが、観光でも訪れてほしい場所です！
オススメします。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
HiDE会,4,3 か月前,"札幌市内とは思えない自然豊かな場所、森の中にある美術館。
北海道の自然と一体となった作品も様々展示されています！
北海道の作家を中心とした企画展や有名作家の企画展も開催されてます！
東京や大阪の美術館では考えられないほどゆっくりと見れる事も！
北海道民に愛されている美術館ですが、観光でも訪れてほしい場所です！
オススメします。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
ねこさん,5,6 か月前,"昨年にも行われた「謎解き」のイベントに行きました。毎年オリジナルのシナリオにそって　彫刻等の作品の側にある問題を解きます。
小学校中学年から大人まで楽しめます。
屋外なので　雨の日は傘必須です。
簡単な方は2時間程度　難しい方は半日近くかかります。来年もあれば必ず参加したい。
参加者は　家族連れ、カップル、学生グループ
大人のグループ等様々です。
アートに親しみがなくても大丈夫ですが　山の中の美術館なので　歩道は整備されていますが
スニーカー、虫よけ、荷物少なめ、がんがん歩いて謎解きします。朝から行って17時のタイムアップまで楽しめます。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
ねこさん,5,6 か月前,"昨年にも行われた「謎解き」のイベントに行きました。毎年オリジナルのシナリオにそって　彫刻等の作品の側にある問題を解きます。
小学校中学年から大人まで楽しめます。
屋外なので　雨の日は傘必須です。
簡単な方は2時間程度　難しい方は半日近くかかります。来年もあれば必ず参加したい。
参加者は　家族連れ、カップル、学生グループ
大人のグループ等様々です。
アートに親しみがなくても大丈夫ですが　山の中の美術館なので　歩道は整備されていますが
スニーカー、虫よけ、荷物少なめ、がんがん歩いて謎解きします。朝から行って17時のタイムアップまで楽しめます。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
Y Ohta,5,1 年前,"2024年3月の下旬に訪問。
ガッツリ積雪していて、人はほぼいなかった。
（スタッフ的な人も見かけず、2時間半滞在して、すれ違ったのは1組のみ）

というのも、場所によっては膝まで埋まるくらいの深い雪になっていたりするので歩きにくく、結構体力が必要。
（防水の靴＆パンツであればよかったと思うが、普通のスニーカー＆スラックスだったのでビショビショになった）

白銀の世界×作品 というのも、それはそれで綺麗くて、しかも人がいないから見やすくてよかったんじゃないかと思う反面、やはりハイシーズンに来てみたいなという方が大きかった。

はじめて行く方には、積雪期ではない季節がオススメ。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
Y Ohta,5,1 年前,"2024年3月の下旬に訪問。
ガッツリ積雪していて、人はほぼいなかった。
（スタッフ的な人も見かけず、2時間半滞在して、すれ違ったのは1組のみ）

というのも、場所によっては膝まで埋まるくらいの深い雪になっていたりするので歩きにくく、結構体力が必要。
（防水の靴＆パンツであればよかったと思うが、普通のスニーカー＆スラックスだったのでビショビショになった）

白銀の世界×作品 というのも、それはそれで綺麗くて、しかも人がいないから見やすくてよかったんじゃないかと思う反面、やはりハイシーズンに来てみたいなという方が大きかった。

はじめて行く方には、積雪期ではない季節がオススメ。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
はやと,5,1 年前,"緑豊かな広大な敷地に74点の彫刻が点在しています。じっくり回れば二、三時間はかかります。道は歩きやすいですが、起伏もありますので、それなりに体力を使います。
なかなか難解な作品もありますが、わかりやすく、見ていて楽しい作品もあります。入場の際に作品解説のパンフレットをいただけますので大丈夫です。なんせ沢山の作品がありますから、いくつかは心に残る作品と出会えると思います。ピクニック気分で散策を楽しむにはもってこいですし、近年は謎解きゲームも行っているなど、エンターテイメント施設としての側面も持つようになりました。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
はやと,5,1 年前,"緑豊かな広大な敷地に74点の彫刻が点在しています。じっくり回れば二、三時間はかかります。道は歩きやすいですが、起伏もありますので、それなりに体力を使います。
なかなか難解な作品もありますが、わかりやすく、見ていて楽しい作品もあります。入場の際に作品解説のパンフレットをいただけますので大丈夫です。なんせ沢山の作品がありますから、いくつかは心に残る作品と出会えると思います。ピクニック気分で散策を楽しむにはもってこいですし、近年は謎解きゲームも行っているなど、エンターテイメント施設としての側面も持つようになりました。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
masayuki kato,4,2 週間前,"息子の太鼓交流会を見にアートホールへ来ました。
初めて入ったけど色んな建物があるんだね。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
masayuki kato,4,2 週間前,"息子の太鼓交流会を見にアートホールへ来ました。
初めて入ったけど色んな建物があるんだね。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
shinsuke,5,1 年前,"明和電機展に行ってきました。
どれも製作者の頭がぶっ飛んでいてとても脳が刺激されました。
オタマトーンとサバオしか知らなかったのですが、それ以外にもたくさん展示されていて初めて見るものばかりで楽しかったです。
1時間に一回ライブが開催されており、ロボットの演奏は大人から子供まで楽しめると思います。
別館にて実際に購入できるのですが、実際に触れて音を出したりして楽しめるのでオススメです。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
shinsuke,5,1 年前,"明和電機展に行ってきました。
どれも製作者の頭がぶっ飛んでいてとても脳が刺激されました。
オタマトーンとサバオしか知らなかったのですが、それ以外にもたくさん展示されていて初めて見るものばかりで楽しかったです。
1時間に一回ライブが開催されており、ロボットの演奏は大人から子供まで楽しめると思います。
別館にて実際に購入できるのですが、実際に触れて音を出したりして楽しめるのでオススメです。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
ひるね,4,1 年前,"北海道の観光の１つでお邪魔してきました。
野外ということもあって、散歩しながら楽しむことができました。
色々とイベントもあるので、行く時に事前にお調べになったら良いかと思います。
また四季によって楽しみ方も変わるようです。私は夏の終わり頃に行ったので、紅葉もこれからという時期でした。紅葉の季節は絶対綺麗だろうなとも思いますし、冬景色も楽しむことができそう。
体験型美術館なので一日遊ぶことができると思います。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
ひるね,4,1 年前,"北海道の観光の１つでお邪魔してきました。
野外ということもあって、散歩しながら楽しむことができました。
色々とイベントもあるので、行く時に事前にお調べになったら良いかと思います。
また四季によって楽しみ方も変わるようです。私は夏の終わり頃に行ったので、紅葉もこれからという時期でした。紅葉の季節は絶対綺麗だろうなとも思いますし、冬景色も楽しむことができそう。
体験型美術館なので一日遊ぶことができると思います。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
松さえちゃん,5,7 か月前,JAF割、65歳以上割が有り、景色と作品を見ながら公園散歩、最高でした。この時期は、栗とどんぐりが、かなり落ちてます。,札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
松さえちゃん,5,7 か月前,JAF割、65歳以上割が有り、景色と作品を見ながら公園散歩、最高でした。この時期は、栗とどんぐりが、かなり落ちてます。,札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
t. m.,4,10 か月前,"入口で鑑賞のワンポイント解説をもらえる。そのコメントが的確で、しばらく見てコンセプトが分からない時についつい見てしまう。
で、なるほどと思うのと同時に変なこと考えるなぁと思い色々心の中で突っ込む自分は芸術家から遠く離れた脳みそをしているなと感じて何故か面白くなってくる。

帰りに撮った写真を見ながら、世の中変な人がいるなーと思いながら愉快な気分で帰れるのは、社会や風景への違った見方の欠片を手に入れた気がするからかもと思った。
芸術って余分な場合が多いのかもしれないけど、人を浮き上がらせる力があるのかなと。

要するに、行って良かった。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
t. m.,4,10 か月前,"入口で鑑賞のワンポイント解説をもらえる。そのコメントが的確で、しばらく見てコンセプトが分からない時についつい見てしまう。
で、なるほどと思うのと同時に変なこと考えるなぁと思い色々心の中で突っ込む自分は芸術家から遠く離れた脳みそをしているなと感じて何故か面白くなってくる。

帰りに撮った写真を見ながら、世の中変な人がいるなーと思いながら愉快な気分で帰れるのは、社会や風景への違った見方の欠片を手に入れた気がするからかもと思った。
芸術って余分な場合が多いのかもしれないけど、人を浮き上がらせる力があるのかなと。

要するに、行って良かった。",札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
9 MONKEYS,4,2 年前,美術鑑賞しながら、退屈せずに一時間程度のハイキングが楽しめます。舗装されていない道もあるので、ヒールやサンダルは避けた方が良いと思います。,札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
9 MONKEYS,4,2 年前,美術鑑賞しながら、退屈せずに一時間程度のハイキングが楽しめます。舗装されていない道もあるので、ヒールやサンダルは避けた方が良いと思います。,札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
ロシアンブルーm,4,2 年前,GW5/5 駐車場件は事前ローソンで購入。野外美術館は天気も良く丁度いい気温でした。展示場所によっては角度の急な土手もあり雨の日は足が滑りそう。芝生の上でゆったりしている親子も多かった。またゆっくり行こうと思います。,札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
ロシアンブルーm,4,2 年前,GW5/5 駐車場件は事前ローソンで購入。野外美術館は天気も良く丁度いい気温でした。展示場所によっては角度の急な土手もあり雨の日は足が滑りそう。芝生の上でゆったりしている親子も多かった。またゆっくり行こうと思います。,札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
Tadao Higaki (tadaoh),4,2 年前,広大な敷地内に膨大な彫刻作品が展示してあり、これらをマップ片手に探して回るのがけっこう楽しいです。一番のオススメは環境彫刻家ダニ・カラヴァンの『隠された庭への道』。心地良いリズムを奏でるように作品が配置されており、ここだけ時間の流れが違っているように感じます。,札幌芸術の森野外美術館,"
〒005-0864 北海道札幌市南区芸術の森２丁目７５","
011-592-5111",http://artpark.or.jp/category/miru/outdoor/,"4.3
(524)",営業時間を追加,〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9420205,141.3423619
