Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
藤岡康裕,4,4 か月前,1995年5月に自転車で訪れました。標高はピークで１２３２ｍあるようです。峠の茶屋からの景色は良かったです。,杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
藤岡康裕,4,4 か月前,1995年5月に自転車で訪れました。標高はピークで１２３２ｍあるようです。峠の茶屋からの景色は良かったです。,杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
ORDCヘルメットオジサン,3,7 か月前,"林道探検の帰りにトイレ休憩で立ち寄りました。
景色ですが、店内に入らないと見えない(・・;)
キャンプの食材買い出しもあったので、景色は見れませんでした。

中部地方放浪バイク旅2024",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
ORDCヘルメットオジサン,3,7 か月前,"林道探検の帰りにトイレ休憩で立ち寄りました。
景色ですが、店内に入らないと見えない(・・;)
キャンプの食材買い出しもあったので、景色は見れませんでした。

中部地方放浪バイク旅2024",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
Yoichi Akaha,5,7 か月前,"16時にお店が閉まってしまうので注意
良い展望ですので下車してください
無線関係には茅野諏訪方面開けており絶好のロケーションです
公衆トイレあります",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
Yoichi Akaha,5,7 か月前,"16時にお店が閉まってしまうので注意
良い展望ですので下車してください
無線関係には茅野諏訪方面開けており絶好のロケーションです
公衆トイレあります",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
Tai Hiro,3,1 年前,"Google mapだと、ゴルフ場の目の前に案内されてしまいます。
もう少し茅野市側に見晴らしの良いポイントがあります。
そこそこ交通量がありますので、駐車には配慮したいですね。",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
Tai Hiro,3,1 年前,"Google mapだと、ゴルフ場の目の前に案内されてしまいます。
もう少し茅野市側に見晴らしの良いポイントがあります。
そこそこ交通量がありますので、駐車には配慮したいですね。",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
Hide T,5,2 年前,"見晴らしが良い場所です。茅野市街側から向かうには曲がりくねった道をひたすら登る必要があるので運転が苦手な方はご注意を。

ツーリングバイクがとても多いです。",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
Hide T,5,2 年前,"見晴らしが良い場所です。茅野市街側から向かうには曲がりくねった道をひたすら登る必要があるので運転が苦手な方はご注意を。

ツーリングバイクがとても多いです。",杖突峠,"
〒396-0301 長野県伊那市高遠町藤沢",Unknown,Unknown,"4.2
(33)",Unknown,〒396-0301 長野県伊那市高遠町藤沢,35.9700595,138.1237754
