Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
谷哲,5,2 か月前,東近江市役所の本庁舎です。建物は本館と新館があり、廊下でつながっています。,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
谷哲,5,2 か月前,東近江市役所の本庁舎です。建物は本館と新館があり、廊下でつながっています。,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
森本孝朗,5,3 年前,"だいたい親切。
かなり親切。
そして慎重。
20年ぐらい前は態度の悪い人もいましたが、最近は見たことないですね。",東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
森本孝朗,5,3 年前,"だいたい親切。
かなり親切。
そして慎重。
20年ぐらい前は態度の悪い人もいましたが、最近は見たことないですね。",東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
Uchida Yuki,4,4 年前,マイナンバーカードをもらいに行きました。混んでいませんでしたし、親切に対応してくださいました。,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
Uchida Yuki,4,4 年前,マイナンバーカードをもらいに行きました。混んでいませんでしたし、親切に対応してくださいました。,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
Kuma H-M (もっくま),5,3 年前,"新しいだけあってやはり綺麗ですね！
人が集うところ、生活に必要不可欠なところはやはり綺麗でないと☆",東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
Kuma H-M (もっくま),5,3 年前,"新しいだけあってやはり綺麗ですね！
人が集うところ、生活に必要不可欠なところはやはり綺麗でないと☆",東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
木瀬政己,4,2 年前,マイナンバ―カ―ドの申請に行きました。混雑してました。,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
木瀬政己,4,2 年前,マイナンバ―カ―ドの申請に行きました。混雑してました。,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
古市外夫（いっちゃん）,4,3 年前,皆さん親切ですが、入口から遠い😰椎間板ヘルニアには、キツイ😥 …,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
古市外夫（いっちゃん）,4,3 年前,皆さん親切ですが、入口から遠い😰椎間板ヘルニアには、キツイ😥 …,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
近江の防人,3,11 か月前,      11 か月前,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
近江の防人,3,11 か月前,      11 か月前,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
ハルハル（はるはる）,5,1 日前,      1 日前 新規,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
ハルハル（はるはる）,5,1 日前,      1 日前 新規,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
藤井豊,5,4 日前,      4 日前 新規,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
藤井豊,5,4 日前,      4 日前 新規,東近江市役所 新館,"
〒527-0023 滋賀県東近江市八日市緑町１０−５","
0748-24-1234",http://www.city.higashiomi.shiga.jp/,"4.0
(22)",Unknown,〒527-0023 滋賀県東近江市八日市緑町１０−５,35.1124983,135.903546
