Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
へろむ,4,3 か月前,"なかなか見応えのある滝。「桑ノ木の滝」の看板を発見し、車はそのまま路駐。（少し広くなっている所あり）
苔生した道を２０分位歩くと到着。道中は険しいが、手作りの鎖や橋、手すりなど随所にあり行きやすい。",桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
へろむ,4,3 か月前,"なかなか見応えのある滝。「桑ノ木の滝」の看板を発見し、車はそのまま路駐。（少し広くなっている所あり）
苔生した道を２０分位歩くと到着。道中は険しいが、手作りの鎖や橋、手すりなど随所にあり行きやすい。",桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
六茶,5,1 年前,"滝100選に選ばれていることもあり大迫力の最高の滝でした。
駐車場はないので入り口の橋手前の道路に沿って停める形になります。
道は整備されているわけではないのでスニーカーで行くことをオススメします。かなり足元が悪いです。足腰の悪い方もそれなりの覚悟を持っていってください。来られていた50代くらいの方はかなり疲労感を示しており、足首を捻ってこけていました…1人ずつで渡ることを推奨する橋もあれば、急傾斜の岩道にチェーンが張っていたりと過酷な道ですがその先には最高の滝が待っています。",桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
六茶,5,1 年前,"滝100選に選ばれていることもあり大迫力の最高の滝でした。
駐車場はないので入り口の橋手前の道路に沿って停める形になります。
道は整備されているわけではないのでスニーカーで行くことをオススメします。かなり足元が悪いです。足腰の悪い方もそれなりの覚悟を持っていってください。来られていた50代くらいの方はかなり疲労感を示しており、足首を捻ってこけていました…1人ずつで渡ることを推奨する橋もあれば、急傾斜の岩道にチェーンが張っていたりと過酷な道ですがその先には最高の滝が待っています。",桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
【もっち】,5,1 年前,お盆の時期にこちらに立ち寄りました。7月〜8月は路駐禁止みたいなので高田自然プールの駐車場に車を止めて歩いて行きました。入口の橋を渡るとお墓があり、その奥の山道を20分ほど歩くと滝に辿り着きました。自然豊かな所で綺麗な渓谷と滝が見れて大満足でした。歩けないほど酷い山道ではないですけど行かれるならスニーカーなどの動きやすい靴で行かれる方が良いと思います。,桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
【もっち】,5,1 年前,お盆の時期にこちらに立ち寄りました。7月〜8月は路駐禁止みたいなので高田自然プールの駐車場に車を止めて歩いて行きました。入口の橋を渡るとお墓があり、その奥の山道を20分ほど歩くと滝に辿り着きました。自然豊かな所で綺麗な渓谷と滝が見れて大満足でした。歩けないほど酷い山道ではないですけど行かれるならスニーカーなどの動きやすい靴で行かれる方が良いと思います。,桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
Ar Kn,4,2 年前,"日本の滝百選で落差20mの直瀑。
落差はそれ程無いが、水量もあり幅広く流れ落ちているので見応えはあります。滝前まで少し距離はありますが到達難易度は低いお手軽滝です。

滝に向かって左側の岩壁には短いですが鎖が設置してあるので、それを使って接近する事は可能。
右側は川を渡れば足場が良いので近づくのは容易です。こちらの斜面を登れば落口まで行けそうですが、他の見物客がいれば止めた方が良いでしょう。

入口から滝前まで徒歩10分程度。手摺等が設置された遊歩道は、舗装されてはいませんがある程度歩きやすく整備されています。ロープや鎖の設置箇所もありますが、危険な所は無い平坦な道程で小学校低学年でも歩ける道です。

服装はあまり気にする必要は無し。靴はスニーカー程度で問題ありません。

駐車スペース有り。入口付近の国道に路駐となります。
国道から入口に渡る鋼製橋は軽自動車なら通れそうで入口前のスペースに駐車できそうです。

現地にトイレはありません。",桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
Ar Kn,4,2 年前,"日本の滝百選で落差20mの直瀑。
落差はそれ程無いが、水量もあり幅広く流れ落ちているので見応えはあります。滝前まで少し距離はありますが到達難易度は低いお手軽滝です。

滝に向かって左側の岩壁には短いですが鎖が設置してあるので、それを使って接近する事は可能。
右側は川を渡れば足場が良いので近づくのは容易です。こちらの斜面を登れば落口まで行けそうですが、他の見物客がいれば止めた方が良いでしょう。

入口から滝前まで徒歩10分程度。手摺等が設置された遊歩道は、舗装されてはいませんがある程度歩きやすく整備されています。ロープや鎖の設置箇所もありますが、危険な所は無い平坦な道程で小学校低学年でも歩ける道です。

服装はあまり気にする必要は無し。靴はスニーカー程度で問題ありません。

駐車スペース有り。入口付近の国道に路駐となります。
国道から入口に渡る鋼製橋は軽自動車なら通れそうで入口前のスペースに駐車できそうです。

現地にトイレはありません。",桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
Naoki Tsuneyasu,3,5 年前,とても素敵な滝を見ることができますが、バスで行くには、1日の本数が少ない為、結果的には、4時間ここで時間を潰さなくてなりません。無理。最初はなだらかですが、だんだんと、山道になり、結構険しい山登り的な事になります。スニーカーや運動のしやすい服装がオススメ。決して、サンダルやヒールなどでは、行かない様に、泣くことになりますよ。,桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
Naoki Tsuneyasu,3,5 年前,とても素敵な滝を見ることができますが、バスで行くには、1日の本数が少ない為、結果的には、4時間ここで時間を潰さなくてなりません。無理。最初はなだらかですが、だんだんと、山道になり、結構険しい山登り的な事になります。スニーカーや運動のしやすい服装がオススメ。決して、サンダルやヒールなどでは、行かない様に、泣くことになりますよ。,桑ノ木の滝,"
〒647-1102 和歌山県新宮市相賀",Unknown,Unknown,"4.3
(47)",Unknown,滝,33.7278925,135.9331516
