Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
s T,5,7 か月前,"昔、蓮沼の商店街に簡易的な⁈植村冒険館があった。
閉館したので残念だと思っていたが、
Googleマップを見ていて、たまたま、
数年前より行きたいと思っていたが、
たまたま、近くに来ていたので、寄ってみた。
行って驚いたのが、板橋区のスポーツ施設の半分近くを植村直己の施設として活用されていた。

植村冒険館は、冒険家・植村直己の偉業と精神を伝えるための素晴らしい施設です。ここでは、彼の冒険の記録や使用した装備品を間近で見ることができ、冒険の魅力を存分に感じることができます。夫人公子さんからの提供の品がたくさんある。
これは、生誕地の場所にある植村直己冒険館に、
劣らないぐらいの資料が展示されていた。
また、登山や冒険に関する本なども蔵書されており、魅力ある施設としてリニューアルされていました。

各階施設のご紹介

3階 植村冒険館
常設展示: 植村直己の冒険の軌跡を詳細に紹介しています。
企画展示: 定期的にテーマを変えて特別展示を行っています。
ミュージアムショップ: 植村直己に関連するグッズや書籍を購入できます。
どんぐり文庫: 冒険や自然に関する書籍が揃っています。

2階 パネル展示
大パネルの写真: 植村直己の冒険の瞬間を捉えた迫力ある写真が展示されています。
年表: 植村直己の生涯と冒険の歴史を時系列で紹介しています。

1階 ウエムラチャレンジベース
シンボル展示犬ぞり（複製）: 植村直己が使用した犬ぞりの複製が展示されています。
ブックスペース: 冒険や自然に関する書籍を自由に閲覧できます。
展示スペース: 様々なテーマの展示が行われています。

階段 「言葉の回廊」
植村直己の著書から引用した「ウエムラ・スピリット」を感じとれる言葉が壁に紹介されています。
植村冒険館は、冒険の魅力を感じ、植村直己の精神に触れることができる貴重な場所です。ぜひ一度訪れてみてください！

また、行きたいと思う施設でした。
スタッフの方々も丁寧な対応をされていて気持ちが良かったです。

これらが無料とは驚きです。",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
s T,5,7 か月前,"昔、蓮沼の商店街に簡易的な⁈植村冒険館があった。
閉館したので残念だと思っていたが、
Googleマップを見ていて、たまたま、
数年前より行きたいと思っていたが、
たまたま、近くに来ていたので、寄ってみた。
行って驚いたのが、板橋区のスポーツ施設の半分近くを植村直己の施設として活用されていた。

植村冒険館は、冒険家・植村直己の偉業と精神を伝えるための素晴らしい施設です。ここでは、彼の冒険の記録や使用した装備品を間近で見ることができ、冒険の魅力を存分に感じることができます。夫人公子さんからの提供の品がたくさんある。
これは、生誕地の場所にある植村直己冒険館に、
劣らないぐらいの資料が展示されていた。
また、登山や冒険に関する本なども蔵書されており、魅力ある施設としてリニューアルされていました。

各階施設のご紹介

3階 植村冒険館
常設展示: 植村直己の冒険の軌跡を詳細に紹介しています。
企画展示: 定期的にテーマを変えて特別展示を行っています。
ミュージアムショップ: 植村直己に関連するグッズや書籍を購入できます。
どんぐり文庫: 冒険や自然に関する書籍が揃っています。

2階 パネル展示
大パネルの写真: 植村直己の冒険の瞬間を捉えた迫力ある写真が展示されています。
年表: 植村直己の生涯と冒険の歴史を時系列で紹介しています。

1階 ウエムラチャレンジベース
シンボル展示犬ぞり（複製）: 植村直己が使用した犬ぞりの複製が展示されています。
ブックスペース: 冒険や自然に関する書籍を自由に閲覧できます。
展示スペース: 様々なテーマの展示が行われています。

階段 「言葉の回廊」
植村直己の著書から引用した「ウエムラ・スピリット」を感じとれる言葉が壁に紹介されています。
植村冒険館は、冒険の魅力を感じ、植村直己の精神に触れることができる貴重な場所です。ぜひ一度訪れてみてください！

また、行きたいと思う施設でした。
スタッフの方々も丁寧な対応をされていて気持ちが良かったです。

これらが無料とは驚きです。",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
hm new,5,1 か月前,"植村直己を知れる無料の施設
映像は見応えあるのでぜひ全部見てほしい
ガラスケース内は写真撮影可能

スポーツセンターと併設していて駐車場40分間無料（それだけじゃ足りないけど）",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
hm new,5,1 か月前,"植村直己を知れる無料の施設
映像は見応えあるのでぜひ全部見てほしい
ガラスケース内は写真撮影可能

スポーツセンターと併設していて駐車場40分間無料（それだけじゃ足りないけど）",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
Sa,3,7 か月前,"板橋区役所前駅からまっすぐに徒歩10分位。
小学生の時よく植村直己さんのことニュースになっていました。昭和の子供なら記憶にあるでしょう。またこの図書室が勝手に本読んでいってね仕様。よい場所です。",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
Sa,3,7 か月前,"板橋区役所前駅からまっすぐに徒歩10分位。
小学生の時よく植村直己さんのことニュースになっていました。昭和の子供なら記憶にあるでしょう。またこの図書室が勝手に本読んでいってね仕様。よい場所です。",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
ss mmmio,5,3 か月前,公共の博物館ですが植村直己に興味ある人であればとても満足できると思います。,植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
ss mmmio,5,3 か月前,公共の博物館ですが植村直己に興味ある人であればとても満足できると思います。,植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
浅草寿,5,3 年前,"板橋区役所前から続く王子新道をゆるゆると降りてくると現れるきれいな建物。正式名称を板橋区立植村記念加賀スポーツセンターといいます。
この辺りは東板橋文化レクリエーションゾーンと呼ばれ、板橋区でもスポーツ施設や公園などが多いエリア。
この日のお目当ては2021年12月18日にリニューアルオープンした植村冒険館。冒険館の開館によって板橋区立植村記念加賀スポーツセンターもフルオープンとなりました。
展示を観て思ったのは、植村さんは厳しい自然のなかでホントにたったひとり行動されていたんだなということ。
その生涯をかけて人間の可能性に挑戦し続け、どのような状況におかれても人間らしい豊かな心で目標に向かって努力する…この冒険精神「ウエムラ・スピリット」を永く後世に伝えるため板橋区によって植村記念財団が設立され、ご家族から譲り受けた装備品や活動を伝える写真の展示、冒険に関する図書の貸出、自然を体験する事業などが行われているそうです。
常設展示と映像体験のできるメイン展示室は３階。2022年２月５日は「北極圏1万2000㎞」をテーマにした展示が行われていました。心が締め付けられるような犬ぞりでの壮絶な冒険。
今回は２階のパネル展示は見逃してしまったのだけれど、１階のウエムラチャレンジベースをじっくり観て来ました。
複製の犬ぞりがシンボル展示されていますが、３階でムービーを観たばかりだったのでさまざまな感情が…アウトドア関連のブックコーナーもありましたよ。",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
浅草寿,5,3 年前,"板橋区役所前から続く王子新道をゆるゆると降りてくると現れるきれいな建物。正式名称を板橋区立植村記念加賀スポーツセンターといいます。
この辺りは東板橋文化レクリエーションゾーンと呼ばれ、板橋区でもスポーツ施設や公園などが多いエリア。
この日のお目当ては2021年12月18日にリニューアルオープンした植村冒険館。冒険館の開館によって板橋区立植村記念加賀スポーツセンターもフルオープンとなりました。
展示を観て思ったのは、植村さんは厳しい自然のなかでホントにたったひとり行動されていたんだなということ。
その生涯をかけて人間の可能性に挑戦し続け、どのような状況におかれても人間らしい豊かな心で目標に向かって努力する…この冒険精神「ウエムラ・スピリット」を永く後世に伝えるため板橋区によって植村記念財団が設立され、ご家族から譲り受けた装備品や活動を伝える写真の展示、冒険に関する図書の貸出、自然を体験する事業などが行われているそうです。
常設展示と映像体験のできるメイン展示室は３階。2022年２月５日は「北極圏1万2000㎞」をテーマにした展示が行われていました。心が締め付けられるような犬ぞりでの壮絶な冒険。
今回は２階のパネル展示は見逃してしまったのだけれど、１階のウエムラチャレンジベースをじっくり観て来ました。
複製の犬ぞりがシンボル展示されていますが、３階でムービーを観たばかりだったのでさまざまな感情が…アウトドア関連のブックコーナーもありましたよ。",植村冒険館,"
〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内","
03-6912-4703",http://www.uemura-museum-tokyo.jp/,"4.2
(219)",Unknown,〒173-0003 東京都板橋区加賀１丁目１０−５ ３Ｆ・１Ｆ 植村記念加賀スポーツセンター内,35.7536982,139.7156311
