Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
F. Tokuda,5,1 か月前,"サザンが好きで以前から気になってた江の島鉄道です
やっと乗れました、全線、鎌倉から藤沢まで乗車しました。
クラシックな車両がとてもいいですが、予想通り観光客が多すぎます。
1日乗車券でゆっくり沿線を観光するといいですね。
とてもお値打ちだと思います。大￥800/小￥400",江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
F. Tokuda,5,1 か月前,"サザンが好きで以前から気になってた江の島鉄道です
やっと乗れました、全線、鎌倉から藤沢まで乗車しました。
クラシックな車両がとてもいいですが、予想通り観光客が多すぎます。
1日乗車券でゆっくり沿線を観光するといいですね。
とてもお値打ちだと思います。大￥800/小￥400",江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
san jian,5,5 日前,"思わず頭の中でサザンが流れていました

狭い民家の間を通る江ノ電に感動しました",江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
san jian,5,5 日前,"思わず頭の中でサザンが流れていました

狭い民家の間を通る江ノ電に感動しました",江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
Rin Kato,5,2 年前,"藤沢駅から乗れる江ノ島電鉄🚋

曲がるときの音や、止まるときの音がとてもレトロ感があります😊✨️
平日に乗車しましたが、とても人が多く混雑していました😲

電車は途中まで町並み沿いを走り、途中かなり車ギリギリを走ったり、家ギリギリを通ったりと普段の電車ではなかなか体験できない距離感で走行しています😂

海沿いに出ると多くの人が写真やムービーを取っていて、この日は景色も良くとても映える風景でした😊

電車が好きな人は一度は乗るべきですね😆
江ノ島はかなりホームが広く充実しています😊✨️
大きい荷物がある方などは駅にあるコインロッカーなど使うといいかもしれません😉🎵",江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
Rin Kato,5,2 年前,"藤沢駅から乗れる江ノ島電鉄🚋

曲がるときの音や、止まるときの音がとてもレトロ感があります😊✨️
平日に乗車しましたが、とても人が多く混雑していました😲

電車は途中まで町並み沿いを走り、途中かなり車ギリギリを走ったり、家ギリギリを通ったりと普段の電車ではなかなか体験できない距離感で走行しています😂

海沿いに出ると多くの人が写真やムービーを取っていて、この日は景色も良くとても映える風景でした😊

電車が好きな人は一度は乗るべきですね😆
江ノ島はかなりホームが広く充実しています😊✨️
大きい荷物がある方などは駅にあるコインロッカーなど使うといいかもしれません😉🎵",江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
D. Zawa,4,8 か月前,今や駅前の風景が観光地化している通称江ノ電は、古くから撮り鉄がヘビーユーザーだったがここ1〜2年はインバウンドの影響で外国人観光客からの人気が高い。アニメの主題歌のワンシーンがモデルの踏切が撮影スポットとなっている鎌倉高校前駅周辺や、龍口寺前の江ノ電車両の撮影スポット（数年前に撮り鉄と地域住人がもめて動画が拡散された）などが人気で常時人集りが出来ている。,江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
D. Zawa,4,8 か月前,今や駅前の風景が観光地化している通称江ノ電は、古くから撮り鉄がヘビーユーザーだったがここ1〜2年はインバウンドの影響で外国人観光客からの人気が高い。アニメの主題歌のワンシーンがモデルの踏切が撮影スポットとなっている鎌倉高校前駅周辺や、龍口寺前の江ノ電車両の撮影スポット（数年前に撮り鉄と地域住人がもめて動画が拡散された）などが人気で常時人集りが出来ている。,江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
M,1,5 か月前,10月28日19時頃乗車した時行き先のホームを間違えて駅員に声をかけたら、眉間皺深くイライラしている顔で「何間違えたって？」「ここ出て向こうに行って」捨て台詞を言いながらご自分の座席に戻った。素晴らしいサービス最高です。とっても日本の顔になった。,江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
M,1,5 か月前,10月28日19時頃乗車した時行き先のホームを間違えて駅員に声をかけたら、眉間皺深くイライラしている顔で「何間違えたって？」「ここ出て向こうに行って」捨て台詞を言いながらご自分の座席に戻った。素晴らしいサービス最高です。とっても日本の顔になった。,江ノ島電鉄,"
〒251-0035 神奈川県藤沢市片瀬海岸１丁目８−１６","
0466-24-2711",https://www.enoden.co.jp/,"4.3
(87)",Unknown,鉄道会社,35.3238053,139.4878968
