Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
岡崎恵,4,1 年前,"東京都内でも指折りの心霊スポットと言われています。2023年8月11〜12日に探訪。奈良時代に足立姫と侍女12名が川に身を投げたという痛ましい言い伝えがあります。以前は橋から転落するなど交通事故が絶えなかった場所ですが、2000年代初頭に祈祷師が橋を祓い清め、それ以来不成仏霊は河川敷に追いやられたとか。南詰（宮城二丁目側）の河川敷には、足立姫とその一行が入水したとされる地点があります。
橋を徒歩で往復しましたが、特に怪しい感じはありません。しかし足立姫入水の地点に下りると、物々しい雰囲気と共に何者かが絶えず蠢く気配を感じました。葦原の先はすぐ川面になっているため、進入は非常に危険です。",江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
岡崎恵,4,1 年前,"東京都内でも指折りの心霊スポットと言われています。2023年8月11〜12日に探訪。奈良時代に足立姫と侍女12名が川に身を投げたという痛ましい言い伝えがあります。以前は橋から転落するなど交通事故が絶えなかった場所ですが、2000年代初頭に祈祷師が橋を祓い清め、それ以来不成仏霊は河川敷に追いやられたとか。南詰（宮城二丁目側）の河川敷には、足立姫とその一行が入水したとされる地点があります。
橋を徒歩で往復しましたが、特に怪しい感じはありません。しかし足立姫入水の地点に下りると、物々しい雰囲気と共に何者かが絶えず蠢く気配を感じました。葦原の先はすぐ川面になっているため、進入は非常に危険です。",江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
mana三毛猫,4,1 年前,"アニメで現在絶賛放映中の「ダークギャザリング」で心霊スポット👻危険度ランクでSS（生者が行くべきではない場所）と認定された橋
「ダークギャザリング」曰く、都内最強心霊スポット
「危険度ランクでSS」
（アニメや漫画では、足立区区：K橋　危険度ランクSS「霊能力者が匙を投げた場所」と表記）

実際に車で何度も走ったが、別に何も起こらなかった
でも用事や必要もないのに、心霊スポット巡りだの聖地巡礼だのと言って逝くのはお勧めしない

火の無い所に「煙」は立たない・・のだから👻
👻逝くなら自己責任で👻",江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
mana三毛猫,4,1 年前,"アニメで現在絶賛放映中の「ダークギャザリング」で心霊スポット👻危険度ランクでSS（生者が行くべきではない場所）と認定された橋
「ダークギャザリング」曰く、都内最強心霊スポット
「危険度ランクでSS」
（アニメや漫画では、足立区区：K橋　危険度ランクSS「霊能力者が匙を投げた場所」と表記）

実際に車で何度も走ったが、別に何も起こらなかった
でも用事や必要もないのに、心霊スポット巡りだの聖地巡礼だのと言って逝くのはお勧めしない

火の無い所に「煙」は立たない・・のだから👻
👻逝くなら自己責任で👻",江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
鑫#イ言θ月,4,1 年前,国道でもないのであまり通ることもない橋。,江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
鑫#イ言θ月,4,1 年前,国道でもないのであまり通ることもない橋。,江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
おっさん,5,1 年前,"地元です
心霊スポットって言われていますが毎夜通っていますがなんの変哲もない普通の道です
スカイツリーは綺麗に見えますよ",江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
おっさん,5,1 年前,"地元です
心霊スポットって言われていますが毎夜通っていますがなんの変哲もない普通の道です
スカイツリーは綺麗に見えますよ",江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
Binet,5,1 年前,      1 年前,江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
Binet,5,1 年前,      1 年前,江北橋,"
〒120-0047 東京都足立区宮城２丁目",Unknown,Unknown,"4.2
(10)",お店やスポットの電話番号を追加する,〒120-0047 東京都足立区宮城２丁目,35.1048038,135.4813493
