Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
もリリん,5,6 か月前,展望台からの景色は最高でした。アーチ堤体の方の直下のキャンプ場に泊まりました。貞子を出して遊べます。,池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
もリリん,5,6 か月前,展望台からの景色は最高でした。アーチ堤体の方の直下のキャンプ場に泊まりました。貞子を出して遊べます。,池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
からあげ,4,1 年前,2024年1月27日訪問しましたが、169号が土砂崩れにより通行止めで通れませんでした。スポーツ公園内から細い道を通って天端(ダムの上の所)に行くことはできますが、かなり狭いのとボコボコ道なので難易度は少し高め、ですが行く価値はあると思います。,池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
からあげ,4,1 年前,2024年1月27日訪問しましたが、169号が土砂崩れにより通行止めで通れませんでした。スポーツ公園内から細い道を通って天端(ダムの上の所)に行くことはできますが、かなり狭いのとボコボコ道なので難易度は少し高め、ですが行く価値はあると思います。,池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
HD SK,5,2 年前,"アーチ式の大型ダムです。
ダム上部は国道425号線なので車で通行できます。上部からは眼下に下北山スポーツ公園が拡がり素晴らしい展望です。",池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
HD SK,5,2 年前,"アーチ式の大型ダムです。
ダム上部は国道425号線なので車で通行できます。上部からは眼下に下北山スポーツ公園が拡がり素晴らしい展望です。",池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
Y M,5,7 か月前,"国道425号が天端を通るダム。
いつ見ても迫力あります。",池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
Y M,5,7 か月前,"国道425号が天端を通るダム。
いつ見ても迫力あります。",池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
斎藤一,5,1 か月前,ブラックバスの聖地。バス釣り人が絶対行く場所。広大の池ボート必須だけど絶対的な価値あり。50オーバーが平均と琵琶湖よりも打率あがります。,池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
斎藤一,5,1 か月前,ブラックバスの聖地。バス釣り人が絶対行く場所。広大の池ボート必須だけど絶対的な価値あり。50オーバーが平均と琵琶湖よりも打率あがります。,池原ダム,"
〒639-3806 奈良県吉野郡下北山村下池原",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1565,"4.6
(38)",お店やスポットの電話番号を追加する,堰,34.0468544,135.8948627
