Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
鴻池衆,3,2 年前,wi-fiどころか携帯自体繋がりません。星空は綺麗ですが、とにかくやることがなくてキツイ。3日でギブアップ。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
鴻池衆,3,2 年前,wi-fiどころか携帯自体繋がりません。星空は綺麗ですが、とにかくやることがなくてキツイ。3日でギブアップ。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
orubhatra 0,5,3 年前,(2022/01) 別名「ラサ島」。絶海の孤島である南北大東島からさらに160㎞、輪をかけて絶海の孤島。島全体がラサ工業 ( 戦前、リン鉱石を採掘していた ) の私有地だが、米軍に貸与され射爆場となっている。無人島、立入禁止。WWII末期には日本陸海軍が駐屯した。その記録が、森田芳雄『ラサ島守備隊記』。行ってみたい。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
orubhatra 0,5,3 年前,(2022/01) 別名「ラサ島」。絶海の孤島である南北大東島からさらに160㎞、輪をかけて絶海の孤島。島全体がラサ工業 ( 戦前、リン鉱石を採掘していた ) の私有地だが、米軍に貸与され射爆場となっている。無人島、立入禁止。WWII末期には日本陸海軍が駐屯した。その記録が、森田芳雄『ラサ島守備隊記』。行ってみたい。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
寺嶋直孝,1,3 年前,島の所有会社が、島をリゾート地に改造したら、どうでしょうか？,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
寺嶋直孝,1,3 年前,島の所有会社が、島をリゾート地に改造したら、どうでしょうか？,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
いがぐり,3,4 年前,"不便。
最寄りのコンビニまで船で１５０ｋｍ以上ある。",沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
いがぐり,3,4 年前,"不便。
最寄りのコンビニまで船で１５０ｋｍ以上ある。",沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
Ta M,5,4 年前,ラサ工業に問い合わせたら、行き方とか資料とか沢山もらえるのかな。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
Ta M,5,4 年前,ラサ工業に問い合わせたら、行き方とか資料とか沢山もらえるのかな。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
ゴーヤーおじさん,1,2 年前,米軍の射爆場なので、一般人は入れない。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
ゴーヤーおじさん,1,2 年前,米軍の射爆場なので、一般人は入れない。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
蓮池良平（Ryohei Hasuike）,5,2 年前,戦前はリン鉱業が行われていたようです。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
蓮池良平（Ryohei Hasuike）,5,2 年前,戦前はリン鉱業が行われていたようです。,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
sana nigaury,5,3 年前,ロマンがありますね,沖大東島,"
〒901-3900 沖縄県島尻郡北大東村ラサ",Unknown,Unknown,"3.9
(20)",Unknown,島,24.4668506,131.1878791
