Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
北海道旅行が好き,5,1 週間前,"これぞ町の洋食屋という感じ。味も居心地も良い。水をすぐついでくれる。値段は少し高めだが満足できる。
ハヤシライス1,500円→売り切れてた→開店直後だと。
ビーフシチュー3,200円→値段の値のある、ホロホロとトロトロで心地良い焦げの濃いシチュー。満足。
チキングラタン1,500円→普通に美味しかった。
コーンポタージュ皿1,300円
→裏ごしした感じの滑らかさと、コーンくさくないというか、洋風の何かの味がプラスされて、洋食屋らしいコーンポタージュだった。
ナポリタン1,300円→これぞ洋食屋のナポリタン。ちょうど良い油加減とゆで加減と塩加減で美味しい。甘味でごまかしてないのもまた良い。
リベンジは開店直後でハヤシライスかな。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
北海道旅行が好き,5,1 週間前,"これぞ町の洋食屋という感じ。味も居心地も良い。水をすぐついでくれる。値段は少し高めだが満足できる。
ハヤシライス1,500円→売り切れてた→開店直後だと。
ビーフシチュー3,200円→値段の値のある、ホロホロとトロトロで心地良い焦げの濃いシチュー。満足。
チキングラタン1,500円→普通に美味しかった。
コーンポタージュ皿1,300円
→裏ごしした感じの滑らかさと、コーンくさくないというか、洋風の何かの味がプラスされて、洋食屋らしいコーンポタージュだった。
ナポリタン1,300円→これぞ洋食屋のナポリタン。ちょうど良い油加減とゆで加減と塩加減で美味しい。甘味でごまかしてないのもまた良い。
リベンジは開店直後でハヤシライスかな。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
Masatoshi Nioka,5,1 か月前,"西浅草にある都内を代表する洋食の名店。創業は昭和26年（1951年）ですので、今年で創業74年目。店の内外もお店で働くスタッフの方々にもどことなく昭和感が漂いますが、殊料理に関しては古臭さなど微塵も感じられない、むしろここよりうまい洋食が食べられる店は都内でも他になかなかない気がします。

とにかくメニューの数が豊富でどれが名物と言っていいかもわからないくらい魅力溢れる料理が多い。単純に見える料理でもしっかりと手が込んでいるのがわかるし、下町らしくボリュームもたっぷり。友人同士でも家族、どんなシチュエーションでも利用できるまさに浅草の至宝と言っても過言じゃないでしょう。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
Masatoshi Nioka,5,1 か月前,"西浅草にある都内を代表する洋食の名店。創業は昭和26年（1951年）ですので、今年で創業74年目。店の内外もお店で働くスタッフの方々にもどことなく昭和感が漂いますが、殊料理に関しては古臭さなど微塵も感じられない、むしろここよりうまい洋食が食べられる店は都内でも他になかなかない気がします。

とにかくメニューの数が豊富でどれが名物と言っていいかもわからないくらい魅力溢れる料理が多い。単純に見える料理でもしっかりと手が込んでいるのがわかるし、下町らしくボリュームもたっぷり。友人同士でも家族、どんなシチュエーションでも利用できるまさに浅草の至宝と言っても過言じゃないでしょう。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
おーれさん,5,3 か月前,"凄く人気があるため待ち時間が長く1時間以上はかかりますが、入りたい時間の1時間くらい前に店舗に行き店員さんへ予約すればいったん離れても大丈夫なので、浅草寺など近くをぷらり探索できるので待ち時間はそこまで気になりません。

お店の雰囲気ですが、店員さんが優しく安心して食事できます。

食事はナポリタン、ハンバーグ、グラタン、オムライス、カレーなどを食べましたが、どれもおいしかったです。また大盛りをできるものがあるので子どもを連れていきシェアするときには大盛りできるメニューを入れると良いかもと思いました。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
おーれさん,5,3 か月前,"凄く人気があるため待ち時間が長く1時間以上はかかりますが、入りたい時間の1時間くらい前に店舗に行き店員さんへ予約すればいったん離れても大丈夫なので、浅草寺など近くをぷらり探索できるので待ち時間はそこまで気になりません。

お店の雰囲気ですが、店員さんが優しく安心して食事できます。

食事はナポリタン、ハンバーグ、グラタン、オムライス、カレーなどを食べましたが、どれもおいしかったです。また大盛りをできるものがあるので子どもを連れていきシェアするときには大盛りできるメニューを入れると良いかもと思いました。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
REAL “路上のホープレス” TARO,4,2 か月前,"した。洋食好きには外せない名店ということで、期待を胸にカウンター席へ。厨房の様子を間近で見ながら、料理を楽しめるスタイルでした。

注文内容:
• アスパラサラダ: 茹でられたアスパラは柔らかく、野菜のフレッシュな香りがしっかりと感じられる一品。シンプルながらも丁寧に作られていることが分かりました。
• シチュー: 洋食屋ならではの本格的な味わいで、濃厚ながらも重すぎず、バランスの取れた仕上がり。
• ヒレステーキ: 注文してからじっくりと時間をかけて調理され、シェフが丁寧に焼き加減を調整していました。柔らかく、噛むたびに旨味が広がる絶品ステーキ。ここ最近食べたステーキの中でもトップクラスの美味しさでした。
• プリン: 懐かしい王道の洋食プリン。しっかりとした食感で、シンプルながらも完成度の高い味わいでした。

お店の雰囲気:
店内はどこか懐かしさを感じる雰囲気で、カウンター席からは厨房の様子を間近で楽しむことができます。シェフが手間をかけて料理を仕上げる様子を見ながら食事をするのは、まさに洋食屋の醍醐味でした。

総合評価:
老舗の名にふさわしい、完成度の高い洋食が楽しめるお店。特にステーキは手間を惜しまず丁寧に仕上げられており、絶品でした。クラシックな洋食をじっくり味わいたい方には、ぜひおすすめしたい一軒です。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
REAL “路上のホープレス” TARO,4,2 か月前,"した。洋食好きには外せない名店ということで、期待を胸にカウンター席へ。厨房の様子を間近で見ながら、料理を楽しめるスタイルでした。

注文内容:
• アスパラサラダ: 茹でられたアスパラは柔らかく、野菜のフレッシュな香りがしっかりと感じられる一品。シンプルながらも丁寧に作られていることが分かりました。
• シチュー: 洋食屋ならではの本格的な味わいで、濃厚ながらも重すぎず、バランスの取れた仕上がり。
• ヒレステーキ: 注文してからじっくりと時間をかけて調理され、シェフが丁寧に焼き加減を調整していました。柔らかく、噛むたびに旨味が広がる絶品ステーキ。ここ最近食べたステーキの中でもトップクラスの美味しさでした。
• プリン: 懐かしい王道の洋食プリン。しっかりとした食感で、シンプルながらも完成度の高い味わいでした。

お店の雰囲気:
店内はどこか懐かしさを感じる雰囲気で、カウンター席からは厨房の様子を間近で楽しむことができます。シェフが手間をかけて料理を仕上げる様子を見ながら食事をするのは、まさに洋食屋の醍醐味でした。

総合評価:
老舗の名にふさわしい、完成度の高い洋食が楽しめるお店。特にステーキは手間を惜しまず丁寧に仕上げられており、絶品でした。クラシックな洋食をじっくり味わいたい方には、ぜひおすすめしたい一軒です。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
廣井三え,4,1 か月前,"いつも混んでるヨシカミ。11時40分着で受付しましたが、既に90分待ち。待ち時間の間にお彼岸のお墓参りを済ませました。タンシチューを注文。箸でほぐれる程ほろほろに柔らかく美味しかった。家族はオムライスやビーフシチューを注文。オムライスは昔ながらの卵がしっかりしたタイプ。ビーフシチューもこれまた柔らかく、息子はごはんを単品追加注文し、ソースをごはんに掛けて二度美味しく食べてました。
店内がやや狭いものの、コート類を掛けるハンガーあり。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
廣井三え,4,1 か月前,"いつも混んでるヨシカミ。11時40分着で受付しましたが、既に90分待ち。待ち時間の間にお彼岸のお墓参りを済ませました。タンシチューを注文。箸でほぐれる程ほろほろに柔らかく美味しかった。家族はオムライスやビーフシチューを注文。オムライスは昔ながらの卵がしっかりしたタイプ。ビーフシチューもこれまた柔らかく、息子はごはんを単品追加注文し、ソースをごはんに掛けて二度美味しく食べてました。
店内がやや狭いものの、コート類を掛けるハンガーあり。",洋食 ヨシカミ,"
〒111-0032 東京都台東区浅草１丁目４１−４","
03-3841-1802",http://www.yoshikami.co.jp/,"4.2
(3,387)",Unknown,日本式洋食レストラン,35.7367995,139.77145
