Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
こうかがやき,5,2 週間前,友人の会社がここにあるので、新宿線で浜町駅までよく行きます。A3出口は浜町公園です。 桜の季節が2回来ました。隅田川が目の前にあります。ここにはいい思い出がたくさんあります。,浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
こうかがやき,5,2 週間前,友人の会社がここにあるので、新宿線で浜町駅までよく行きます。A3出口は浜町公園です。 桜の季節が2回来ました。隅田川が目の前にあります。ここにはいい思い出がたくさんあります。,浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
りんりん,4,4 か月前,"甘酒横丁から真っ直ぐの入り口にあるいちょう並木の紅葉は素晴らしいです。並木の中に浜町駅があり、この景色が見れてラッキーでした。
広い公園は利用しませんでしたが、この並木だけ見れた甲斐がありました。散歩に最高です。
銀杏がならない木なので臭くありません。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
りんりん,4,4 か月前,"甘酒横丁から真っ直ぐの入り口にあるいちょう並木の紅葉は素晴らしいです。並木の中に浜町駅があり、この景色が見れてラッキーでした。
広い公園は利用しませんでしたが、この並木だけ見れた甲斐がありました。散歩に最高です。
銀杏がならない木なので臭くありません。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
Naka Hiro,4,5 か月前,"隅田川べりに広がる公園。正面入口から入るとベンチの並ぶ広場が広がり、左手には運動場、右手にはスポーツセンターなどの施設が並びます。
公園自体は奥行きがあり、深い緑に覆われた遊歩道や、隅田川沿いに出られる道など変化に富んだ風景が楽しめます。
南側には遊具広場もあります。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
Naka Hiro,4,5 か月前,"隅田川べりに広がる公園。正面入口から入るとベンチの並ぶ広場が広がり、左手には運動場、右手にはスポーツセンターなどの施設が並びます。
公園自体は奥行きがあり、深い緑に覆われた遊歩道や、隅田川沿いに出られる道など変化に富んだ風景が楽しめます。
南側には遊具広場もあります。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
Masayuki Eshika,5,6 か月前,"浜町駅A2から直接アクセスできる中央区では最大級の公園で施設や管理状態も大変良い。

サッカーや野球ができる広いグラウンド、公園内の広い広場を繋ぐ遊歩道と豊富に用意されたベンチ、隅田川テラスにも直結している川沿いの遊歩道、子供も遊べる遊具広場、駐車場や駐輪場と公園に必要なものはほぼ完備。デイキャンプ場もある。

大きな建物は区民総合スポーツセンターで、中にはジムやレストラン、多種多様なスポーツ場(写真にで確認してください)が用意されている。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
Masayuki Eshika,5,6 か月前,"浜町駅A2から直接アクセスできる中央区では最大級の公園で施設や管理状態も大変良い。

サッカーや野球ができる広いグラウンド、公園内の広い広場を繋ぐ遊歩道と豊富に用意されたベンチ、隅田川テラスにも直結している川沿いの遊歩道、子供も遊べる遊具広場、駐車場や駐輪場と公園に必要なものはほぼ完備。デイキャンプ場もある。

大きな建物は区民総合スポーツセンターで、中にはジムやレストラン、多種多様なスポーツ場(写真にで確認してください)が用意されている。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
izumi morita (らくたろう),4,1 か月前,"勤め先近くの公園。春は桜がとてもきれいに咲くのでおすすめ。秋はイチョウがきれいですが落ちた銀杏がやばいくらい臭いです。
令和6年現在、敷地内に日本橋中学の仮設校舎が立つ計画で景観台無し＆大きな木が切られてしまい仕方ないけれど悲しい。

あと、公園内で自転車に乗っちゃいけない（全入り口に書いてある）ルールを守らない親子が沢山いるのでぶつかられないよう気を付けてください。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
izumi morita (らくたろう),4,1 か月前,"勤め先近くの公園。春は桜がとてもきれいに咲くのでおすすめ。秋はイチョウがきれいですが落ちた銀杏がやばいくらい臭いです。
令和6年現在、敷地内に日本橋中学の仮設校舎が立つ計画で景観台無し＆大きな木が切られてしまい仕方ないけれど悲しい。

あと、公園内で自転車に乗っちゃいけない（全入り口に書いてある）ルールを守らない親子が沢山いるのでぶつかられないよう気を付けてください。",浜町公園,"
〒103-0007 東京都中央区日本橋浜町２丁目５９−１","
03-3546-5435",http://www.city.chuo.lg.jp/sisetugaido/koento/oshirase/tokusyoku.html,"3.9
(2,874)",Unknown,公園,35.9249503,136.2479122
