Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
佐野清美,5,1 週間前,お天気も良かったので緑がとても綺麗でした。都会の中で海も緑も見られる素晴らしい場所です。,浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
佐野清美,5,1 週間前,お天気も良かったので緑がとても綺麗でした。都会の中で海も緑も見られる素晴らしい場所です。,浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
西野敬文,5,7 年前,"築地場外市場でたらふく美味しい刺身や魚料理を食べたら、腹ごなしにぜひ浜離宮まで散歩するといい。

天気が良くて風もなければこれ、歩かない理由がない。さらにその先には川面のそよ風があると想像できる人ならきっと水上バス乗り場に向かう。

その日の午後、東京の桜はまさに満開になったところだった。

日の出桟橋を経由して浅草二天門近くの桟橋まで片道750円。いくつもの水門を眺め大橋を見上げながら隅田川を滑っていくと、川の両脇に見事な桜が見えてくる。

水上バスの女性ガイドさんの説明は上手で、船内の珈琲を飲みながらゆったり過ごせるのはとてもいい時間の過ごし方だ。

この日は桜が満開だったこともあって、船長さんは航路を少し延長するサプライズサービスをしてくれた。
こんな客思いのクルーがいる船に乗れて幸せだった。

ぜひ、浜離宮から水上バスに乗ってみてはいかが？

浅草二天門桟橋で下船したあとも愉しみはさらにありますよ。",浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
西野敬文,5,7 年前,"築地場外市場でたらふく美味しい刺身や魚料理を食べたら、腹ごなしにぜひ浜離宮まで散歩するといい。

天気が良くて風もなければこれ、歩かない理由がない。さらにその先には川面のそよ風があると想像できる人ならきっと水上バス乗り場に向かう。

その日の午後、東京の桜はまさに満開になったところだった。

日の出桟橋を経由して浅草二天門近くの桟橋まで片道750円。いくつもの水門を眺め大橋を見上げながら隅田川を滑っていくと、川の両脇に見事な桜が見えてくる。

水上バスの女性ガイドさんの説明は上手で、船内の珈琲を飲みながらゆったり過ごせるのはとてもいい時間の過ごし方だ。

この日は桜が満開だったこともあって、船長さんは航路を少し延長するサプライズサービスをしてくれた。
こんな客思いのクルーがいる船に乗れて幸せだった。

ぜひ、浜離宮から水上バスに乗ってみてはいかが？

浅草二天門桟橋で下船したあとも愉しみはさらにありますよ。",浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
湯田睦（Mutty）,5,7 年前,"お花見の季節は、ここから水上バスで浅草へ行くのがすいているので確実に座れます。（浅草まで40分ですが、あっという間に着きます）
この日は三連休だったので、日の出桟橋や浅草はすごい人でした。
ここから浅草方面に向かって左側の方が見どころは多いかもしれません。
右側は佃島やスカイツリーが見やすいです。",浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
湯田睦（Mutty）,5,7 年前,"お花見の季節は、ここから水上バスで浅草へ行くのがすいているので確実に座れます。（浅草まで40分ですが、あっという間に着きます）
この日は三連休だったので、日の出桟橋や浅草はすごい人でした。
ここから浅草方面に向かって左側の方が見どころは多いかもしれません。
右側は佃島やスカイツリーが見やすいです。",浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
曾良の散歩路,3,5 か月前,今は浜離宮からの乗船は出来ないようです。,浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
曾良の散歩路,3,5 か月前,今は浜離宮からの乗船は出来ないようです。,浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
Yasu,3,5 年前,"中島の茶屋から水上バス乗り場まで徒歩12分。余裕をみて、15分前に茶屋を出発すると良いだろう。出発時刻ギリギリに行っても乗船できる。

浅草に行くコースが人気。最初、浅草とは逆方面の日の出桟橋に立ち寄る。これは、お台場に向かう人が船を乗り換えることができるようにするためだが、時間的にはもったいない。

船内ではなんと、ビールやハイボールなどのアルコールも飲める。

あまり景色の良い場所は通らないのでそこは少し残念。

サイトでは60分と書かれているが、実際には約50分で浅草に着く。",浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
Yasu,3,5 年前,"中島の茶屋から水上バス乗り場まで徒歩12分。余裕をみて、15分前に茶屋を出発すると良いだろう。出発時刻ギリギリに行っても乗船できる。

浅草に行くコースが人気。最初、浅草とは逆方面の日の出桟橋に立ち寄る。これは、お台場に向かう人が船を乗り換えることができるようにするためだが、時間的にはもったいない。

船内ではなんと、ビールやハイボールなどのアルコールも飲める。

あまり景色の良い場所は通らないのでそこは少し残念。

サイトでは60分と書かれているが、実際には約50分で浅草に着く。",浜離宮,"
〒104-0046 東京都中央区浜離宮庭園１",Unknown,Unknown,"4.0
(178)",Unknown,フェリーターミナル,35.7073456,139.6502843
