Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
つの,5,2 か月前,"有料のアスレチックがあり、桜の名所でもある清水公園。
東東京の公立小学校の遠足地としても有名。私も30年以上前ですが、小学校2年生の時に遠足で遊びに来ました。現在は綺麗にリニューアルされていて、入り口付近にはおしゃれなカフェまでできていました。（笑）
公園内も綺麗に舗装されていて、一部は自転車でも入れるみたいです。（昔は土だったので綺麗になり過ぎていてビックリ）
キャンプ場や釣り堀もあり、釣り堀で釣った魚をその場で焼いて食べることができます。
その他バンガローやバーベキュー場も併設しているので、キャンプやバンガローで一泊して遊び倒すのもアリだと思います。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
つの,5,2 か月前,"有料のアスレチックがあり、桜の名所でもある清水公園。
東東京の公立小学校の遠足地としても有名。私も30年以上前ですが、小学校2年生の時に遠足で遊びに来ました。現在は綺麗にリニューアルされていて、入り口付近にはおしゃれなカフェまでできていました。（笑）
公園内も綺麗に舗装されていて、一部は自転車でも入れるみたいです。（昔は土だったので綺麗になり過ぎていてビックリ）
キャンプ場や釣り堀もあり、釣り堀で釣った魚をその場で焼いて食べることができます。
その他バンガローやバーベキュー場も併設しているので、キャンプやバンガローで一泊して遊び倒すのもアリだと思います。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
わんにゃんライフサポート 彩*野田市ペットシッター,5,2 週間前,"毎年桜が咲く時期には、屋台も出るので、愛犬とお散歩に行くのが楽しみです！

今年は☔️も続き、桜が散ってしまうかも、、と心配でしたが、なんとか休みの日に行くことができ、しかも満開で嬉しかったです！
風が吹くと少し散っていましたが、土曜日頃まではまだ咲いてくれているのではないかなと思います。

アスレチックなども賑わっていました！

また来年の桜の時期を楽しみにしています。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
わんにゃんライフサポート 彩*野田市ペットシッター,5,2 週間前,"毎年桜が咲く時期には、屋台も出るので、愛犬とお散歩に行くのが楽しみです！

今年は☔️も続き、桜が散ってしまうかも、、と心配でしたが、なんとか休みの日に行くことができ、しかも満開で嬉しかったです！
風が吹くと少し散っていましたが、土曜日頃まではまだ咲いてくれているのではないかなと思います。

アスレチックなども賑わっていました！

また来年の桜の時期を楽しみにしています。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
Happy Sweet,3,3 か月前,"2025年1月11日

こちらにあるのは、アスレチックエリア。
（ただし 冬季期間中は、水上エリアは休止されていて利用できない）
もう一箇所アドベンチャーエリアもある。
そちらも 冬の間は遊具のみ利用できる。

アスレチックは、利用してもしなくても入園料がかかる。
しかも高いのが残念…
だが、全て制覇しようとするとかなりの運動量になるため、日頃の運動不足解消には良いかも。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
Happy Sweet,3,3 か月前,"2025年1月11日

こちらにあるのは、アスレチックエリア。
（ただし 冬季期間中は、水上エリアは休止されていて利用できない）
もう一箇所アドベンチャーエリアもある。
そちらも 冬の間は遊具のみ利用できる。

アスレチックは、利用してもしなくても入園料がかかる。
しかも高いのが残念…
だが、全て制覇しようとするとかなりの運動量になるため、日頃の運動不足解消には良いかも。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
ゆか,5,1 か月前,"水上アスレチックが有名な公園です。
着替え必須です！（笑）
カフェや売店などもあり、お洒落なスポットになっていました。
お散歩するだけでも楽しいです。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
ゆか,5,1 か月前,"水上アスレチックが有名な公園です。
着替え必須です！（笑）
カフェや売店などもあり、お洒落なスポットになっていました。
お散歩するだけでも楽しいです。",清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
KEIHACHI,5,4 か月前,濡れるの上等ガチアスレチック。大人1500円小学生1000円。種目数は100、知る限り最多。難易度小3ちょうどいいぐらい。幼児NG多いが幼児用コースもあり。でも楽しむには小学生に上がってからがいい。それも小1だとちょっときびしいぐらい。11月下旬気温13度関係なくずぶ濡れ多数発生。シャワー更衣室あるが「着替え持ってねぇーよ」ってそこの男子どうすんだおまえ。水上関連15時終了それは早いって予約の時言って欲しい。13時スタートだと70種目ぐらいで16時の時間切れ。あと絵付きのエリアマップがない（帰宅後の親子コミュケーションの大事なアイテムなのに）。公園名の駅があっても駅から公園まで10分そこから受付まで10分アクセスが悪い。au時々圏外。駅の周辺にコンビニがなく往復15分かかる。とか、細かい不満多々はあるが、暖かい時期、午前スタート目指し早めに家出る、汚れていい服と靴、着替えを用意、としっかり準備すればここは大人でも満足。会社レクにしてもいいぐらい。余裕こいてる場合じゃない、ここはガチ。,清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
KEIHACHI,5,4 か月前,濡れるの上等ガチアスレチック。大人1500円小学生1000円。種目数は100、知る限り最多。難易度小3ちょうどいいぐらい。幼児NG多いが幼児用コースもあり。でも楽しむには小学生に上がってからがいい。それも小1だとちょっときびしいぐらい。11月下旬気温13度関係なくずぶ濡れ多数発生。シャワー更衣室あるが「着替え持ってねぇーよ」ってそこの男子どうすんだおまえ。水上関連15時終了それは早いって予約の時言って欲しい。13時スタートだと70種目ぐらいで16時の時間切れ。あと絵付きのエリアマップがない（帰宅後の親子コミュケーションの大事なアイテムなのに）。公園名の駅があっても駅から公園まで10分そこから受付まで10分アクセスが悪い。au時々圏外。駅の周辺にコンビニがなく往復15分かかる。とか、細かい不満多々はあるが、暖かい時期、午前スタート目指し早めに家出る、汚れていい服と靴、着替えを用意、としっかり準備すればここは大人でも満足。会社レクにしてもいいぐらい。余裕こいてる場合じゃない、ここはガチ。,清水公園,"
〒278-0043 千葉県野田市清水９０６","
04-7125-3030",http://www.shimizu-kouen.com/,"4.2
(4,316)",Unknown,公園,35.4671658,139.1582278
