Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
松本良和,4,1 週間前,広場が中心の大きな公園です。山の上から滑るローラーすべり台や小川を模した水流が人気です。親子で楽しめる公園です。,清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
松本良和,4,1 週間前,広場が中心の大きな公園です。山の上から滑るローラーすべり台や小川を模した水流が人気です。親子で楽しめる公園です。,清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
彦や不動産,5,3 か月前,"清水坂公園は、北区を南北に走る武蔵野台地の崖地を利用した立体的で変化に富んだ公園です。山間の渓流をイメージした流れ、全長52ｍのすべり台、芝生広場などがある非常に大きな公園です。「自然ふれあい情報館」を併設しています。およそ68種360本の樹木が植えられています。広く、電車がよく見え、遊具も充実しています。
夏になると小川に水が流れて楽しい水遊び場となります。キャンプ用品など持ち込んでのんびりしている人もいます。ピクニックはいるけどバーベキューは禁止だと思います。
自然環境に関する学習、情報の交換などを楽しみながら行える「自然ふれあい情報館」が園内にあり、自然を学び、自然と遊べる公園として地域から親しまれています。",清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
彦や不動産,5,3 か月前,"清水坂公園は、北区を南北に走る武蔵野台地の崖地を利用した立体的で変化に富んだ公園です。山間の渓流をイメージした流れ、全長52ｍのすべり台、芝生広場などがある非常に大きな公園です。「自然ふれあい情報館」を併設しています。およそ68種360本の樹木が植えられています。広く、電車がよく見え、遊具も充実しています。
夏になると小川に水が流れて楽しい水遊び場となります。キャンプ用品など持ち込んでのんびりしている人もいます。ピクニックはいるけどバーベキューは禁止だと思います。
自然環境に関する学習、情報の交換などを楽しみながら行える「自然ふれあい情報館」が園内にあり、自然を学び、自然と遊べる公園として地域から親しまれています。",清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
えり,4,7 か月前,"坂を上手く利用して水が流れている公園です。木が多いので木陰で涼しくて水遊びが出来ました。
老朽化したローラー滑り台も楽しかったです。
埼京線が見えるので子鉄は喜びます。",清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
えり,4,7 か月前,"坂を上手く利用して水が流れている公園です。木が多いので木陰で涼しくて水遊びが出来ました。
老朽化したローラー滑り台も楽しかったです。
埼京線が見えるので子鉄は喜びます。",清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
小戸森秀峰,3,2 週間前,"崖線部分を利用した大きな公園。
すり鉢状になっていて、一番下に湧き水保護した井戸がある。",清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
小戸森秀峰,3,2 週間前,"崖線部分を利用した大きな公園。
すり鉢状になっていて、一番下に湧き水保護した井戸がある。",清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
Y石川,5,6 か月前,たぶん人生で一番創造的で、素敵な公園。プールさながらの水エリア（シャワーもある）、巨大な滑り台、高低差を利用した大きな原っぱ、ボール遊びが広々と遊べるエリア。子供用トイレも整備。完璧というほかない。誰がこの公園作ったのか。元大名屋敷か何かというレベルです。,清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
Y石川,5,6 か月前,たぶん人生で一番創造的で、素敵な公園。プールさながらの水エリア（シャワーもある）、巨大な滑り台、高低差を利用した大きな原っぱ、ボール遊びが広々と遊べるエリア。子供用トイレも整備。完璧というほかない。誰がこの公園作ったのか。元大名屋敷か何かというレベルです。,清水坂公園,"
〒114-0031 東京都北区十条仲原４丁目２−１","
03-5948-4738",https://www.city.kita.tokyo.jp/jutaku/koen/koenichiran/sa-so/shimizuzaka.html,"4.1
(1,169)",Unknown,〒114-0031 東京都北区十条仲原４丁目２−１,35.62947,139.1162288
