Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
浅辺雅史,5,4 週間前,"R186を通って、浜田から広島に向かう際に、温井ダムへ立ち寄りました。

温井ダムは、アーチ式ダムとしては、
あの！富山県の黒部ダム！に次いで日本で第2位の堤高を誇るのだそうです。

アーチ式ダムは、V型渓谷である事や両側の岩盤が強固である事が条件で、非常に限られた場所でのみ施工できるダムの形式です。

アーチ式にする事で、重量式ダムに比べてコンクリートの量を少なくする事ができるメリットがあります。

なんと言っても、アーチを描いたダムは美しく壮麗です。

資料館に詳しい説明書きがあり勉強になりました。

資料館横のエレベーターとトンネルをくぐると、ちょうどダムの真下に降りる事ができ、なんと！ど迫力の放水を見る事ができるそうです。

ダム湖である「龍姫湖」で、湖上でのんびりSUPツアーや、グランピングもありアウトドアを楽しむ事ができます。

きっちんたまがわで、「ダムカレー」も頂けるみたいです。

のんびりするにはぴったりな温井ダムです。

ダムカードを頂きました。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
浅辺雅史,5,4 週間前,"R186を通って、浜田から広島に向かう際に、温井ダムへ立ち寄りました。

温井ダムは、アーチ式ダムとしては、
あの！富山県の黒部ダム！に次いで日本で第2位の堤高を誇るのだそうです。

アーチ式ダムは、V型渓谷である事や両側の岩盤が強固である事が条件で、非常に限られた場所でのみ施工できるダムの形式です。

アーチ式にする事で、重量式ダムに比べてコンクリートの量を少なくする事ができるメリットがあります。

なんと言っても、アーチを描いたダムは美しく壮麗です。

資料館に詳しい説明書きがあり勉強になりました。

資料館横のエレベーターとトンネルをくぐると、ちょうどダムの真下に降りる事ができ、なんと！ど迫力の放水を見る事ができるそうです。

ダム湖である「龍姫湖」で、湖上でのんびりSUPツアーや、グランピングもありアウトドアを楽しむ事ができます。

きっちんたまがわで、「ダムカレー」も頂けるみたいです。

のんびりするにはぴったりな温井ダムです。

ダムカードを頂きました。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
87 スツーカ,4,5 か月前,"オークガーデンで食事をした後、本来の目的地である戸河内に向かいましたが、道を間違えてオークガーデンに行った事だし、急ぐ旅でもないから温井ダム経由で行く事に。

温井ダムなんて通過する事はあっても止まる事なんて無かったので、いゃその前にダムに来る事なんて無かったので夫婦揃って初ダム訪問。

高さが150mもあるそうな。
ダムの上から下流側の川を見ると、よくこんなダム作ったよなと感心するくらい高い。
資料室に建設当時のジオラマがありましたが、ダム建設工事をするための道路工事やケーブル工事の様子が分かり、一体いくらかかったのかと思う大工事だった事が分かります。

しばらくすると放水が始まると場外スピーカーから案内があり、展望所から放水を見ました。
わ〜スゴイ
わ〜スゴイ
と放水を見た妻が連呼。
下を見るとダム下にも人が居るのが見えました。
どうやって下まで行ったのか？
放水を見終わったあとウロウロしてると、ダム下に行くエレベーターを発見。
もう放水は終わってますが、とりあえず下まで行く事にしました。
ダム下広場は水浸し。
ここで放水を見たら、さぞ大迫力だったろうと推測。
今度は息子夫婦達を連れて、ダム下で放水を見ようと思います。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
87 スツーカ,4,5 か月前,"オークガーデンで食事をした後、本来の目的地である戸河内に向かいましたが、道を間違えてオークガーデンに行った事だし、急ぐ旅でもないから温井ダム経由で行く事に。

温井ダムなんて通過する事はあっても止まる事なんて無かったので、いゃその前にダムに来る事なんて無かったので夫婦揃って初ダム訪問。

高さが150mもあるそうな。
ダムの上から下流側の川を見ると、よくこんなダム作ったよなと感心するくらい高い。
資料室に建設当時のジオラマがありましたが、ダム建設工事をするための道路工事やケーブル工事の様子が分かり、一体いくらかかったのかと思う大工事だった事が分かります。

しばらくすると放水が始まると場外スピーカーから案内があり、展望所から放水を見ました。
わ〜スゴイ
わ〜スゴイ
と放水を見た妻が連呼。
下を見るとダム下にも人が居るのが見えました。
どうやって下まで行ったのか？
放水を見終わったあとウロウロしてると、ダム下に行くエレベーターを発見。
もう放水は終わってますが、とりあえず下まで行く事にしました。
ダム下広場は水浸し。
ここで放水を見たら、さぞ大迫力だったろうと推測。
今度は息子夫婦達を連れて、ダム下で放水を見ようと思います。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
ナカムラ,5,6 か月前,"放水日時が決まっています。
調べれば載ってます。
無料駐車場有り。
エレベーターで地下まで降り、地下道を歩いて下流広場まで行きます。
『利水次郎』さん、ダムの放水口付近に『治水太郎』さん、等身大の人形がいます。
探してみてくださいね。
水しぶきがすごく、子供は大喜びでした。
約15分放水されるので、色んな角度から写真や動画が撮れます。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
ナカムラ,5,6 か月前,"放水日時が決まっています。
調べれば載ってます。
無料駐車場有り。
エレベーターで地下まで降り、地下道を歩いて下流広場まで行きます。
『利水次郎』さん、ダムの放水口付近に『治水太郎』さん、等身大の人形がいます。
探してみてくださいね。
水しぶきがすごく、子供は大喜びでした。
約15分放水されるので、色んな角度から写真や動画が撮れます。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
億り人,5,6 か月前,"アーチ式ダムで日本で2番目に高いダムで、ダム湖100選。
来れば壮大さにびっくり。
個人的には、見学トンネルを歩き、アーチ式ダム下方から観れる壮大さと、無料で観れるサービス感に感謝します。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
億り人,5,6 か月前,"アーチ式ダムで日本で2番目に高いダムで、ダム湖100選。
来れば壮大さにびっくり。
個人的には、見学トンネルを歩き、アーチ式ダム下方から観れる壮大さと、無料で観れるサービス感に感謝します。",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
443,4,5 か月前,"たまたまワンコの散歩と紅葉目当てで温井ダムにおりましたが、水煙？がダムから見えて急遽ダムへ向かうと放水してました。
なかなかの迫力ですね！！！",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
443,4,5 か月前,"たまたまワンコの散歩と紅葉目当てで温井ダムにおりましたが、水煙？がダムから見えて急遽ダムへ向かうと放水してました。
なかなかの迫力ですね！！！",温井ダム,"
〒731-3501 広島県山県郡安芸太田町加計１９５６−２","
0826-22-1501",http://www.cgr.mlit.go.jp/nukui/,"4.4
(264)",Unknown,〒731-3501 広島県山県郡安芸太田町加計１９５６−２,34.6365516,132.2963668
