Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
M K,5,8 か月前,"r6.8/16にて
ギリギリ夕日が沈む前に間に合った〜
めっちゃ綺麗！普段日本海側に来る機会がないので感動した
砂浜はちょいちょい砂利場があって足が痛いかな？
浜辺にシャワーはあるし足湯も３ヶ所くらいあって有り難し
良き所っした",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
M K,5,8 か月前,"r6.8/16にて
ギリギリ夕日が沈む前に間に合った〜
めっちゃ綺麗！普段日本海側に来る機会がないので感動した
砂浜はちょいちょい砂利場があって足が痛いかな？
浜辺にシャワーはあるし足湯も３ヶ所くらいあって有り難し
良き所っした",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
しろくまじい,5,1 年前,"日本海に面した海岸です。

目の前の遥か沖合先には大きな姿の佐渡島とそれよりも近くには粟島が洋上に浮かんでいるのが見えています。
水の透明度は抜群に綺麗です。
冬の鈍色の海と春夏の海は全くの別物というくらいの明るい海の日本海です。

太平洋側は海側から日が当たるので照り返しが強い日中に浜辺にいるのがきつい時間が多いですね。
その点、日本海は日が当たるのが陸地側の背後からなので海からの照り返しがないのも浜辺に長時間居やすい要素の一つです。

瀬波の温泉に入って海水浴したり
日本海に沈む夕日を見たりできるのもこの海岸の良いところですね。",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
しろくまじい,5,1 年前,"日本海に面した海岸です。

目の前の遥か沖合先には大きな姿の佐渡島とそれよりも近くには粟島が洋上に浮かんでいるのが見えています。
水の透明度は抜群に綺麗です。
冬の鈍色の海と春夏の海は全くの別物というくらいの明るい海の日本海です。

太平洋側は海側から日が当たるので照り返しが強い日中に浜辺にいるのがきつい時間が多いですね。
その点、日本海は日が当たるのが陸地側の背後からなので海からの照り返しがないのも浜辺に長時間居やすい要素の一つです。

瀬波の温泉に入って海水浴したり
日本海に沈む夕日を見たりできるのもこの海岸の良いところですね。",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
A EIJI,5,2 年前,"20220807
10年以上ここに来ていますが、こんな海岸を見るのは初めてです。

毎年5月と8月に滞在します。
駐車場から海岸まで非常に近く便利です。
トイレ、シャワーなど有り、キャンプを多くの人が楽しんでいます。
天気がいいと佐渡島が見えたり、粟島も見えます。
ここの1番は夕日です。
真夏は15時ぐらいから孫たちと海水浴を、日が沈む18:40まで遊びます。
大きな駐車場が3カ所有り、駐車スペースがない事はありません。

足湯に入りながら、スーパーで買った玉子で温泉卵にします。",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
A EIJI,5,2 年前,"20220807
10年以上ここに来ていますが、こんな海岸を見るのは初めてです。

毎年5月と8月に滞在します。
駐車場から海岸まで非常に近く便利です。
トイレ、シャワーなど有り、キャンプを多くの人が楽しんでいます。
天気がいいと佐渡島が見えたり、粟島も見えます。
ここの1番は夕日です。
真夏は15時ぐらいから孫たちと海水浴を、日が沈む18:40まで遊びます。
大きな駐車場が3カ所有り、駐車スペースがない事はありません。

足湯に入りながら、スーパーで買った玉子で温泉卵にします。",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
浩美,5,1 年前,"2023.11.18 6:40前後
あまりの大きさにスマホでは、全景が入り切りませんでした。
ダブルレインボー‼️
世界が平和で有りますように！
皆々様に幸あれ！",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
浩美,5,1 年前,"2023.11.18 6:40前後
あまりの大きさにスマホでは、全景が入り切りませんでした。
ダブルレインボー‼️
世界が平和で有りますように！
皆々様に幸あれ！",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
白川紘之,4,1 か月前,"キャンプ客が増えて、駐車場を占領して、宿泊客や日帰り客に迷惑をかけています‼️対応を願います‼️
2021夏　恋人の聖地のエリアに車が入れなくなり、このエリア海岸に泊まりキャンプ客がほとんどいなくなり、ウザイキャンプ客が激減しました。旅館泊まり客や日帰り海水浴客に平穏な海水浴が出来るようになりました。対策ありがとうございます！",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
白川紘之,4,1 か月前,"キャンプ客が増えて、駐車場を占領して、宿泊客や日帰り客に迷惑をかけています‼️対応を願います‼️
2021夏　恋人の聖地のエリアに車が入れなくなり、このエリア海岸に泊まりキャンプ客がほとんどいなくなり、ウザイキャンプ客が激減しました。旅館泊まり客や日帰り海水浴客に平穏な海水浴が出来るようになりました。対策ありがとうございます！",瀬波海岸,"
新潟県",Unknown,Unknown,"4.1
(191)",Unknown,浜,38.2151637,139.4372918
