Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
清水惇史,4,7 か月前,"10分前に車両の乗り入れが始まります。
切符は変な手続きは必要なくすぐ買えます。
近くの道の駅で色々買い物もできてとても良かったです。",牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
清水惇史,4,7 か月前,"10分前に車両の乗り入れが始まります。
切符は変な手続きは必要なくすぐ買えます。
近くの道の駅で色々買い物もできてとても良かったです。",牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
辻和彦,4,9 か月前,牛深から蔵之元まで陸路で行くと230ｋｍ５時間ですが、フェリーで行くと8ｋｍ30分で行く事が出来ます。素晴らしいと思いませんかハイヤ大橋も見えていました。ハイヤとは南風「ハエ」が語源で昔帆船で北上するときは南風を待って出港したそうです。今は風の方向に関係なく時刻通りフェリーは運行されています。,牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
辻和彦,4,9 か月前,牛深から蔵之元まで陸路で行くと230ｋｍ５時間ですが、フェリーで行くと8ｋｍ30分で行く事が出来ます。素晴らしいと思いませんかハイヤ大橋も見えていました。ハイヤとは南風「ハエ」が語源で昔帆船で北上するときは南風を待って出港したそうです。今は風の方向に関係なく時刻通りフェリーは運行されています。,牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
林武士,4,2 年前,"1500ccのコンパクトカーに大人3人で3370円だった。(車のサイズで金額は変わる)
車検証を持って切符売り場で切符を購入。
現金以外にpayapayが使用出来た。
出港10分前から乗り入れが始まるので、それまでに食事や買い物を済ます。
初めて乗る航路はワクワクします！",牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
林武士,4,2 年前,"1500ccのコンパクトカーに大人3人で3370円だった。(車のサイズで金額は変わる)
車検証を持って切符売り場で切符を購入。
現金以外にpayapayが使用出来た。
出港10分前から乗り入れが始まるので、それまでに食事や買い物を済ます。
初めて乗る航路はワクワクします！",牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
miyagi,5,11 か月前,牛深から蔵之元へ利用。たまたま4年ぶりのハイヤ祭りの余韻に立ち会うことができ、地元屋台のばくたんを頂きました。道の駅があり、お土産もあります。なによりハイヤ大橋のビジュアルが壮観。,牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
miyagi,5,11 か月前,牛深から蔵之元へ利用。たまたま4年ぶりのハイヤ祭りの余韻に立ち会うことができ、地元屋台のばくたんを頂きました。道の駅があり、お土産もあります。なによりハイヤ大橋のビジュアルが壮観。,牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
銭祐,3,3 年前,"鹿児島県蔵之元港をつなぐカーフェリーの発着港です。
牛深ハイヤ大橋の麓にあります。道の駅が併設されていて道の駅の営業時間中に訪れた場合はそちらも楽しめる。釣りは禁止されているのか、夜に訪れましたが夜釣り人は誰もいなかった。",牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
銭祐,3,3 年前,"鹿児島県蔵之元港をつなぐカーフェリーの発着港です。
牛深ハイヤ大橋の麓にあります。道の駅が併設されていて道の駅の営業時間中に訪れた場合はそちらも楽しめる。釣りは禁止されているのか、夜に訪れましたが夜釣り人は誰もいなかった。",牛深港,"
〒863-1901 熊本県天草市牛深町牛深港",Unknown,Unknown,"4.3
(44)",お店やスポットの電話番号を追加する,〒863-1901 熊本県天草市牛深町牛深港,32.1943556,129.9557941
