Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
隆央日下,5,5 か月前,場所も、もちろんいいですが、どの牡蠣も新鮮で美味しかったです。　焼き牡蠣は味が選べるし、牡蠣フライにつけるポテトサラダが、タルタルに近い雰囲気でこれがまたとても美味しかったです。,牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
隆央日下,5,5 か月前,場所も、もちろんいいですが、どの牡蠣も新鮮で美味しかったです。　焼き牡蠣は味が選べるし、牡蠣フライにつけるポテトサラダが、タルタルに近い雰囲気でこれがまたとても美味しかったです。,牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
Jumpei Inoue,5,1 週間前,"お友達に連れて行ってもらい
初めて、伺いましたが
大変、美味しかったです。

生の牡蠣のバリエーションも素晴らしいですし、蒸しも、焼きも、リゾットも最高でした。

牡蠣は、こちら側の体調（疲れてると免疫力が落ちたりして）に左右されるので
生は少し気をつける必要がありますが
火が入れば大丈夫なので、無理せず
牡蠣フライなどから、試してもらえたらなーと思います。

僕も牡蠣は大好きですが
牡蠣好きなら友達を誘って又、お伺いしたいお店でした",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
Jumpei Inoue,5,1 週間前,"お友達に連れて行ってもらい
初めて、伺いましたが
大変、美味しかったです。

生の牡蠣のバリエーションも素晴らしいですし、蒸しも、焼きも、リゾットも最高でした。

牡蠣は、こちら側の体調（疲れてると免疫力が落ちたりして）に左右されるので
生は少し気をつける必要がありますが
火が入れば大丈夫なので、無理せず
牡蠣フライなどから、試してもらえたらなーと思います。

僕も牡蠣は大好きですが
牡蠣好きなら友達を誘って又、お伺いしたいお店でした",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
mitsuyoshi kanai,5,3 週間前,"私のお客様2名をお連れしての訪問。
こちらの牡蠣が他店ともっとも違うところは、生きたまま仕入れた牡蠣の心臓を傷つけないよう丁寧に捌き、一度も水にさらすことなく産地の海水をソース代わりにいただけることではないかと思います。
店主が厳選した全国のおいしい牡蠣を、おいしいお酒と共にいつでもいただけるお店です。
（私は吞まないのですが、グルメなお連れ様が知らないおいしいお酒がいくつもあり感動していました！）
〆は牡蠣のリゾットかパスタがオススメです。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
mitsuyoshi kanai,5,3 週間前,"私のお客様2名をお連れしての訪問。
こちらの牡蠣が他店ともっとも違うところは、生きたまま仕入れた牡蠣の心臓を傷つけないよう丁寧に捌き、一度も水にさらすことなく産地の海水をソース代わりにいただけることではないかと思います。
店主が厳選した全国のおいしい牡蠣を、おいしいお酒と共にいつでもいただけるお店です。
（私は吞まないのですが、グルメなお連れ様が知らないおいしいお酒がいくつもあり感動していました！）
〆は牡蠣のリゾットかパスタがオススメです。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
7 7,3,1 年前,"牡蠣を食べたくなり来店しました。
場所はビルの3階
カウンターとテーブル席があるのですが、店内はさほど広くなく予約無しのお客さんもちらほらと。
予約してから来店した方がいいと思います。

本日の牡蠣は3種類
一番甘いと言われたTAKAGIという
牡蠣を注文したのですが、
潮味が強く甘さは正直あまり感じませんでした。

メニューの下にいくにつれて
潮味が強くなると言われたのですが、
メニューに噛めば甘くなると書いてあった惑香も注文。やっぱり潮味が強い。。。

甘くて濃厚な牡蠣を期待していたので
ちょっとがっかり。(好みだと思うのですが)

一番美味しかったのは牡蠣のサラダ
シャインマスカットと牡蠣の組み合わせは絶品でした！

この後本当はリゾットを注文したかったのですが、2人前程度と書いてあったので食べきれないと思い断念。牡蠣のおにぎりを注文しました。
牡蠣のおにぎりは普通に美味しかったです。

カウンター席があり、
1人でも来やすいのですが、
リゾットのハーフがあったり、
牡蠣フライも1個から注文できたらソロディナーにはありがたいな。と思いました！

お会計はしっかり商品を確認してくれるスタイルで丁寧だと感じました。

食事的にここに来るなら2人からがおすすめです。ご馳走様でした。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
7 7,3,1 年前,"牡蠣を食べたくなり来店しました。
場所はビルの3階
カウンターとテーブル席があるのですが、店内はさほど広くなく予約無しのお客さんもちらほらと。
予約してから来店した方がいいと思います。

本日の牡蠣は3種類
一番甘いと言われたTAKAGIという
牡蠣を注文したのですが、
潮味が強く甘さは正直あまり感じませんでした。

メニューの下にいくにつれて
潮味が強くなると言われたのですが、
メニューに噛めば甘くなると書いてあった惑香も注文。やっぱり潮味が強い。。。

甘くて濃厚な牡蠣を期待していたので
ちょっとがっかり。(好みだと思うのですが)

一番美味しかったのは牡蠣のサラダ
シャインマスカットと牡蠣の組み合わせは絶品でした！

この後本当はリゾットを注文したかったのですが、2人前程度と書いてあったので食べきれないと思い断念。牡蠣のおにぎりを注文しました。
牡蠣のおにぎりは普通に美味しかったです。

カウンター席があり、
1人でも来やすいのですが、
リゾットのハーフがあったり、
牡蠣フライも1個から注文できたらソロディナーにはありがたいな。と思いました！

お会計はしっかり商品を確認してくれるスタイルで丁寧だと感じました。

食事的にここに来るなら2人からがおすすめです。ご馳走様でした。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
岸田 猪狩瞳,4,1 年前,"牡蠣好き＆お酒好きにはたまらないこだわりを感じるお店でした！
生牡蠣がどれも美味しくて、都内で食べる牡蠣の中ではトップクラスに美味しいなぁと感じました！
リゾットや牡蠣フライもいただきましたが個人的にはさらっといただく生牡蠣やオイル漬けが1番でした！
またふらっとお伺いしたいと思います！",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
岸田 猪狩瞳,4,1 年前,"牡蠣好き＆お酒好きにはたまらないこだわりを感じるお店でした！
生牡蠣がどれも美味しくて、都内で食べる牡蠣の中ではトップクラスに美味しいなぁと感じました！
リゾットや牡蠣フライもいただきましたが個人的にはさらっといただく生牡蠣やオイル漬けが1番でした！
またふらっとお伺いしたいと思います！",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
AKIKO,4,1 年前,"銀座駅から歩いてすぐのビル3階にあり、生牡蠣を初め、牡蠣好きにはたまらない美味しい牡蠣料理が食べられる専門店です。
お店の規模は大きくありませんが、その分お店の方に色々牡蠣に関して伺えますし、丁寧な説明と温かい接客で居心地の良いお店です。牡蠣料理と相性の良い各種お酒も♥️
初来店時に食べた『たっぷり牡蠣のクリームリゾット』の美味しさが忘れられず、注文ですごく迷ったのですが…今回は、以前伺った時に売り切れで食べられなかった『牡蠣フライ(4個)』をタルタルソース代わりのポテトサラダと共に頂きました❣️😋💕",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
AKIKO,4,1 年前,"銀座駅から歩いてすぐのビル3階にあり、生牡蠣を初め、牡蠣好きにはたまらない美味しい牡蠣料理が食べられる専門店です。
お店の規模は大きくありませんが、その分お店の方に色々牡蠣に関して伺えますし、丁寧な説明と温かい接客で居心地の良いお店です。牡蠣料理と相性の良い各種お酒も♥️
初来店時に食べた『たっぷり牡蠣のクリームリゾット』の美味しさが忘れられず、注文ですごく迷ったのですが…今回は、以前伺った時に売り切れで食べられなかった『牡蠣フライ(4個)』をタルタルソース代わりのポテトサラダと共に頂きました❣️😋💕",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
甲田めぐみ,4,3 年前,"銀座　牡蠣bar

メニューに牡蠣しかない、牡蠣好きが集うオイスターbar

全国の生産者から直送の牡蠣が10種類程あり、食べ比べ出来ます。

産地の海水そのままなので、レモンやタバスコ等はつけず海水でそのまま牡蠣を食べてくださいというスタイル。

オーナーの泉さんは全国の牡蠣の生産者を巡って、牡蠣を共同開発されているような牡蠣界のボス。

私は生牡蠣は
『まるえもん』が好き。

生牡蠣の種類は豊富ですが、牡蠣のメニューしかないので牡蠣が好きな方のニッチなお店。

可愛い店員さんがいます。

お値段は銀座価格で少しお高め。
ワインは種類が少ないですが、日本酒や強目のお酒に生牡蠣を入れて飲む、オイスターシューターというものがあり、面白いです。

店内は狭くて、混み合っていると提供はゆっくりぬってしまうのと、牡蠣のメニューしかないので牡蠣好きの人だけで行くのがおすすめです。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
甲田めぐみ,4,3 年前,"銀座　牡蠣bar

メニューに牡蠣しかない、牡蠣好きが集うオイスターbar

全国の生産者から直送の牡蠣が10種類程あり、食べ比べ出来ます。

産地の海水そのままなので、レモンやタバスコ等はつけず海水でそのまま牡蠣を食べてくださいというスタイル。

オーナーの泉さんは全国の牡蠣の生産者を巡って、牡蠣を共同開発されているような牡蠣界のボス。

私は生牡蠣は
『まるえもん』が好き。

生牡蠣の種類は豊富ですが、牡蠣のメニューしかないので牡蠣が好きな方のニッチなお店。

可愛い店員さんがいます。

お値段は銀座価格で少しお高め。
ワインは種類が少ないですが、日本酒や強目のお酒に生牡蠣を入れて飲む、オイスターシューターというものがあり、面白いです。

店内は狭くて、混み合っていると提供はゆっくりぬってしまうのと、牡蠣のメニューしかないので牡蠣好きの人だけで行くのがおすすめです。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
eri sasaki,4,2 年前,"店内はかなり狭いので週末は予約した方が安心かと思います。

メインの牡蠣ですが海水のみで楽しむというのがウリで調味料などはなし。
私にはしょっぱかったです。

評判通りリゾットが美味しくてアヒージョも頼むと味の変化を楽しめてよかったです。
価格は牡蠣盛り合わせ含めて4品1人8,500円でした。
食事をしに行くと高いですね。

食事目的で行くのは向かないお店。お酒を楽しみながら肴を楽しむのが良いと思います。
たしか、店のWEBサイトにも書いてたと思います。
行ってみて意味がわかりました。

小さいお店ですが居心地よくて雰囲気も素敵だし、お酒好きな人と二件目として選びたいお店としておすすめですね。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
eri sasaki,4,2 年前,"店内はかなり狭いので週末は予約した方が安心かと思います。

メインの牡蠣ですが海水のみで楽しむというのがウリで調味料などはなし。
私にはしょっぱかったです。

評判通りリゾットが美味しくてアヒージョも頼むと味の変化を楽しめてよかったです。
価格は牡蠣盛り合わせ含めて4品1人8,500円でした。
食事をしに行くと高いですね。

食事目的で行くのは向かないお店。お酒を楽しみながら肴を楽しむのが良いと思います。
たしか、店のWEBサイトにも書いてたと思います。
行ってみて意味がわかりました。

小さいお店ですが居心地よくて雰囲気も素敵だし、お酒好きな人と二件目として選びたいお店としておすすめですね。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
まつ“いぺ”いぺ,5,1 か月前,名前のとおり、牡蠣とお酒だけをしっかりと味わえるお店です。牡蠣に合うビールや、日本酒を堪能できます。,牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
まつ“いぺ”いぺ,5,1 か月前,名前のとおり、牡蠣とお酒だけをしっかりと味わえるお店です。牡蠣に合うビールや、日本酒を堪能できます。,牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
tc maru,5,3 年前,"ここの生牡蠣がこの辺りで一番美味しいです。
牡蠣好きが総じてお店を出した経歴のオーナーさんなので牡蠣好きな人はぜひいってほしいお店です。
いつも何皿も生牡蠣おかわりしちゃいます。
牡蠣のクリームリゾットも超絶おすすめです。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
tc maru,5,3 年前,"ここの生牡蠣がこの辺りで一番美味しいです。
牡蠣好きが総じてお店を出した経歴のオーナーさんなので牡蠣好きな人はぜひいってほしいお店です。
いつも何皿も生牡蠣おかわりしちゃいます。
牡蠣のクリームリゾットも超絶おすすめです。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
Yamagishiてつ,5,1 年前,"新鮮な牡蠣を種類も豊富に色々なスタイルで提供してくれます。
一緒にお連れした人たちも声を揃えて大絶賛です。",牡蠣Ｂａｒ,"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ","
03-6274-6750",https://shoko-oyster.com/,"4.2
(198)",Unknown,〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル ３Ｆ,35.6965338,139.7351953
