Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
PMそふと,3,2 年前,物見山は標高375mの比較的登りやすい山です。北谷湖から出発して、宿谷滝を通って、頂上まで２時間くらいかけて登りました。帰りは北向地蔵を通ってスカリ山を回って、４時間弱でした。天気も良く自然の中をゆっくり歩けました。,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
PMそふと,3,2 年前,物見山は標高375mの比較的登りやすい山です。北谷湖から出発して、宿谷滝を通って、頂上まで２時間くらいかけて登りました。帰りは北向地蔵を通ってスカリ山を回って、４時間弱でした。天気も良く自然の中をゆっくり歩けました。,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
sakichang,4,5 か月前,展望はあまり良くありませんが、ゆっくり休憩出来ます。,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
sakichang,4,5 か月前,展望はあまり良くありませんが、ゆっくり休憩出来ます。,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
Quest,4,4 年前,"日和田山から高指山無線中継所を経由して、物見山へ登りました。
高指無線中継所から物見山の手前の駒高の集落にトイレと東屋と商店があります。
物見山の山頂付近の展望は良くないです。
三角点は山頂の休憩スペースから少し離れた所にあります。",物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
Quest,4,4 年前,"日和田山から高指山無線中継所を経由して、物見山へ登りました。
高指無線中継所から物見山の手前の駒高の集落にトイレと東屋と商店があります。
物見山の山頂付近の展望は良くないです。
三角点は山頂の休憩スペースから少し離れた所にあります。",物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
Tak Kak,5,3 年前,"7歳と4歳の子供を連れてハイキング。
日和田山登山口に駐車して、日和田山→高指山→物見山の往復 約6kmのコースでした。疲れも見せず、初の登山にしては楽しめたようです。",物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
Tak Kak,5,3 年前,"7歳と4歳の子供を連れてハイキング。
日和田山登山口に駐車して、日和田山→高指山→物見山の往復 約6kmのコースでした。疲れも見せず、初の登山にしては楽しめたようです。",物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
masaru masuoka,3,3 年前,375mの山で西武鉄道高麗駅から日和田山を経由して2時間ぐらいで登れます。良い体力づくりができます！,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
masaru masuoka,3,3 年前,375mの山で西武鉄道高麗駅から日和田山を経由して2時間ぐらいで登れます。良い体力づくりができます！,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
TORU MURAMATSU,5,1 年前,ベンチがあるので休憩できます。景色は見えません,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
TORU MURAMATSU,5,1 年前,ベンチがあるので休憩できます。景色は見えません,物見山,"
〒350-1251 埼玉県日高市高麗本郷",Unknown,Unknown,"4.2
(38)",Unknown,〒350-1251 埼玉県日高市高麗本郷,37.5385742,138.1626868
