Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
つらのかわあつ子,3,1 か月前,講演会やコンサートなんかもあるホール。ちょうど良い大きさ。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
つらのかわあつ子,3,1 か月前,講演会やコンサートなんかもあるホール。ちょうど良い大きさ。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
Teamランカク,4,6 年前,"古い建物ですが、情緒もあり、音響も悪くありません。
意外と広すぎないので落ち着けます",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
Teamランカク,4,6 年前,"古い建物ですが、情緒もあり、音響も悪くありません。
意外と広すぎないので落ち着けます",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
Shinichi Kaji,5,1 年前,"先日、40年ぶりに梅沢富美男の劇団特別講演で田川文化センターへ行ってまいりました。
最初、40年前に行ったのは、確か友人から頂いたチケットで石野真子コンサートへ行ったのを覚えています。いや～久しぶりに訪問しましたが、あれから年数も経過しているせいか建物も昭和レトロな作りでしたが、何か懐かしい思いをしました。
また、イベント等あれば伺いたいですね！",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
Shinichi Kaji,5,1 年前,"先日、40年ぶりに梅沢富美男の劇団特別講演で田川文化センターへ行ってまいりました。
最初、40年前に行ったのは、確か友人から頂いたチケットで石野真子コンサートへ行ったのを覚えています。いや～久しぶりに訪問しましたが、あれから年数も経過しているせいか建物も昭和レトロな作りでしたが、何か懐かしい思いをしました。
また、イベント等あれば伺いたいですね！",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
高本ゆきみ,2,1 年前,"展示会で、行きました
未だに、トイレが和式しかない事にびっくり‼️
後、多目的トイレがどこにあるのかすら分からない。
コンサートホール等に使用しているのであれば、トイレぐらいきちんとして欲しい",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
高本ゆきみ,2,1 年前,"展示会で、行きました
未だに、トイレが和式しかない事にびっくり‼️
後、多目的トイレがどこにあるのかすら分からない。
コンサートホール等に使用しているのであれば、トイレぐらいきちんとして欲しい",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
洋一,2,6 か月前,公民館祭りが、ありましたので良かったです。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
洋一,2,6 か月前,公民館祭りが、ありましたので良かったです。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
hironori Fujisaki,3,2 か月前,今回、コンサートで伺いました。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
hironori Fujisaki,3,2 か月前,今回、コンサートで伺いました。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
小野淳子,4,2 年前,"9日の日曜日に友人3人で友達のカラオケ大会の応援に行きました

楽しかったです …",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
小野淳子,4,2 年前,"9日の日曜日に友人3人で友達のカラオケ大会の応援に行きました

楽しかったです …",田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
WOWノリ臓,3,5 年前,少し寂れてるけどいい感じ,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
WOWノリ臓,3,5 年前,少し寂れてるけどいい感じ,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
原田幸子,4,1 年前,建物は年数がたったいますが、快適なホ-ルです。特に講演会等のスタッフの気遣いが最高です。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
原田幸子,4,1 年前,建物は年数がたったいますが、快適なホ-ルです。特に講演会等のスタッフの気遣いが最高です。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
美由紀,3,1 年前,到達までに看板案内が欲しいですね。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
美由紀,3,1 年前,到達までに看板案内が欲しいですね。,田川文化センター,"
〒826-0032 福岡県田川市平松町３−３６","
0947-44-6470",http://www.tagawa-bunka.jp/,"3.5
(180)",Unknown,〒826-0032 福岡県田川市平松町３−３６,34.6595698,135.3043211
