Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
kibimochi,4,6 か月前,"北上川水系の猿ヶ石川に造られた多目的の重力式コンクリートダム。ちなみに今年、令和6年の10月には竣工70周年を迎えるので、記念イベントも色々計画されているとのこと。
ダムは堤高81.5m、堤頂長も320mと立派で見栄えが良い。ちなみに車で通行も可能。
都市部から十分離れているので自然に囲まれた雰囲気も良く、景色も中々。田瀬湖も日本ダム湖100選に選ばれ、周囲にはレクリエーション施設も種々存在する。

なお、管理棟にはダムの概要や歴史を学べる「田瀬ダムものしり館」も併設されている。
ざっくり言うと、国直轄で最初に計画されたダムであるものの戦争で中断、その後大型台風による北上川水系の甚大な被害を受けて北上川五大ダム計画として復活、その後も戦後のゴタゴタから用地買収問題やらで色々大変な経緯があったとのこと。

用地買収問題については、東宝で『激流』というタイトルで映画化もされたらしい。ただ、探してみたもののVODとかでは提供されていないようなので、実際に観るのは難しそう。

あとダムカードは、普通に管理棟で貰える。",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
kibimochi,4,6 か月前,"北上川水系の猿ヶ石川に造られた多目的の重力式コンクリートダム。ちなみに今年、令和6年の10月には竣工70周年を迎えるので、記念イベントも色々計画されているとのこと。
ダムは堤高81.5m、堤頂長も320mと立派で見栄えが良い。ちなみに車で通行も可能。
都市部から十分離れているので自然に囲まれた雰囲気も良く、景色も中々。田瀬湖も日本ダム湖100選に選ばれ、周囲にはレクリエーション施設も種々存在する。

なお、管理棟にはダムの概要や歴史を学べる「田瀬ダムものしり館」も併設されている。
ざっくり言うと、国直轄で最初に計画されたダムであるものの戦争で中断、その後大型台風による北上川水系の甚大な被害を受けて北上川五大ダム計画として復活、その後も戦後のゴタゴタから用地買収問題やらで色々大変な経緯があったとのこと。

用地買収問題については、東宝で『激流』というタイトルで映画化もされたらしい。ただ、探してみたもののVODとかでは提供されていないようなので、実際に観るのは難しそう。

あとダムカードは、普通に管理棟で貰える。",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
チダヒロ,3,4 か月前,"国が作ったダムの第一号です。
ダムとしては初の機械遺産認定第一号です。

静かで良い所です。行くまでの道が少し狭いので対向車来るとなかなか…です。

ダム真ん中まで歩いて見てて気がつきましたが、国道になってるので普通にダム中心を車が通ります。

土日でもダムカード頂けるダムなので集めてる方には良いと思いますよ。

ものしり館（資料館）もありますし、そちらでトイレ借りられます。子供飽きない用の物も準備してあります。
あとビデオ上映もありました。
ダムだけでなく周辺の東和、宮守、遠野などに何があるかの説明もあり参考になりました。",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
チダヒロ,3,4 か月前,"国が作ったダムの第一号です。
ダムとしては初の機械遺産認定第一号です。

静かで良い所です。行くまでの道が少し狭いので対向車来るとなかなか…です。

ダム真ん中まで歩いて見てて気がつきましたが、国道になってるので普通にダム中心を車が通ります。

土日でもダムカード頂けるダムなので集めてる方には良いと思いますよ。

ものしり館（資料館）もありますし、そちらでトイレ借りられます。子供飽きない用の物も準備してあります。
あとビデオ上映もありました。
ダムだけでなく周辺の東和、宮守、遠野などに何があるかの説明もあり参考になりました。",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
只見荘一郎,4,6 か月前,"堤高が81.5 mの重力式コンクリートダムです。着工は1941年ですが、戦争による工事中断があったため竣工が1954年となっています。今回新花巻から遠野へ行く機会があったのでちょっと遠回りをして寄ってきました。
国道283号を折れ10分くらい走ると堤体です。目的はダムカードです。基本、ダムは山奥のアクセス不良地域にあることが多く、このように幹線道路からすぐのところにあるダムは少ないのです。折しも昨日からの大雨でダムが放水をしていたので、その動画も撮ることができました。黒部ダムは「観光放水」を行っているので、オンシーズンに行けば必ず見ることができます。しかし中小のダムの放水は滅多に見ることができません、ついてました！
ところで、ダムカードとは全国にある約1,480のダムのうち700か所程で頒布されている免許サイズのカードのことです。市販はされていないので、旅先のいい記念になります。でも休日には頒布しないダムが多いので、カード獲得には旅程の組み立てが重要になります。でも今回は2枚も入手！ダムの放水にカード2枚、その他諸々。いい旅でした。
で今、次の旅程を組んでいます、結構悩みます。でもこれが旅で一番楽しい時間なのかもしれません。",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
只見荘一郎,4,6 か月前,"堤高が81.5 mの重力式コンクリートダムです。着工は1941年ですが、戦争による工事中断があったため竣工が1954年となっています。今回新花巻から遠野へ行く機会があったのでちょっと遠回りをして寄ってきました。
国道283号を折れ10分くらい走ると堤体です。目的はダムカードです。基本、ダムは山奥のアクセス不良地域にあることが多く、このように幹線道路からすぐのところにあるダムは少ないのです。折しも昨日からの大雨でダムが放水をしていたので、その動画も撮ることができました。黒部ダムは「観光放水」を行っているので、オンシーズンに行けば必ず見ることができます。しかし中小のダムの放水は滅多に見ることができません、ついてました！
ところで、ダムカードとは全国にある約1,480のダムのうち700か所程で頒布されている免許サイズのカードのことです。市販はされていないので、旅先のいい記念になります。でも休日には頒布しないダムが多いので、カード獲得には旅程の組み立てが重要になります。でも今回は2枚も入手！ダムの放水にカード2枚、その他諸々。いい旅でした。
で今、次の旅程を組んでいます、結構悩みます。でもこれが旅で一番楽しい時間なのかもしれません。",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
Hiroyuki,3,10 か月前,"[田瀬ダム]

国直轄第一号で五大ダム最大のダム

北上山地の奥深く流れ出る猿ケ石川をせきとめて造られた。
工事は五大ダムで最も早く1941年に始まったが、戦争で中断し再開されたのは1950年10月、その４年後の1954年10月に完成した。
国直轄ダム事業で初めての本格的な重力式コンクリートダムである。

ダムの歴史には欠かすことのできない場所。
近くを訪れたさいはいってみる価値あり。

おすすめ度:★☆☆☆☆

2021.04.14",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
Hiroyuki,3,10 か月前,"[田瀬ダム]

国直轄第一号で五大ダム最大のダム

北上山地の奥深く流れ出る猿ケ石川をせきとめて造られた。
工事は五大ダムで最も早く1941年に始まったが、戦争で中断し再開されたのは1950年10月、その４年後の1954年10月に完成した。
国直轄ダム事業で初めての本格的な重力式コンクリートダムである。

ダムの歴史には欠かすことのできない場所。
近くを訪れたさいはいってみる価値あり。

おすすめ度:★☆☆☆☆

2021.04.14",田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
960 im,4,1 年前,６月下旬に訪問。山間部にある、歴史のある小さなダムです。ダムカードもいただきました。ダムの天端は、車道で道の駅みやもり方面に抜けられます。湖面を見ると魚影が見えました。ダム周辺に店はありませんが、ものしり館でダムの歴史などを知りました。広報の努力や工夫が伺えます。過去、三船敏郎も映画のロケで訪れていたんですね。意外な発見でした。,田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
960 im,4,1 年前,６月下旬に訪問。山間部にある、歴史のある小さなダムです。ダムカードもいただきました。ダムの天端は、車道で道の駅みやもり方面に抜けられます。湖面を見ると魚影が見えました。ダム周辺に店はありませんが、ものしり館でダムの歴史などを知りました。広報の努力や工夫が伺えます。過去、三船敏郎も映画のロケで訪れていたんですね。意外な発見でした。,田瀬ダム,"
〒028-0123 岩手県花巻市","
019-643-7831",https://www.thr.mlit.go.jp/kitakato/01dam/ta_outline.html,"4.0
(23)",営業時間を追加,〒028-0123 岩手県花巻市,39.3431301,141.3185023
