Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Tomo Kaji,4,3 か月前,"正月家族旅行の合間に立ち寄ってみました。
階段を100段くらい？渓谷に向かって降りるとなかなか想像以上の素晴らしい景観！
ただ降りるだけで遊歩道なんかはないので、15分くらい滞在して戻ってきました。夏は水に入れるらしいので楽しそうです",由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
Tomo Kaji,4,3 か月前,"正月家族旅行の合間に立ち寄ってみました。
階段を100段くらい？渓谷に向かって降りるとなかなか想像以上の素晴らしい景観！
ただ降りるだけで遊歩道なんかはないので、15分くらい滞在して戻ってきました。夏は水に入れるらしいので楽しそうです",由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
co. myamya,5,2 か月前,"9月の平日の10時過ぎに訪問。
係員などはいませんが、1人100円かかります。

前々日が雨で水量が多かったからか、ハーフパンツを履いて行きましたが、上りは途中までしか行けませんでした。
濡れる覚悟で行けばもっと行けたかもきれません。
またずっと石のうえを歩くので結構疲れます。

渓谷はとても綺麗で最高です。
また5〜9月くらいに行きたいです！",由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
co. myamya,5,2 か月前,"9月の平日の10時過ぎに訪問。
係員などはいませんが、1人100円かかります。

前々日が雨で水量が多かったからか、ハーフパンツを履いて行きましたが、上りは途中までしか行けませんでした。
濡れる覚悟で行けばもっと行けたかもきれません。
またずっと石のうえを歩くので結構疲れます。

渓谷はとても綺麗で最高です。
また5〜9月くらいに行きたいです！",由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
渡辺和之（ナベカズ）,4,1 か月前,"20250309におじゃましました。
入場料100円？を支払い、渓谷に入りましたが、奥までは行くことができませんでした。
4/8ぐらいから川開きされるそうです。
日付は別途調査をお願いします。
川までは降りることができました。
急な階段の上り下りですので20分から30分は必要です。
川横にはベンチもありましたのでゆっくりもできると思います。
夏場がいいかもですかぬ。",由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
渡辺和之（ナベカズ）,4,1 か月前,"20250309におじゃましました。
入場料100円？を支払い、渓谷に入りましたが、奥までは行くことができませんでした。
4/8ぐらいから川開きされるそうです。
日付は別途調査をお願いします。
川までは降りることができました。
急な階段の上り下りですので20分から30分は必要です。
川横にはベンチもありましたのでゆっくりもできると思います。
夏場がいいかもですかぬ。",由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
Takahiko DMC,4,2 か月前,チェックストーンに行きたかったが、泳がないと行けないと階段降りた先の掲示で見て、真冬だし断念。子連れだったから階段きつかったけどその先に素晴らしい景色が待ってました。,由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
Takahiko DMC,4,2 か月前,チェックストーンに行きたかったが、泳がないと行けないと階段降りた先の掲示で見て、真冬だし断念。子連れだったから階段きつかったけどその先に素晴らしい景色が待ってました。,由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
落葉舎Rakuyosha,4,1 か月前,上から見て想像するよりも規模の大きな溪谷。谷に立って見上げると昼尚仄暗い溪谷の遥か上部から陽が見え、溪谷感は十分。雨が降れば直ぐ逃げるよう注意書看板は林立し、不安を煽る。駐車場は全体が公園的に整備されているが、ここに止めよ、との案内はなく分かりにくい。谷底までは175段の階段を降りねばならない。行きはよいよい帰りは辛い。,由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
落葉舎Rakuyosha,4,1 か月前,上から見て想像するよりも規模の大きな溪谷。谷に立って見上げると昼尚仄暗い溪谷の遥か上部から陽が見え、溪谷感は十分。雨が降れば直ぐ逃げるよう注意書看板は林立し、不安を煽る。駐車場は全体が公園的に整備されているが、ここに止めよ、との案内はなく分かりにくい。谷底までは175段の階段を降りねばならない。行きはよいよい帰りは辛い。,由布川峡谷,"
〒879-5525 大分県由布市挾間町朴木","
097-583-2552",https://yufugawacanyon.jimdo.com/,"3.9
(354)",営業時間を追加,〒879-5525 大分県由布市挾間町朴木,33.2352778,131.4514204
