Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
masahiko minami,4,1 年前,"大阪平野を一望できます。
東向きの斜面にあって、北から南まで180°程度の眺望が楽しめます。
双眼鏡があれば太陽の塔も見えるんじゃないでしょうか。少し手前の千里中央の2本あるタワーマンションはしっかり見えます。

ちょっとした広場になっていて、朝はラジオ体操をご近所の方（？　一番近い家でも数百メートルの坂道を登ってくる必要があると思うので、近所と言えるのでしょうか？）が集まってやっておられるようです。

公園の駐車場からは500メートルはあると思います。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
masahiko minami,4,1 年前,"大阪平野を一望できます。
東向きの斜面にあって、北から南まで180°程度の眺望が楽しめます。
双眼鏡があれば太陽の塔も見えるんじゃないでしょうか。少し手前の千里中央の2本あるタワーマンションはしっかり見えます。

ちょっとした広場になっていて、朝はラジオ体操をご近所の方（？　一番近い家でも数百メートルの坂道を登ってくる必要があると思うので、近所と言えるのでしょうか？）が集まってやっておられるようです。

公園の駐車場からは500メートルはあると思います。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
S T,5,6 か月前,"ご来光を見に行ってきました。住宅街から近いとは言え日が昇ってくるまでは暗いのでライトはあったほうが安心だと思います。
道はしっかりと整備されてるので普通の運動靴で問題なくたどり着けると思います。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
S T,5,6 か月前,"ご来光を見に行ってきました。住宅街から近いとは言え日が昇ってくるまでは暗いのでライトはあったほうが安心だと思います。
道はしっかりと整備されてるので普通の運動靴で問題なくたどり着けると思います。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
乾坤一擲,5,2 か月前,"学生時代、講義の合間によく登りにいきました。夜景も六甲山系のベスト3にはいるくらい、きれい。
社会人になって、３０年ぶりに大学の聴講生として、また講義の合間にきてます。景色は昔とかわらず、心があらわれます。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
乾坤一擲,5,2 か月前,"学生時代、講義の合間によく登りにいきました。夜景も六甲山系のベスト3にはいるくらい、きれい。
社会人になって、３０年ぶりに大学の聴講生として、また講義の合間にきてます。景色は昔とかわらず、心があらわれます。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
N. M.,5,1 年前,甲山森林公園内のお薦めスポットでして、眼下に広がる市街地や遠くに見える大阪梅田エリア、甲子園球場、生駒山などがとにかく感動的でした。基本的に訪問者が少なく、静かで、落ち着いて満喫できるのがありがたいです。,甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
N. M.,5,1 年前,甲山森林公園内のお薦めスポットでして、眼下に広がる市街地や遠くに見える大阪梅田エリア、甲子園球場、生駒山などがとにかく感動的でした。基本的に訪問者が少なく、静かで、落ち着いて満喫できるのがありがたいです。,甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
YOSSOW M,4,2 年前,"展望台から広がる景色は素晴らしく、公園も毎回コースを変えて歩く楽しみがあります。
特にこの時期は紅葉が綺麗です。駐車場は無料ですが、早い時間からいっぱいになる事もあります。
現在は公園のトイレが工事に入っていますから、掲示板などで確認しておくと、慌てずにすみます。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
YOSSOW M,4,2 年前,"展望台から広がる景色は素晴らしく、公園も毎回コースを変えて歩く楽しみがあります。
特にこの時期は紅葉が綺麗です。駐車場は無料ですが、早い時間からいっぱいになる事もあります。
現在は公園のトイレが工事に入っていますから、掲示板などで確認しておくと、慌てずにすみます。",甲山森林公園展望台,"
〒662-0001 兵庫県西宮市甲山町","
0798-73-4600",http://kabutoyama-park.com/,"4.3
(197)",Unknown,〒662-0001 兵庫県西宮市甲山町,34.773583,135.3349881
