Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Shiro Tanu,5,1 週間前,"2025.4.11
災害ボランティアで能登に。3日目の作業で珠洲から輪島へ行く途中、満開の桜🌸・千枚田・海岸沿いの景色を見て、帰りもう一度観たくて少し足を延ばしました。
晴天のなか機械を使い道などの整備をしたり、畦塗りや代掻きをしていました。
想い願いで千枚田も甦っています。
道の駅の飲食は休んでますが、自動販売機とトイレは使える状態です。",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
Shiro Tanu,5,1 週間前,"2025.4.11
災害ボランティアで能登に。3日目の作業で珠洲から輪島へ行く途中、満開の桜🌸・千枚田・海岸沿いの景色を見て、帰りもう一度観たくて少し足を延ばしました。
晴天のなか機械を使い道などの整備をしたり、畦塗りや代掻きをしていました。
想い願いで千枚田も甦っています。
道の駅の飲食は休んでますが、自動販売機とトイレは使える状態です。",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
V- Strider,5,4 か月前,"世界農業遺産であり、名前のとおり千枚程の田んぼがあるそうだ。
展望台や歩道から見た景色は圧巻で、その数、大小様々な大きさ、海沿いから山へとつながるその景観が見応えある。

2024年の地震と、8月の大雨と二度の災害に見舞われたが、復興に向けた頑張りで、この景観が保たれてると思うと、感動もひとしお。

近くの道の駅に駐車できるので、是非ゆっくり歩いていろんな場所からこの景観を目に焼き付けて欲しい。

千枚田の中にも歩道が整備されているので、そこを歩かれるのも良いだろう。",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
V- Strider,5,4 か月前,"世界農業遺産であり、名前のとおり千枚程の田んぼがあるそうだ。
展望台や歩道から見た景色は圧巻で、その数、大小様々な大きさ、海沿いから山へとつながるその景観が見応えある。

2024年の地震と、8月の大雨と二度の災害に見舞われたが、復興に向けた頑張りで、この景観が保たれてると思うと、感動もひとしお。

近くの道の駅に駐車できるので、是非ゆっくり歩いていろんな場所からこの景観を目に焼き付けて欲しい。

千枚田の中にも歩道が整備されているので、そこを歩かれるのも良いだろう。",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
丸山寛,5,1 か月前,"石川県輪島市 白米千枚田

白米千枚田は初めて来れました。
無理を言って立ち寄らせてもらったのは畦の状態が気になっていたので、というのと
海岸の隆起も見られるかと思ったわけで
(※写真にも見えますけどテトラポットのとことか石ころが転がってる海べり、あれすべてが隆起の結果です)

この時期は水も張られていないので海際まで降りていくことにし、
道の地割れに気をつけつつ波打ち際ちかくの防波堤まで進み、見渡すと大きな石ころがゴロリと並ぶ様が向こうまで続いていました

棚田そのものも水路を用心しながら登っていくと
稲作の再開されたエリアより、やはり海際のほうが農作機械の入る道も割れて使えずにおり、全面的な水田としての再開というのは遠いだろうなと感じます。

わたしとしてだけの意見なのですが、
見栄えだけで稲作を続けるよりも(農業土木被災トマソン)みたいな枠で保存していくほうがスジなのでは、とかも思いました",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
丸山寛,5,1 か月前,"石川県輪島市 白米千枚田

白米千枚田は初めて来れました。
無理を言って立ち寄らせてもらったのは畦の状態が気になっていたので、というのと
海岸の隆起も見られるかと思ったわけで
(※写真にも見えますけどテトラポットのとことか石ころが転がってる海べり、あれすべてが隆起の結果です)

この時期は水も張られていないので海際まで降りていくことにし、
道の地割れに気をつけつつ波打ち際ちかくの防波堤まで進み、見渡すと大きな石ころがゴロリと並ぶ様が向こうまで続いていました

棚田そのものも水路を用心しながら登っていくと
稲作の再開されたエリアより、やはり海際のほうが農作機械の入る道も割れて使えずにおり、全面的な水田としての再開というのは遠いだろうなと感じます。

わたしとしてだけの意見なのですが、
見栄えだけで稲作を続けるよりも(農業土木被災トマソン)みたいな枠で保存していくほうがスジなのでは、とかも思いました",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
roma pomo,4,5 か月前,"金沢から輪島に行く途中、ちょっと寄り道して立ち寄ってみました。

日本にはこのような千枚田らしき所が他にもあると思うのですが、他では見たことがなかったので、とてもキレイだな～と思いました。

とにかくこのような地形はおそらく農重機が入れないので、田植えから刈り取りまで全部農家さんの手作業だと思うと大変な作業だな…と思ってしまいました。

こちらのまわりには他に何も見るところがないですが、遠回りしてでも見てみたい！という方には1度ご覧になると良いと思います。",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
roma pomo,4,5 か月前,"金沢から輪島に行く途中、ちょっと寄り道して立ち寄ってみました。

日本にはこのような千枚田らしき所が他にもあると思うのですが、他では見たことがなかったので、とてもキレイだな～と思いました。

とにかくこのような地形はおそらく農重機が入れないので、田植えから刈り取りまで全部農家さんの手作業だと思うと大変な作業だな…と思ってしまいました。

こちらのまわりには他に何も見るところがないですが、遠回りしてでも見てみたい！という方には1度ご覧になると良いと思います。",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
Mican,5,1 週間前,"道の駅は休業中ですがトイレは開放中です
金沢から向かいましたが千枚田へ続く能登里山海道などの主要道路は復興作業中で、路肩規制や片側交互通行、迂回路やアップダウンの激しい凸凹道がかなり多いです
千枚田の景色は素晴らしいですが、行かれる方は気を付けて、どうぞ",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
Mican,5,1 週間前,"道の駅は休業中ですがトイレは開放中です
金沢から向かいましたが千枚田へ続く能登里山海道などの主要道路は復興作業中で、路肩規制や片側交互通行、迂回路やアップダウンの激しい凸凹道がかなり多いです
千枚田の景色は素晴らしいですが、行かれる方は気を付けて、どうぞ",白米千枚田,"
〒928-0256 石川県輪島市白米町９９−５","
0768-23-1146",https://wajima-senmaida.jp/,"4.2
(5,951)",Unknown,〒928-0256 石川県輪島市白米町９９−５,27.1800396,130.5553681
