Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Yosh Done,5,4 週間前,"縄文杉と並んで世界遺産屋久島の2大スポットで、ジブリ映画「もののけ姫」のモデルとしでも有名です。
太鼓岩まで行きましたが道中ずっと素晴らしい緑の世界が続き、終始楽しくトレッキング出来ました。(太鼓岩まで往復約4時間くらいでした)太鼓岩まで行く場合は登山届の提出が必要です。また早朝出発だった為、下山時に協力金を支払いました。
スマホゲーム「ドラクエウォーク」のお土産スポットにもなっています。(来訪難易度が高いので、ゲーム中でも貴重なお土産スポットです)",白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
Yosh Done,5,4 週間前,"縄文杉と並んで世界遺産屋久島の2大スポットで、ジブリ映画「もののけ姫」のモデルとしでも有名です。
太鼓岩まで行きましたが道中ずっと素晴らしい緑の世界が続き、終始楽しくトレッキング出来ました。(太鼓岩まで往復約4時間くらいでした)太鼓岩まで行く場合は登山届の提出が必要です。また早朝出発だった為、下山時に協力金を支払いました。
スマホゲーム「ドラクエウォーク」のお土産スポットにもなっています。(来訪難易度が高いので、ゲーム中でも貴重なお土産スポットです)",白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
GionDaiko Komonji,5,11 か月前,"屋久島の名所のひとつ。人と森林の触れ合いの場としてレクリエーションの森に指定された屋久島自然休養林。
「もののけ姫」の森のモデルになった事でも知られています。

苔むした森、絶え間なく流れる川、朽ちてもなお命を支える屋久杉の切り株等、屋久島の大自然を満喫出来ます。

概ね登山口から太鼓岩までのエリアとなりますが、技量や体力にあわせて自身に向いたコースを選んで歩けるのも魅力です。

私は、天候もよく渡渉も問題なかったので、太鼓岩まで赴き、帰りは奉行杉コースと弥生杉コースを寄り道して周りました。
写真撮りながらのスローペースだったので、7時間の滞在でした。

駐車場は登山口を過ぎた先にあります。
広さはありますが、それ以上に観光客が訪れるので、早めに訪れるのがいいと思います。

路線バスも宮之浦港から一日4本走っているようです(要確認)

トイレは白谷小屋にしかありません。携帯トイレ持参でも使用可能なブースは3か所だけです。必ず出発前に登山口前のトイレで済ませましょう。",白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
GionDaiko Komonji,5,11 か月前,"屋久島の名所のひとつ。人と森林の触れ合いの場としてレクリエーションの森に指定された屋久島自然休養林。
「もののけ姫」の森のモデルになった事でも知られています。

苔むした森、絶え間なく流れる川、朽ちてもなお命を支える屋久杉の切り株等、屋久島の大自然を満喫出来ます。

概ね登山口から太鼓岩までのエリアとなりますが、技量や体力にあわせて自身に向いたコースを選んで歩けるのも魅力です。

私は、天候もよく渡渉も問題なかったので、太鼓岩まで赴き、帰りは奉行杉コースと弥生杉コースを寄り道して周りました。
写真撮りながらのスローペースだったので、7時間の滞在でした。

駐車場は登山口を過ぎた先にあります。
広さはありますが、それ以上に観光客が訪れるので、早めに訪れるのがいいと思います。

路線バスも宮之浦港から一日4本走っているようです(要確認)

トイレは白谷小屋にしかありません。携帯トイレ持参でも使用可能なブースは3か所だけです。必ず出発前に登山口前のトイレで済ませましょう。",白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
Atsushi N,4,1 か月前,"弥生杉コースは、山道が苦手な方でも、行けますが、台風の影響もあり、弥生杉が折れています
アニメーション映画「もののけ姫」の森のような場所でした",白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
Atsushi N,4,1 か月前,"弥生杉コースは、山道が苦手な方でも、行けますが、台風の影響もあり、弥生杉が折れています
アニメーション映画「もののけ姫」の森のような場所でした",白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
加藤憲一,4,3 か月前,2024年12月中旬の訪問でした。2日前には、土砂崩れが発生し、前日までは通行止めだったのですが、最終日にかろうじて訪問できました。但し、「台風の影響が大きかったため、渓谷沿いのルートはクローズされており、迂回路は山の尾根路を進む。」との説明が入口の受付料金所でありました。午後2時過ぎであり、入口から往復で30分だけと条件をつけて回ってきましたが、それだけでも、十分楽しめました。美しいところです。,白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
加藤憲一,4,3 か月前,2024年12月中旬の訪問でした。2日前には、土砂崩れが発生し、前日までは通行止めだったのですが、最終日にかろうじて訪問できました。但し、「台風の影響が大きかったため、渓谷沿いのルートはクローズされており、迂回路は山の尾根路を進む。」との説明が入口の受付料金所でありました。午後2時過ぎであり、入口から往復で30分だけと条件をつけて回ってきましたが、それだけでも、十分楽しめました。美しいところです。,白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
WAVAW,5,1 か月前,屋久島を訪れたら、是非行ってみて下さい。お勧めします。眼前に素晴らしい景色が広がっています。,白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
WAVAW,5,1 か月前,屋久島を訪れたら、是非行ってみて下さい。お勧めします。眼前に素晴らしい景色が広がっています。,白谷雲水峡,"
〒891-4200 鹿児島県熊毛郡屋久島町宮之浦","
0997-42-3508",http://y-rekumori.com/,"4.7
(1,453)",Unknown,〒891-4200 鹿児島県熊毛郡屋久島町宮之浦,30.3755032,130.4961694
