Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
funjyau neco,4,1 か月前,"巳の日に弁天様へお詣りに。西国分寺駅から武蔵国分寺公園を横切り階段を降りていくと鮮やかな鳥居が目を惹きます。
美しい錦鯉を眺めつつお参り。ちょっと心も体も風邪ひいた感じでしたが、その後武蔵国分寺公園で幸せの青い鳥　笑　カワセミが飛んで来て、こころが回復してきたのは弁天様のおかげですか？",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
funjyau neco,4,1 か月前,"巳の日に弁天様へお詣りに。西国分寺駅から武蔵国分寺公園を横切り階段を降りていくと鮮やかな鳥居が目を惹きます。
美しい錦鯉を眺めつつお参り。ちょっと心も体も風邪ひいた感じでしたが、その後武蔵国分寺公園で幸せの青い鳥　笑　カワセミが飛んで来て、こころが回復してきたのは弁天様のおかげですか？",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
おくまさま,4,3 年前,"国分寺市西元町の真姿の池に祀られています。武蔵国分寺の旧境内地で古くより祀られていたといいます。
真姿の池には絶世の美女と謡われた玉造小町の伝説が残っています。847年（承和14年）に小町が皮膚病に冒され容色を失っていましたが、国分寺を訪れ薬師如来に祈ったところ一人の童子が現われて池の畔に誘い「この池水にて身を洗うべし」と告げました。お告げに従ったところ7日にして元の美しい姿を取り戻したことから、皮膚の病にご利益があると言われています。
ここに上流から流れてくる水は煮沸すれば飲めるそうですが、大丈夫でしょうかね。",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
おくまさま,4,3 年前,"国分寺市西元町の真姿の池に祀られています。武蔵国分寺の旧境内地で古くより祀られていたといいます。
真姿の池には絶世の美女と謡われた玉造小町の伝説が残っています。847年（承和14年）に小町が皮膚病に冒され容色を失っていましたが、国分寺を訪れ薬師如来に祈ったところ一人の童子が現われて池の畔に誘い「この池水にて身を洗うべし」と告げました。お告げに従ったところ7日にして元の美しい姿を取り戻したことから、皮膚の病にご利益があると言われています。
ここに上流から流れてくる水は煮沸すれば飲めるそうですが、大丈夫でしょうかね。",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
梨本貴光,5,4 年前,心が清められると感じるほど、澄んだ水に囲まれた素敵な場所です。歴史も古くよく手入れされている社をみてると、今なお信仰され大切にされていると思います。鳥の囀りや木々のざわめきなど安らぎますよ。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
梨本貴光,5,4 年前,心が清められると感じるほど、澄んだ水に囲まれた素敵な場所です。歴史も古くよく手入れされている社をみてると、今なお信仰され大切にされていると思います。鳥の囀りや木々のざわめきなど安らぎますよ。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
T,1,5 か月前,"【（※注意！）2024年9月2日に、50代男性の声掛け・付きまといがありました】

ひとりで参拝に行く女性は注意してください。
詳細と経緯を記しておきます。

真姿弁財天～お鷹の道休憩所付近で、中年男性の不審な声掛け、付きまといがありました。
すでに管轄の小金井警察署と国分寺市には通報済です。

【日付】：2024年9月2日（夕方17時半ごろ）
【場所】：お鷹の道・真姿弁財天の休憩ベンチ
【男性の特徴】：
・50代くらい
・身長180センチくらい
・普通の身なり（ホームレス風ではない）（背広ではない）
・普通体型
・髪は多い
・顔は濃い目（宇梶剛士 似だが目がギラギラして陰気な雰囲気）
・夕方の時間帯いつもベンチにいた（ほかの時間もいるかも）
・小道をウロついていたことも
・スマホではなくガラケーを持っている
・小声でぼそぼそとしゃべる
・私の通報後は、サングラスをかけてウロついているらしい

【声掛け・付きまといの内容】
↓　↓　↓　↓　↓　↓
「このあたりは落ち着いていいところですよね」（←急に接近してきて隣を歩きつきまとい、周囲に聞こえないくらいの小声でささやいてくる）
「５分くらい時間ない？ 見せたいものがある」
「ここに座って」（←ベンチで、自分の隣に座らせようとする）
「写真に興味ない？ ほら、これ見て」（←自分のガラケーを出して距離をつめようとする）
「ほら、このボタン押してみて」（←自分のガラケーを私にさわらせて、何かの画像を見せようとする）

------------------------------------------------------------------------------------

【経緯】
↓　↓　↓　↓　↓　↓
お鷹の道は多いときで月に３～４回通っていました。時間はだいたい16時代～17時代です。
途中、真姿弁財天に立ち寄りお参りをしていたのですが、隣接する休憩ベンチに、いつもおなじ男性が座っていました。

一度、弁財天でお参りをしていたときに、その男性がベンチを離れ、私が参拝する様子を伺い見に来ていたので、「顔をおぼえられた？」と、気持ち悪く感じていました。

--------------------------------------------------------------------

声掛け・付きまといのあった９月２日は、台風の後で道がぬかるみ、真姿弁財天までの小道は普通に歩ける状態ではなく、プラスチックケースが飛び石のように敷いてありました。

そのため、通常でしたら素早く立ち去れるのですが、その日はゆっくりとしか歩けない足場の悪さで、男性はそのときをねらい、すーっと近づいてきたのです。
足元が不自由で、機敏に動けない状態を計算して接近してきたと思います。
周囲に会話が聞こえないよう、異常に近づいて小声でささやいてきたのが本当に気持ち悪かったです。

隣を歩いてつきまとい、ガラケーを使って距離をつめてくる男性に対し、私は、
「いや、人の携帯さわったら申し訳ないから」と断り、男性のガラケーをさわらず逃げました。

気持ちが悪いので、もうお鷹の道・真姿弁財天には行けません。
ひとりで参拝にくる女性をターゲットにしていることも考えられます。

--------------------------------------------------------------------

#9110でたずねたところ、管轄が小金井警察署ということで、後に通報しておきました。
「正面に野菜を売っている農家さんもあるので、注意喚起していただき、地域のみまもりやパトロールなど強化してください」と、お願いしてあります。
しかし刑事事件ではないため、警察もできることに限界があるでしょう。

不信な声掛け・つきまといの事例として共有したほうがよいと考え、防犯のため、こちらにも投稿しておきます。

変質者・不審者は、災害後など「通常とは違う混乱状態」に乗じて行動を起こすといいます。
それは本当なのだと、身をもって知りました。",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
T,1,5 か月前,"【（※注意！）2024年9月2日に、50代男性の声掛け・付きまといがありました】

ひとりで参拝に行く女性は注意してください。
詳細と経緯を記しておきます。

真姿弁財天～お鷹の道休憩所付近で、中年男性の不審な声掛け、付きまといがありました。
すでに管轄の小金井警察署と国分寺市には通報済です。

【日付】：2024年9月2日（夕方17時半ごろ）
【場所】：お鷹の道・真姿弁財天の休憩ベンチ
【男性の特徴】：
・50代くらい
・身長180センチくらい
・普通の身なり（ホームレス風ではない）（背広ではない）
・普通体型
・髪は多い
・顔は濃い目（宇梶剛士 似だが目がギラギラして陰気な雰囲気）
・夕方の時間帯いつもベンチにいた（ほかの時間もいるかも）
・小道をウロついていたことも
・スマホではなくガラケーを持っている
・小声でぼそぼそとしゃべる
・私の通報後は、サングラスをかけてウロついているらしい

【声掛け・付きまといの内容】
↓　↓　↓　↓　↓　↓
「このあたりは落ち着いていいところですよね」（←急に接近してきて隣を歩きつきまとい、周囲に聞こえないくらいの小声でささやいてくる）
「５分くらい時間ない？ 見せたいものがある」
「ここに座って」（←ベンチで、自分の隣に座らせようとする）
「写真に興味ない？ ほら、これ見て」（←自分のガラケーを出して距離をつめようとする）
「ほら、このボタン押してみて」（←自分のガラケーを私にさわらせて、何かの画像を見せようとする）

------------------------------------------------------------------------------------

【経緯】
↓　↓　↓　↓　↓　↓
お鷹の道は多いときで月に３～４回通っていました。時間はだいたい16時代～17時代です。
途中、真姿弁財天に立ち寄りお参りをしていたのですが、隣接する休憩ベンチに、いつもおなじ男性が座っていました。

一度、弁財天でお参りをしていたときに、その男性がベンチを離れ、私が参拝する様子を伺い見に来ていたので、「顔をおぼえられた？」と、気持ち悪く感じていました。

--------------------------------------------------------------------

声掛け・付きまといのあった９月２日は、台風の後で道がぬかるみ、真姿弁財天までの小道は普通に歩ける状態ではなく、プラスチックケースが飛び石のように敷いてありました。

そのため、通常でしたら素早く立ち去れるのですが、その日はゆっくりとしか歩けない足場の悪さで、男性はそのときをねらい、すーっと近づいてきたのです。
足元が不自由で、機敏に動けない状態を計算して接近してきたと思います。
周囲に会話が聞こえないよう、異常に近づいて小声でささやいてきたのが本当に気持ち悪かったです。

隣を歩いてつきまとい、ガラケーを使って距離をつめてくる男性に対し、私は、
「いや、人の携帯さわったら申し訳ないから」と断り、男性のガラケーをさわらず逃げました。

気持ちが悪いので、もうお鷹の道・真姿弁財天には行けません。
ひとりで参拝にくる女性をターゲットにしていることも考えられます。

--------------------------------------------------------------------

#9110でたずねたところ、管轄が小金井警察署ということで、後に通報しておきました。
「正面に野菜を売っている農家さんもあるので、注意喚起していただき、地域のみまもりやパトロールなど強化してください」と、お願いしてあります。
しかし刑事事件ではないため、警察もできることに限界があるでしょう。

不信な声掛け・つきまといの事例として共有したほうがよいと考え、防犯のため、こちらにも投稿しておきます。

変質者・不審者は、災害後など「通常とは違う混乱状態」に乗じて行動を起こすといいます。
それは本当なのだと、身をもって知りました。",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
俊毅安村,5,5 か月前,水の音が涼しげな中に立っております。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
俊毅安村,5,5 か月前,水の音が涼しげな中に立っております。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
玉井鉄,5,1 年前,透き通った池に鯉がいます。池の真ん中に祠があり、金運のパワースポットにもなっています。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
玉井鉄,5,1 年前,透き通った池に鯉がいます。池の真ん中に祠があり、金運のパワースポットにもなっています。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
高橋悟,4,2 年前,とても気持ちの良い場所です。可能であれば、早朝に訪れる事をオススメします。いい癒しになりますよ。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
高橋悟,4,2 年前,とても気持ちの良い場所です。可能であれば、早朝に訪れる事をオススメします。いい癒しになりますよ。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
熊野きよしろう,3,3 年前,湧水池の中にある御堂です。水場には辯天様を祀るのですね。滝があるところにはお不動様とか。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
熊野きよしろう,3,3 年前,湧水池の中にある御堂です。水場には辯天様を祀るのですね。滝があるところにはお不動様とか。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
kazu kom,4,2 年前,綺麗な水に囲まれた小さなお堂です。静かで心地よい気持ちになる場所です。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
kazu kom,4,2 年前,綺麗な水に囲まれた小さなお堂です。静かで心地よい気持ちになる場所です。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
エドタロウ,5,1 年前,"真姿の池は、国分寺崖線の数ある湧水の一つで、小さな池の中央に弁天様を祀る祠があり、お詣り出来るようになっています。清浄感溢れる池です。
弁財天は、元々は、インドの聖なる川の神様と言われています。また、弁天様のお姿は多くの場合、楽器の琵琶を持つ姿で表現されており、歌舞音曲を司る神様として芸能関係者に深く信仰されています。ご本尊様のご開帳は、１２年に一回と聞いています。
真姿の池の謂れは、平安時代に絶世の美女、玉造小町が重い皮膚病を患った際、この池の水で身を清めたところ、元の姿（真の姿）に戻ったので、それからは「真姿の池」と呼ばれるようになったそうです。
心のけがれた人は、この池の水で身を清めてもらい、元の無垢の姿に戻ってもらいたいものです。",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
エドタロウ,5,1 年前,"真姿の池は、国分寺崖線の数ある湧水の一つで、小さな池の中央に弁天様を祀る祠があり、お詣り出来るようになっています。清浄感溢れる池です。
弁財天は、元々は、インドの聖なる川の神様と言われています。また、弁天様のお姿は多くの場合、楽器の琵琶を持つ姿で表現されており、歌舞音曲を司る神様として芸能関係者に深く信仰されています。ご本尊様のご開帳は、１２年に一回と聞いています。
真姿の池の謂れは、平安時代に絶世の美女、玉造小町が重い皮膚病を患った際、この池の水で身を清めたところ、元の姿（真の姿）に戻ったので、それからは「真姿の池」と呼ばれるようになったそうです。
心のけがれた人は、この池の水で身を清めてもらい、元の無垢の姿に戻ってもらいたいものです。",真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
のモク愛煙家,5,2 か月前,何故か？水辺に鎮座していることの多い弁天様です。,真姿弁財天,"
〒185-0023 東京都国分寺市西元町１丁目１３−２",Unknown,Unknown,"4.2
(24)",お店やスポットの電話番号を追加する,史跡,35.6941249,139.4739363
