Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Inter Pol (Totsuan),4,2 か月前,2025.2.2　夏は良い感じなんだろうな〜,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
Inter Pol (Totsuan),4,2 か月前,2025.2.2　夏は良い感じなんだろうな〜,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
小林謙一,2,2 年前,鳴砂と聞いて行きましたが全く鳴かず残念でした。きれいな浜辺ですよ。,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
小林謙一,2,2 年前,鳴砂と聞いて行きましたが全く鳴かず残念でした。きれいな浜辺ですよ。,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
Roi NEW,3,2 年前,身内の故郷で昔から毎年行ってますが、数年前からサーフィン客が来るようになり一般の子供連れ客が減り海の運営が苦しくて海水浴場ではなくなりました。過去は浜辺にシイソウやブランコなどが有り、グラビア撮影などが来るような素敵な浜辺でした。村の過疎化も原因であります。残念,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
Roi NEW,3,2 年前,身内の故郷で昔から毎年行ってますが、数年前からサーフィン客が来るようになり一般の子供連れ客が減り海の運営が苦しくて海水浴場ではなくなりました。過去は浜辺にシイソウやブランコなどが有り、グラビア撮影などが来るような素敵な浜辺でした。村の過疎化も原因であります。残念,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
hideki “HARUNANAとうちゃん” dan,4,1 年前,綺麗なビーチでした!鳴き砂で綺麗な砂浜でゴミもあまり無く皆様のお陰で保たれていました,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
hideki “HARUNANAとうちゃん” dan,4,1 年前,綺麗なビーチでした!鳴き砂で綺麗な砂浜でゴミもあまり無く皆様のお陰で保たれていました,石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
HISASHI《ヒサシ》,5,4 年前,"20年前、倉吉にお盆帰省で子供の頃に親に連れていかれて毎年のように海水浴を楽しんでいました。
海の家も大きくて、かき氷や焼きそばが美味しかった記憶があります。
今は閉鎖されていて寂しい限りです。",石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
HISASHI《ヒサシ》,5,4 年前,"20年前、倉吉にお盆帰省で子供の頃に親に連れていかれて毎年のように海水浴を楽しんでいました。
海の家も大きくて、かき氷や焼きそばが美味しかった記憶があります。
今は閉鎖されていて寂しい限りです。",石脇海岸,"
鳥取県",Unknown,http://www.yurihama.jp/kankou/kaisuiyoku.html,"3.7
(27)",Unknown,浜,35.5184288,133.954451
