Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
myu,4,5 か月前,"碓氷峠への道路がやっと全線開通と聞いてしばらくぶりにめがね橋へ
すぐ近くの駐車場に車を置いて
めがね橋すぐ横から120段くらいの階段を上り橋の上へ そこから
熊ノ平までの1.2kmを往復歩いてきました
道は平らで歩きやすく 幅広い年齢層の方々が紅葉を楽しみながら歩いていました
ボランティアガイドの方もいらして
親切に説明してくださいました",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
myu,4,5 か月前,"碓氷峠への道路がやっと全線開通と聞いてしばらくぶりにめがね橋へ
すぐ近くの駐車場に車を置いて
めがね橋すぐ横から120段くらいの階段を上り橋の上へ そこから
熊ノ平までの1.2kmを往復歩いてきました
道は平らで歩きやすく 幅広い年齢層の方々が紅葉を楽しみながら歩いていました
ボランティアガイドの方もいらして
親切に説明してくださいました",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
"K,ou.",4,3 か月前,"頭文字Dの聖地だそうで人気が高い峠
国道18号、国道ともあって道幅もありカーブもあり気持ちよく走れます
ただ、治安は今ひとつかな
走りや気取りが多くセンターラインを普通に割ってくるし大した腕も無い輩が速度出し過ぎでのオーバーランで対向車線にでてしまったり下手っピーがいます

ドライブ、観光で楽しい気持ちで来ている方、どうかご安全に走ってください
事故だけは本当にしないで下さいね！",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
"K,ou.",4,3 か月前,"頭文字Dの聖地だそうで人気が高い峠
国道18号、国道ともあって道幅もありカーブもあり気持ちよく走れます
ただ、治安は今ひとつかな
走りや気取りが多くセンターラインを普通に割ってくるし大した腕も無い輩が速度出し過ぎでのオーバーランで対向車線にでてしまったり下手っピーがいます

ドライブ、観光で楽しい気持ちで来ている方、どうかご安全に走ってください
事故だけは本当にしないで下さいね！",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
World Hiro,5,11 か月前,自転車で日本一周中に群馬→軽井沢ルートで登りました。イニシャルDの舞台として有名な峠道。全長11kmでカーブ標識が184つとたくさん出てくる。そのため車が多いので走行には気をつける。途中碓氷湖や眼鏡橋などの観光スポットが出てくるのでそういうところに寄ってみる楽しみもある。,碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
World Hiro,5,11 か月前,自転車で日本一周中に群馬→軽井沢ルートで登りました。イニシャルDの舞台として有名な峠道。全長11kmでカーブ標識が184つとたくさん出てくる。そのため車が多いので走行には気をつける。途中碓氷湖や眼鏡橋などの観光スポットが出てくるのでそういうところに寄ってみる楽しみもある。,碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
TON,5,8 か月前,"近くを幾度となく走ってはいたものの旧道！？は機会がなかったのですが、めがね橋を見るのに入口を少しだけ車で走ってみました。

アニメで有名(少しだけ見ました)な峠なのでガードレールなどはガタガタ！なのではと恐る恐る走らせましたが、思いのほか舗装もしっかりされた広めの道だったので安心して走ることが出来ました(笑)

きっとめがね橋の先が本格的な峠なのでしょうが、それはまたの機会に期待しておこうと思います",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
TON,5,8 か月前,"近くを幾度となく走ってはいたものの旧道！？は機会がなかったのですが、めがね橋を見るのに入口を少しだけ車で走ってみました。

アニメで有名(少しだけ見ました)な峠なのでガードレールなどはガタガタ！なのではと恐る恐る走らせましたが、思いのほか舗装もしっかりされた広めの道だったので安心して走ることが出来ました(笑)

きっとめがね橋の先が本格的な峠なのでしょうが、それはまたの機会に期待しておこうと思います",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
Louis Garneau,4,11 か月前,"長野群馬の県境にある峠。

道中のメガネ橋、廃隧道などが印象的でした。

道は斜度も緩やかで、やや荒れているけどわりかし走り易い峠道でした。

カーブが多くセンターラインを越えて走る車やバイクがかなり多めなので徒歩、自転車で行く方は注意が必要です。",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
Louis Garneau,4,11 か月前,"長野群馬の県境にある峠。

道中のメガネ橋、廃隧道などが印象的でした。

道は斜度も緩やかで、やや荒れているけどわりかし走り易い峠道でした。

カーブが多くセンターラインを越えて走る車やバイクがかなり多めなので徒歩、自転車で行く方は注意が必要です。",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
Ryosuke Shimizu,3,6 か月前,"日本の峠の中でも歴史的、地質学的に興味深い峠のひとつです。
かつてこの場所は海だったそうな。それから火山活動で溶岩が平地を造った後に群馬側は侵食され崖になったみたいです。そのため峠といっても尾根の頂上みたいな形状ではなく、軽井沢側は台地のようなテーブル状の地形になっています。
また分水嶺にもなっていて群馬側に降った雨は利根川に、長野側に降った雨は信濃川に注いでいます。
また交通の要衝でもあります。平安時代には初めて関所が置かれ、江戸時代には中山道の重要な碓氷関が松井田宿の近くに置かれたりもしました。
明治時代には鉄道が敷かれることになりましたが急勾配で地形上の制限があるためアプト式で峠を越えさせるという手法が選ばれました。
現代では軽井沢という避暑地と安中の観光地の境としてひっそりとしていますが調べれば数え切れない程の歴史がある場所です。
夏に車を停めているとアカウシアブの群れが襲ってくることがあるので気をつけてください。",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
Ryosuke Shimizu,3,6 か月前,"日本の峠の中でも歴史的、地質学的に興味深い峠のひとつです。
かつてこの場所は海だったそうな。それから火山活動で溶岩が平地を造った後に群馬側は侵食され崖になったみたいです。そのため峠といっても尾根の頂上みたいな形状ではなく、軽井沢側は台地のようなテーブル状の地形になっています。
また分水嶺にもなっていて群馬側に降った雨は利根川に、長野側に降った雨は信濃川に注いでいます。
また交通の要衝でもあります。平安時代には初めて関所が置かれ、江戸時代には中山道の重要な碓氷関が松井田宿の近くに置かれたりもしました。
明治時代には鉄道が敷かれることになりましたが急勾配で地形上の制限があるためアプト式で峠を越えさせるという手法が選ばれました。
現代では軽井沢という避暑地と安中の観光地の境としてひっそりとしていますが調べれば数え切れない程の歴史がある場所です。
夏に車を停めているとアカウシアブの群れが襲ってくることがあるので気をつけてください。",碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
義邦西村,5,8 か月前,カーブの連続でバイク🛵で走るには楽しめる。鉄道遺産もあり見所いっぱい。 …,碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
義邦西村,5,8 か月前,カーブの連続でバイク🛵で走るには楽しめる。鉄道遺産もあり見所いっぱい。 …,碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
太田類,4,10 か月前,イニシャルDの聖地を走ってみたくて、旅の、帰りに寄りました。軽井沢から国道18号線を進むと行けます。カ―ブには一つ一つ番号が付いていて、182ものカ―ブがあります。碓氷峠は路面に木の枝が落ち過ぎで、危ない！カ―ブと勾配より、こっちが気になります。群馬県さん、道路掃除よろしくです,碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
太田類,4,10 か月前,イニシャルDの聖地を走ってみたくて、旅の、帰りに寄りました。軽井沢から国道18号線を進むと行けます。カ―ブには一つ一つ番号が付いていて、182ものカ―ブがあります。碓氷峠は路面に木の枝が落ち過ぎで、危ない！カ―ブと勾配より、こっちが気になります。群馬県さん、道路掃除よろしくです,碓氷峠,"
〒379-0307 群馬県安中市松井田町坂本",Unknown,Unknown,"4.5
(126)",Unknown,峠,36.3447051,138.6509839
