Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
tkm,4,3 か月前,とてもコスパが高いと思います。メニューが豊富で酒の肴からもちろん握りまで、楽しめます。サクッとでもゆっくりでも使い勝手の良いお店です。,磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
tkm,4,3 か月前,とてもコスパが高いと思います。メニューが豊富で酒の肴からもちろん握りまで、楽しめます。サクッとでもゆっくりでも使い勝手の良いお店です。,磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
木村右近,5,4 か月前,"何を頼んでも最高に美味しいです！👏
接客も素晴らしく、終始笑顔で食事ができます！😁
ボーナスや何かの節目の時には是非行ってみてください！
中野から徒歩1分で行きやすいですし、23時ギリギリまでしっかりと営業してくれているので、飲んだ後にも行ける場所です！
大切な人と是非一緒に訪れてみてください！",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
木村右近,5,4 か月前,"何を頼んでも最高に美味しいです！👏
接客も素晴らしく、終始笑顔で食事ができます！😁
ボーナスや何かの節目の時には是非行ってみてください！
中野から徒歩1分で行きやすいですし、23時ギリギリまでしっかりと営業してくれているので、飲んだ後にも行ける場所です！
大切な人と是非一緒に訪れてみてください！",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
パパりったん,5,5 か月前,"おまかせコース9,000円を注文しました。めちゃくちゃ満足度が高かったです。中野だから9,000円という価格で、都心なら1.5-2万円近い取られるクオリティです。マジでオススメです。",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
パパりったん,5,5 か月前,"おまかせコース9,000円を注文しました。めちゃくちゃ満足度が高かったです。中野だから9,000円という価格で、都心なら1.5-2万円近い取られるクオリティです。マジでオススメです。",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
もぐら,5,1 年前,"味よし、雰囲気よし、値段よしです。
あと、大将が良いです。
どんな方でも好きになるお奨めの鮨屋です。",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
もぐら,5,1 年前,"味よし、雰囲気よし、値段よしです。
あと、大将が良いです。
どんな方でも好きになるお奨めの鮨屋です。",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
Fumi,5,1 年前,"友人とお邪魔しました。

帆立の磯部焼き
白エビの唐揚げ
カツオのたたきポン酢
おまかせお寿司

全てほんとにとっても美味しかったです！！

生ビールと日本酒もいただきました。
お店の雰囲気も素敵ですし、心地の良いサービスとステキなおもてなしで大満足のディナーでした。

また行きたいです！！",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
Fumi,5,1 年前,"友人とお邪魔しました。

帆立の磯部焼き
白エビの唐揚げ
カツオのたたきポン酢
おまかせお寿司

全てほんとにとっても美味しかったです！！

生ビールと日本酒もいただきました。
お店の雰囲気も素敵ですし、心地の良いサービスとステキなおもてなしで大満足のディナーでした。

また行きたいです！！",磯,"
〒164-0001 東京都中野区中野５丁目６２−８","
03-3389-3345",Unknown,"4.7
(35)",ウェブサイトを追加してください,〒164-0001 東京都中野区中野５丁目６２−８,35.7066631,139.5138847
