Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Teruo Murakawa,5,4 日前,"広島からここまで、山陽道〜瀬戸自動車道〜瀬戸大橋〜高松自動車道〜徳島自動車道〜と走ってきたが、かなり遠かった。
カーナビをここを目的地に設定したが、何故か別の所に到着。
おかしいと気付いてスマホのGoogle Mapで検索してみたら、全然違っていた。
約１時間のロスタイムが発生したが、予定より遅れたが、到着することが出来た。
現地到着まで色々あったが、念願のかずら橋に来れて良かった。
また、今日は最高のドライブ日和のお天気で、それも良かった。
かずら橋を実際に渡ると、結構揺れ、更に敷板に隙間があるので、下をみると迫力があって楽しかった。
高所恐怖症の方は、渡るのは遠慮した方が良いかも…",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
Teruo Murakawa,5,4 日前,"広島からここまで、山陽道〜瀬戸自動車道〜瀬戸大橋〜高松自動車道〜徳島自動車道〜と走ってきたが、かなり遠かった。
カーナビをここを目的地に設定したが、何故か別の所に到着。
おかしいと気付いてスマホのGoogle Mapで検索してみたら、全然違っていた。
約１時間のロスタイムが発生したが、予定より遅れたが、到着することが出来た。
現地到着まで色々あったが、念願のかずら橋に来れて良かった。
また、今日は最高のドライブ日和のお天気で、それも良かった。
かずら橋を実際に渡ると、結構揺れ、更に敷板に隙間があるので、下をみると迫力があって楽しかった。
高所恐怖症の方は、渡るのは遠慮した方が良いかも…",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
sgn麺太,5,1 週間前,"20250412
昨年、四国に行った際に伺え無かった、祖谷のかずら橋を見学。道中、大歩危小歩危と絶景を通るドライブは最高。かずら橋まではさほど極端に狭い道はありません。駐車場は、かずら橋の上にある、かずら橋夢舞台の駐車場もしくは、前の別の駐車場です。駐車場からかずら橋までは夢舞台を通り徒歩で10分以内。行きは下り、帰りは登りになります。夢舞台から橋まで、川魚の炭焼きや団子等を売っている店が3店ほどあります。橋は入り口前で料金を支払い渡ります。渡る入り口には係員さんが居ます。記念撮影をお願いしてみました。気持ちよく受けてくれます。橋を渡った後は、橋の下の川に降りて下からのかずら橋も見れます。とにかく水の色、透明度は感動します。
まだ伺います。",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
sgn麺太,5,1 週間前,"20250412
昨年、四国に行った際に伺え無かった、祖谷のかずら橋を見学。道中、大歩危小歩危と絶景を通るドライブは最高。かずら橋まではさほど極端に狭い道はありません。駐車場は、かずら橋の上にある、かずら橋夢舞台の駐車場もしくは、前の別の駐車場です。駐車場からかずら橋までは夢舞台を通り徒歩で10分以内。行きは下り、帰りは登りになります。夢舞台から橋まで、川魚の炭焼きや団子等を売っている店が3店ほどあります。橋は入り口前で料金を支払い渡ります。渡る入り口には係員さんが居ます。記念撮影をお願いしてみました。気持ちよく受けてくれます。橋を渡った後は、橋の下の川に降りて下からのかずら橋も見れます。とにかく水の色、透明度は感動します。
まだ伺います。",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
ai ko,5,3 週間前,"徳島に行ったら必ず行きたいと思っていた祖谷のかずら橋ようやく行けました。
天気も良く気持ちの良い気候でしたが、
朝早きして向かったためほとんど人がいない状態でゆっくり景色を眺めながら渡れました。
近くには軽く休憩できる喫茶などもあり
人が少ないときはゆっくり過ごすのがおすすめです。",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
ai ko,5,3 週間前,"徳島に行ったら必ず行きたいと思っていた祖谷のかずら橋ようやく行けました。
天気も良く気持ちの良い気候でしたが、
朝早きして向かったためほとんど人がいない状態でゆっくり景色を眺めながら渡れました。
近くには軽く休憩できる喫茶などもあり
人が少ないときはゆっくり過ごすのがおすすめです。",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
Tamaki N．,5,2 週間前,"20250401
漆原友紀さんの蟲師のファンです。
４巻１３話に登場する「一夜橋」
モデルが日本三奇橋のひとつ
徳島県三好市の「祖谷のかずら橋」だと
知ってから
いつか必ず行きたいと思っていました。

何の下調べもせず
ただただナビに従って出かけ
大歩危小歩危にあるのだと分かり
もっと時間の余裕を持って
来ればよかったと大後悔💦

それにしても
「かずら橋」
舐めてました⋯🌉

シラクチカズラ(サルナシ)で
作られた吊り橋は
足元の隙間が大きく川面が見えます。
水面から１４ｍ

こ⋯怖い⋯
笑うしかないくらい⋯怖い
久々に足がすくみました。

写真も撮りたい
怖くて⋯手が離せない
45m⋯時間をかけて渡り切りました。

橋の下には
四国を横断する三波川帯の
緑質片岩が広がり
川はエメラルドグリーンに輝きます✨️

それを見る余裕はなく⋯
橋を渡りきってから
ゆっくり眺めました。

いやぁ良い景色
ずーっと見ていたい
かなり癒やされました。

橋のたもとにあるお店で
祖谷そば🍜アメゴ🐟️みたらし団子🍡

心もお腹も満たされました💕",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
Tamaki N．,5,2 週間前,"20250401
漆原友紀さんの蟲師のファンです。
４巻１３話に登場する「一夜橋」
モデルが日本三奇橋のひとつ
徳島県三好市の「祖谷のかずら橋」だと
知ってから
いつか必ず行きたいと思っていました。

何の下調べもせず
ただただナビに従って出かけ
大歩危小歩危にあるのだと分かり
もっと時間の余裕を持って
来ればよかったと大後悔💦

それにしても
「かずら橋」
舐めてました⋯🌉

シラクチカズラ(サルナシ)で
作られた吊り橋は
足元の隙間が大きく川面が見えます。
水面から１４ｍ

こ⋯怖い⋯
笑うしかないくらい⋯怖い
久々に足がすくみました。

写真も撮りたい
怖くて⋯手が離せない
45m⋯時間をかけて渡り切りました。

橋の下には
四国を横断する三波川帯の
緑質片岩が広がり
川はエメラルドグリーンに輝きます✨️

それを見る余裕はなく⋯
橋を渡りきってから
ゆっくり眺めました。

いやぁ良い景色
ずーっと見ていたい
かなり癒やされました。

橋のたもとにあるお店で
祖谷そば🍜アメゴ🐟️みたらし団子🍡

心もお腹も満たされました💕",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
ごっしんさん,5,1 か月前,"20年ぶりに訪問しました。
外国の方が多いとは聞いていましたが、本当に多くいらっしゃいました。
通行料が550円で20年前とあまり変わってないかな？通行する時はあまり下を見ない方が良いでしょうね!
滝は近づくとヒンヤリして気持ち良かったです。帰りに土産物売り場で色々買ってしまいました。",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
ごっしんさん,5,1 か月前,"20年ぶりに訪問しました。
外国の方が多いとは聞いていましたが、本当に多くいらっしゃいました。
通行料が550円で20年前とあまり変わってないかな？通行する時はあまり下を見ない方が良いでしょうね!
滝は近づくとヒンヤリして気持ち良かったです。帰りに土産物売り場で色々買ってしまいました。",祖谷のかずら橋,"
〒778-0102 徳島県三好市西祖谷山村善徳１６２−２","
0883-76-0877",https://miyoshi-tourism.jp/spot/46/,"4.3
(2,538)",Unknown,〒778-0102 徳島県三好市西祖谷山村善徳１６２−２,33.8751331,133.8353996
