Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ただのドラゴンズファンだよ,5,4 週間前,今のシーズンは野焼きをしており、黄色系統の大高原が広がり、見応え抜群です！遊歩道が多く整備されているので、今のシーズンはこの大高原を間近で堪能することが出来ます！,秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
ただのドラゴンズファンだよ,5,4 週間前,今のシーズンは野焼きをしており、黄色系統の大高原が広がり、見応え抜群です！遊歩道が多く整備されているので、今のシーズンはこの大高原を間近で堪能することが出来ます！,秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
まにまに,5,3 か月前,"日本で一番広いカルスト大地で有名な秋吉台にハイキングに行って来ました！
午前10時くらいの到着でしたが、駐車場も空が目立っており、混雑時はしていませんでした。

今回は約1時間くらいで剣山、若竹山などを経由して歩きましたが、勾配も緩やかで、子供連れもよく見かけるほどとても歩きやすい道でした。

その後は日本で2番目の大きさの秋芳洞にも初めて入洞しました。
今回は黒谷支洞から入洞しました！
ここ、車が少なく、駐車場も無料で、けっこう穴場で人が少なくおすすめです。
人生初めての洞窟探検、自分が生きている地上がちっぽけに見えるほど地球の長い歴史が作り出した地形に感動できました！
もう一度じっくり訪れたい場所です。",秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
まにまに,5,3 か月前,"日本で一番広いカルスト大地で有名な秋吉台にハイキングに行って来ました！
午前10時くらいの到着でしたが、駐車場も空が目立っており、混雑時はしていませんでした。

今回は約1時間くらいで剣山、若竹山などを経由して歩きましたが、勾配も緩やかで、子供連れもよく見かけるほどとても歩きやすい道でした。

その後は日本で2番目の大きさの秋芳洞にも初めて入洞しました。
今回は黒谷支洞から入洞しました！
ここ、車が少なく、駐車場も無料で、けっこう穴場で人が少なくおすすめです。
人生初めての洞窟探検、自分が生きている地上がちっぽけに見えるほど地球の長い歴史が作り出した地形に感動できました！
もう一度じっくり訪れたい場所です。",秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
はやぶささくら,5,5 か月前,"山口県美祢市の秋吉台にも行きました。

秋吉台国定公園の地下100m、その南麓に開口する日本屈指の秋芳洞と呼ばれる大鍾乳洞を見学しました。
ひんやりと肌をさす冷気漂う杉木立を通り抜け、洞内の観光コースは約1kmあります。
洞窟の総延長は11.2kmを超え、国内第2位の長さを誇る模様です。
温度は年中17度で一定しており、夏は涼しく、冬は温かく、快適に観光できるのが魅力ですね。
洞内には百枚皿や黄金柱等、見所満載です。
時間が凍結したような不思議な自然の造形の数々は変化に富み、大きな感動を呼び起こさせてくれますね。

また秋吉台のカルスト台地を一望できるドーナツ型のユニークな展望台も見学しました。
2階の展望部は回遊式になっていて、広大な草原の眺めを360度のパノラマで楽しめます。
秋吉台は日本最大級のカルスト台地で、国の特別天然記念物に指定されています。
雄大な景観を作っている石灰岩は、およそ3億5千万年前に南方の海でサンゴ礁として誕生し、それから長い月日を経て、現在のようなカルスト台地を形成しました。
大自然が造り出した神秘的な光景を目の当たりにしながらの観光は幻想的ですね。
夜には満天の星空が輝くようで、山口観光のハイライトでもあるでしょう。",秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
はやぶささくら,5,5 か月前,"山口県美祢市の秋吉台にも行きました。

秋吉台国定公園の地下100m、その南麓に開口する日本屈指の秋芳洞と呼ばれる大鍾乳洞を見学しました。
ひんやりと肌をさす冷気漂う杉木立を通り抜け、洞内の観光コースは約1kmあります。
洞窟の総延長は11.2kmを超え、国内第2位の長さを誇る模様です。
温度は年中17度で一定しており、夏は涼しく、冬は温かく、快適に観光できるのが魅力ですね。
洞内には百枚皿や黄金柱等、見所満載です。
時間が凍結したような不思議な自然の造形の数々は変化に富み、大きな感動を呼び起こさせてくれますね。

また秋吉台のカルスト台地を一望できるドーナツ型のユニークな展望台も見学しました。
2階の展望部は回遊式になっていて、広大な草原の眺めを360度のパノラマで楽しめます。
秋吉台は日本最大級のカルスト台地で、国の特別天然記念物に指定されています。
雄大な景観を作っている石灰岩は、およそ3億5千万年前に南方の海でサンゴ礁として誕生し、それから長い月日を経て、現在のようなカルスト台地を形成しました。
大自然が造り出した神秘的な光景を目の当たりにしながらの観光は幻想的ですね。
夜には満天の星空が輝くようで、山口観光のハイライトでもあるでしょう。",秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
国弘忠雄,4,3 週間前,2024.２月１８日の、山焼きに、行きました！　2024.2/18は、天候が、良く、乾燥して、適度な、西風も有ったので、燃え上がり🔥ました！！　例年、開催予定日が、天候の悪化等で、延伸するこが、多かった⁉　この年は、予定通り、台上の、駐車場🅿は、７時半にば、ほぼ満車🈵　９時半に、秋吉小学校の、太鼓演奏と、ノロシを合図に、草に点火された🔥🔥　ボランティアで、草刈り作業して下さった、方々、お疲れ様でした✨　2025年の山焼き、２／１６は、降雨の為、延期となりました!!　予備日は、2/22.23でしたが、強風・降雪で中止　2/24日も中止 　大雪が降っているので、直近は無理　３／１火入れしたが、燃えないので、延期になりました！？　２０２５年は、中止となりました😞　2025.2/5日雪の秋吉台等を撮影しました😊　撮影には、不向きな、曇りでしたが、２枚追加投稿します☺　2/22降雪の、秋吉台を撮影しましたので、追加投稿します🙇,秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
国弘忠雄,4,3 週間前,2024.２月１８日の、山焼きに、行きました！　2024.2/18は、天候が、良く、乾燥して、適度な、西風も有ったので、燃え上がり🔥ました！！　例年、開催予定日が、天候の悪化等で、延伸するこが、多かった⁉　この年は、予定通り、台上の、駐車場🅿は、７時半にば、ほぼ満車🈵　９時半に、秋吉小学校の、太鼓演奏と、ノロシを合図に、草に点火された🔥🔥　ボランティアで、草刈り作業して下さった、方々、お疲れ様でした✨　2025年の山焼き、２／１６は、降雨の為、延期となりました!!　予備日は、2/22.23でしたが、強風・降雪で中止　2/24日も中止 　大雪が降っているので、直近は無理　３／１火入れしたが、燃えないので、延期になりました！？　２０２５年は、中止となりました😞　2025.2/5日雪の秋吉台等を撮影しました😊　撮影には、不向きな、曇りでしたが、２枚追加投稿します☺　2/22降雪の、秋吉台を撮影しましたので、追加投稿します🙇,秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
Takamichi Okazaki,5,5 か月前,"山口県美祢市美東町赤にある、
''秋吉台国定公園''様

今回の広島への目的はデビューから大ファンの😍
miletちゃん''milet live tour stairs 2024''
ラスト熊本、福岡、広島3Days参戦する為🤩🤘✨

リアルファイナルおかわり広島Liveは明日なので
本日はmiletちゃん聖地巡礼を😍

miletちゃん公式ファンクラブ miles の聖地
miletちゃんのEP『Anytime Anywhere』
アニメ「葬送のフリーレン」エンディングテーマ

『Anytime Anywhere』のMV撮影地😊
秋吉台国定公園様

長州苑から秋吉台国定公園様へ😊

撮影箇所はかなり上に登った奥の方にあります😊
（正直わかりづらいです）

撮影場所でmiletちゃんごっこはクリア🆑🤣
🇹🇼＆🇯🇵7miles全員で撮影ごっこを😋

素晴らしいロケーションでヤバイです😊
雨がポツポツ降ってましたが到着したら晴れて🌤️
自然が織りなす幻想的な景色を体感出来ました🤩

撮影場所までは徐々にハードになりかなり過酷😱
私は運動が大嫌いなんでマジで死ぬほど辛かった😇

ですが、
迫力があってリアルに自然を体感出来る素晴らしい
国定公園です😍
体力はかなり使いましてラストはかなり過酷😋
是非一度でいいから体験して欲しいです😊

⬇️概要（抜粋）

山口県中西部に位置する日本最大規模のカルスト地形である秋吉台。 標高300ｍ前後の緩やかな台地上面は急崖と、麓に広がる平野に囲まれています。 そんな秋吉台のはじまりは南方の遠く温かい海で、サンゴ礁として誕生しました。そう、もともとは秋吉台は海だったのです。 サンゴ礁は時間が経つと石灰岩という岩になります。サンゴ礁が出来ては石灰岩になり、それを繰り返します。 それから約3億5千万年という長い年月を経て、海から山へ堆積しながら移動した石灰岩の厚みは、500ｍ～1,000m。 そこに雨水が流れ、長い時間を掛けて石灰岩が溶け、今の地形になりました。
人類の歴史よりも遥かに長い年月をかけて出来上がった秋吉台の美しさは大自然の芸術作品なのです。",秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
Takamichi Okazaki,5,5 か月前,"山口県美祢市美東町赤にある、
''秋吉台国定公園''様

今回の広島への目的はデビューから大ファンの😍
miletちゃん''milet live tour stairs 2024''
ラスト熊本、福岡、広島3Days参戦する為🤩🤘✨

リアルファイナルおかわり広島Liveは明日なので
本日はmiletちゃん聖地巡礼を😍

miletちゃん公式ファンクラブ miles の聖地
miletちゃんのEP『Anytime Anywhere』
アニメ「葬送のフリーレン」エンディングテーマ

『Anytime Anywhere』のMV撮影地😊
秋吉台国定公園様

長州苑から秋吉台国定公園様へ😊

撮影箇所はかなり上に登った奥の方にあります😊
（正直わかりづらいです）

撮影場所でmiletちゃんごっこはクリア🆑🤣
🇹🇼＆🇯🇵7miles全員で撮影ごっこを😋

素晴らしいロケーションでヤバイです😊
雨がポツポツ降ってましたが到着したら晴れて🌤️
自然が織りなす幻想的な景色を体感出来ました🤩

撮影場所までは徐々にハードになりかなり過酷😱
私は運動が大嫌いなんでマジで死ぬほど辛かった😇

ですが、
迫力があってリアルに自然を体感出来る素晴らしい
国定公園です😍
体力はかなり使いましてラストはかなり過酷😋
是非一度でいいから体験して欲しいです😊

⬇️概要（抜粋）

山口県中西部に位置する日本最大規模のカルスト地形である秋吉台。 標高300ｍ前後の緩やかな台地上面は急崖と、麓に広がる平野に囲まれています。 そんな秋吉台のはじまりは南方の遠く温かい海で、サンゴ礁として誕生しました。そう、もともとは秋吉台は海だったのです。 サンゴ礁は時間が経つと石灰岩という岩になります。サンゴ礁が出来ては石灰岩になり、それを繰り返します。 それから約3億5千万年という長い年月を経て、海から山へ堆積しながら移動した石灰岩の厚みは、500ｍ～1,000m。 そこに雨水が流れ、長い時間を掛けて石灰岩が溶け、今の地形になりました。
人類の歴史よりも遥かに長い年月をかけて出来上がった秋吉台の美しさは大自然の芸術作品なのです。",秋吉台国定公園,"
〒754-0602 山口県美祢市","
0837-62-0305",Unknown,"4.3
(2,318)",ウェブサイトを追加してください,〒754-0602 山口県美祢市,34.2406149,131.3050353
