Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
塚本美鶴,5,5 か月前,"テレビ．新聞他でも有名な「称名滝」
富山県民ながら初めて訪れました😅紅葉を眺めながら車の駐車場からゴールの称名滝までは楽と聞いていたのに…意外にきつかった😓ようやくゴールして下から見上げる滝はさすがに日本一の落差を誇る「称名滝」圧巻でした。滝の水しぶきは今の季節には少しばかり冷たい洗礼でしたが～次回は暑い夏にミストを浴びに再び訪れたい‼️途中、お猿にお出迎えされたり立山連峰の雄大な景色を間近で見られたり自然いっぱいでパワー充電出来る素晴らしいスポットです‼️",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
塚本美鶴,5,5 か月前,"テレビ．新聞他でも有名な「称名滝」
富山県民ながら初めて訪れました😅紅葉を眺めながら車の駐車場からゴールの称名滝までは楽と聞いていたのに…意外にきつかった😓ようやくゴールして下から見上げる滝はさすがに日本一の落差を誇る「称名滝」圧巻でした。滝の水しぶきは今の季節には少しばかり冷たい洗礼でしたが～次回は暑い夏にミストを浴びに再び訪れたい‼️途中、お猿にお出迎えされたり立山連峰の雄大な景色を間近で見られたり自然いっぱいでパワー充電出来る素晴らしいスポットです‼️",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
THE BECCHI,5,6 か月前,"10月の三連休最終日、桂台ゲートを7時頃に通過する予定で行きました。駐車場に到着したのが7時10分頃。すでに第一駐車場は満車、第二駐車場も8割埋まっていました。大日岳への登山者が多く占めていたようです。紅葉はまだ。随分寒くなっているので、紅葉が進むとあっという間の感じがします。
遊歩道は、当たり前ながら行きは緩やかな上りです。帰りは緩やかな下り坂。最近電動カートで進むことができるようにもなったようで最終地点の脇に、カートの停車場があります。
称名滝周辺の展望台はまでは不規則な石段が続きます。両側にゆるめのロープが張ってありますが、手すりにするには少し心許ないです。
朝、人が少なく静かで滝を満喫するにはとても良い時間帯だったと思います。滝の落水の迫力は言うまでもなく川に流れる水の透明度も素晴らしいです。マイナスイオンをたっぷり浴びることができました。",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
THE BECCHI,5,6 か月前,"10月の三連休最終日、桂台ゲートを7時頃に通過する予定で行きました。駐車場に到着したのが7時10分頃。すでに第一駐車場は満車、第二駐車場も8割埋まっていました。大日岳への登山者が多く占めていたようです。紅葉はまだ。随分寒くなっているので、紅葉が進むとあっという間の感じがします。
遊歩道は、当たり前ながら行きは緩やかな上りです。帰りは緩やかな下り坂。最近電動カートで進むことができるようにもなったようで最終地点の脇に、カートの停車場があります。
称名滝周辺の展望台はまでは不規則な石段が続きます。両側にゆるめのロープが張ってありますが、手すりにするには少し心許ないです。
朝、人が少なく静かで滝を満喫するにはとても良い時間帯だったと思います。滝の落水の迫力は言うまでもなく川に流れる水の透明度も素晴らしいです。マイナスイオンをたっぷり浴びることができました。",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
田村徹,5,2 週間前,"称名滝の落差は約３５０ｍで日本一の落差を誇る滝です。立山連峰の雄山を源流とする称名川が弥陀ヶ原の溶結擬灰岩層を侵食して流れ落ちています。
（称名滝の落差の仕組み）
⦿四段に分かれ、一段目は７０ｍ、二段目は
５８ｍ、三段目は９６ｍ、四段目は１２６ｍの落差があります。
⦿一段目手前の二段の小滝（急落差）３０ｍ
と二段目と三段目間の傾斜４ｍを含めて３５０ｍとされています。
（魅力）
⦿日本一の落差（３５０ｍ）を誇る大瀑布です。
⦿水しぶきをあげながらダイナミックに流れ落ちる様子が圧巻です。
⦿霧に浮かぶ滝は、飛滝となり光を受けて七色の虹を吐く姿が素晴らしいです。
⦿称名滝の鮮やかな紅葉と白く光る滝の幻想的な空間が生まれます。
⦿滝つぼへと注ぐ響きは『日本の音風景百選』にも選ばれています。
（見どころ）
⦿称名滝へ向かう途中にある断崖絶壁『悪城の滝』。
⦿称名川に架かる称名橋から滝つぼを見ることができます。
⦿駐車場から滝まで徒歩で行くため、歩きやすい靴がおすすめです。
⦿滝の下は晴れていても、水しぶきがあるのでレインコートがあると良いでしょう。",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
田村徹,5,2 週間前,"称名滝の落差は約３５０ｍで日本一の落差を誇る滝です。立山連峰の雄山を源流とする称名川が弥陀ヶ原の溶結擬灰岩層を侵食して流れ落ちています。
（称名滝の落差の仕組み）
⦿四段に分かれ、一段目は７０ｍ、二段目は
５８ｍ、三段目は９６ｍ、四段目は１２６ｍの落差があります。
⦿一段目手前の二段の小滝（急落差）３０ｍ
と二段目と三段目間の傾斜４ｍを含めて３５０ｍとされています。
（魅力）
⦿日本一の落差（３５０ｍ）を誇る大瀑布です。
⦿水しぶきをあげながらダイナミックに流れ落ちる様子が圧巻です。
⦿霧に浮かぶ滝は、飛滝となり光を受けて七色の虹を吐く姿が素晴らしいです。
⦿称名滝の鮮やかな紅葉と白く光る滝の幻想的な空間が生まれます。
⦿滝つぼへと注ぐ響きは『日本の音風景百選』にも選ばれています。
（見どころ）
⦿称名滝へ向かう途中にある断崖絶壁『悪城の滝』。
⦿称名川に架かる称名橋から滝つぼを見ることができます。
⦿駐車場から滝まで徒歩で行くため、歩きやすい靴がおすすめです。
⦿滝の下は晴れていても、水しぶきがあるのでレインコートがあると良いでしょう。",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
Amri,5,5 か月前,"文化の日の連休で訪れました。
紅葉が見頃で、景色が本当に美しかったです。

平地では26度ほどの暖かい日でしたが、標高1,000メートルを超える場所なのでひんやり涼しかったです。
上着を持って行くのがいいと思いますが、滝見台まで歩くと良い運動になってぽかぽかしてきます。

駐車場に向かうまでの交通整理で30分ほど待ったので、時間に余裕を持って行かれるのがおすすめです。
駐車場に車を止めてから称名滝までは20分ほどの山道を歩いて到着。
道は舗装されているので、スニーカーであれば問題なく歩けます。",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
Amri,5,5 か月前,"文化の日の連休で訪れました。
紅葉が見頃で、景色が本当に美しかったです。

平地では26度ほどの暖かい日でしたが、標高1,000メートルを超える場所なのでひんやり涼しかったです。
上着を持って行くのがいいと思いますが、滝見台まで歩くと良い運動になってぽかぽかしてきます。

駐車場に向かうまでの交通整理で30分ほど待ったので、時間に余裕を持って行かれるのがおすすめです。
駐車場に車を止めてから称名滝までは20分ほどの山道を歩いて到着。
道は舗装されているので、スニーカーであれば問題なく歩けます。",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
あんこだま,5,5 か月前,"地元の方の案内で10月中旬に伺いました
富山市内から１時間くらいかかりました
駐車場から10分ほど歩きます
とても水が綺麗で感動
登山する方はここから先へ進むようです",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
あんこだま,5,5 か月前,"地元の方の案内で10月中旬に伺いました
富山市内から１時間くらいかかりました
駐車場から10分ほど歩きます
とても水が綺麗で感動
登山する方はここから先へ進むようです",称名滝,"
〒930-1406 富山県中新川郡立山町芦峅寺称名川","
076-462-1001",https://www.info-toyama.com/spot/31003/,"4.6
(671)",Unknown,景勝地,36.575305,137.5234194
