Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
65 tksnszk,5,1 か月前,"7:50に島到着。貸し自転車は9時からなので、歩いて村の中心へ（15分弱かかりました）。
そこから西桟橋へ。
干潮時だったので、そのまま浜伝いにコンドイ浜、星砂浜、カイジ 浜へ回りました。
コンドイ浜ではおそらく干潮時に現れる小さな島が出現していました。

そこから北上して集落内をウロウロ。
ひなびた南国の集落です。
3月は花の咲き始めでしょうか、いろいろな花が景色に彩りを添えてくれていました。

12時台の便なら朝一で観光できます。
7:30発の船で行って、10:50の船で戻ります。
空港バスが11:30で大丈夫なら、ターミナル内でお昼ご飯もいけるでしょう。",竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
65 tksnszk,5,1 か月前,"7:50に島到着。貸し自転車は9時からなので、歩いて村の中心へ（15分弱かかりました）。
そこから西桟橋へ。
干潮時だったので、そのまま浜伝いにコンドイ浜、星砂浜、カイジ 浜へ回りました。
コンドイ浜ではおそらく干潮時に現れる小さな島が出現していました。

そこから北上して集落内をウロウロ。
ひなびた南国の集落です。
3月は花の咲き始めでしょうか、いろいろな花が景色に彩りを添えてくれていました。

12時台の便なら朝一で観光できます。
7:30発の船で行って、10:50の船で戻ります。
空港バスが11:30で大丈夫なら、ターミナル内でお昼ご飯もいけるでしょう。",竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
Ino Tatsy,5,3 か月前,八重山観光のメインとなるのが、竹富島です。伝統的な沖縄の建物が並ぶ島の中心部は、観光のハイライトです。小さな島ですので、徒歩やレンタサイクル、水牛車でのんびり回るのもよし。3月末から綺麗なビーチで海水浴も可能ですし、民家を利用したカフェを巡るのも楽しいです。今回は足早の半日観光でしたが、かつて宿泊した時は夜空の星がものすごく綺麗でした。夕日と夜空を見にまた来たいです。,竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
Ino Tatsy,5,3 か月前,八重山観光のメインとなるのが、竹富島です。伝統的な沖縄の建物が並ぶ島の中心部は、観光のハイライトです。小さな島ですので、徒歩やレンタサイクル、水牛車でのんびり回るのもよし。3月末から綺麗なビーチで海水浴も可能ですし、民家を利用したカフェを巡るのも楽しいです。今回は足早の半日観光でしたが、かつて宿泊した時は夜空の星がものすごく綺麗でした。夕日と夜空を見にまた来たいです。,竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
yoshiya _i,5,3 か月前,予約なしでの竹富島でしたが、着いたらバスが待っていますが、歩いて15分くらいで集落に着くので天気良ければ歩いて散策していくのがおすすめです。集落に入ると、小学校の手前を右に曲がると水牛センターが見えてきます。まずは、水牛に乗って回ってからのレンタルサイクルがおすすめ。レンタルサイクルは集落内に2件あるのでどちらでも良いかな。歩いて島内を回っている人もいますが、断然自転車がおすすめ。そして電動が。,竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
yoshiya _i,5,3 か月前,予約なしでの竹富島でしたが、着いたらバスが待っていますが、歩いて15分くらいで集落に着くので天気良ければ歩いて散策していくのがおすすめです。集落に入ると、小学校の手前を右に曲がると水牛センターが見えてきます。まずは、水牛に乗って回ってからのレンタルサイクルがおすすめ。レンタルサイクルは集落内に2件あるのでどちらでも良いかな。歩いて島内を回っている人もいますが、断然自転車がおすすめ。そして電動が。,竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
トムミドル,4,5 か月前,"これぞ南国！イメージしていたような沖縄が存分に楽しめました。
竹富島はそんなに坂がないので、普通の自転車でも1時間ちょっとで主なスポットは行けました！",竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
トムミドル,4,5 か月前,"これぞ南国！イメージしていたような沖縄が存分に楽しめました。
竹富島はそんなに坂がないので、普通の自転車でも1時間ちょっとで主なスポットは行けました！",竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
てらちゃん,5,2 か月前,THE沖縄！！昔からの沖縄の建物が残っているだけでなく現在も住人の方々で住まれている場所。その上で大切になってくるのは観光名所でありながら住人の方々の協力があっての観光名所となっているので住人の方への配慮をしながら楽しみたいものです。港からはバスなども出ていますが徒歩で歩きながら村へ行くのも楽しめますよ。水牛も見る事ができますし数多くのドラマや映画の舞台ともなっているので昔見た作品のことも思いながら歩いていて楽しかったですね。この良さが残り続ければ良いなと思います。,竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
てらちゃん,5,2 か月前,THE沖縄！！昔からの沖縄の建物が残っているだけでなく現在も住人の方々で住まれている場所。その上で大切になってくるのは観光名所でありながら住人の方々の協力があっての観光名所となっているので住人の方への配慮をしながら楽しみたいものです。港からはバスなども出ていますが徒歩で歩きながら村へ行くのも楽しめますよ。水牛も見る事ができますし数多くのドラマや映画の舞台ともなっているので昔見た作品のことも思いながら歩いていて楽しかったですね。この良さが残り続ければ良いなと思います。,竹富島,"
〒907-1101 沖縄県八重山郡竹富町竹富",Unknown,Unknown,"4.6
(435)",Unknown,島,24.3261142,124.0890235
