Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
MARH.,4,1 年前,"大々大都会のオアシス🏝️

六本木ヒルズのクリスマスマーケットへ行く前に、少々遊び拵えをするため寄りました⛲

小振りながら刺激的な複合遊具や、こんなビル群の合間にターザンロープまであるなんて🤯

通りの反対側にあるタワマンの住人や地域の方々にとっても貴重な存在ですね！

それにしても、土地柄でしょうが、品のあるママさんたちの多いこと🤩

子供にモンクレールのダウンを着せているなんて🤑🤑🤑

と、我が街とのヒエラルキーの差にツレが驚いてました🤯🤑🤯

平日お昼前ですが、近くのインターの園児がチラホラいましたが、ちょっと乱暴な感じかな🤔。

乾燥した強い風で竜巻のような砂埃が舞って目が痛かったですが、楽しませていただきました🤗

目の前の大通りに60分前払いの路上駐車スペースがあるのも良き🥳

【訪問日:2023年12月】",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
MARH.,4,1 年前,"大々大都会のオアシス🏝️

六本木ヒルズのクリスマスマーケットへ行く前に、少々遊び拵えをするため寄りました⛲

小振りながら刺激的な複合遊具や、こんなビル群の合間にターザンロープまであるなんて🤯

通りの反対側にあるタワマンの住人や地域の方々にとっても貴重な存在ですね！

それにしても、土地柄でしょうが、品のあるママさんたちの多いこと🤩

子供にモンクレールのダウンを着せているなんて🤑🤑🤑

と、我が街とのヒエラルキーの差にツレが驚いてました🤯🤑🤯

平日お昼前ですが、近くのインターの園児がチラホラいましたが、ちょっと乱暴な感じかな🤔。

乾燥した強い風で竜巻のような砂埃が舞って目が痛かったですが、楽しませていただきました🤗

目の前の大通りに60分前払いの路上駐車スペースがあるのも良き🥳

【訪問日:2023年12月】",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
Holly Cowher,3,8 か月前,"トイレが男子は地上（道路側）、女性＆子供は公園内（階段上）と別れています。
場所柄、タクシードライバーのオアシス的な感じ。
公園機能も辞意実しているので、子供たちも遊べる所。",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
Holly Cowher,3,8 か月前,"トイレが男子は地上（道路側）、女性＆子供は公園内（階段上）と別れています。
場所柄、タクシードライバーのオアシス的な感じ。
公園機能も辞意実しているので、子供たちも遊べる所。",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
んじじー,3,3 年前,都心では珍しくアスレチックの遊具が本格的です。ブランコも砂場も大きい。ただ、天気が悪くてもそれなりに人がおり、良い休日なんかには信じられないほど混みます。すぐ隣にピザ屋とスーパーがあるのでお菓子や食べ物買ってから公園でゆっくりしたり、子どもは公園で遊ばせて親が買い物なんて方もいます。大きな通り沿いに面してますが塀と崖でしきられており飛び出しの心配はありません。駅から遠いのでわざわざ来ないと思いますが、レアなターザンロープ目的で遊びに来て、混んでたり飽きたりしたら有栖川公園に逃げるようなことが良さそうです。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
んじじー,3,3 年前,都心では珍しくアスレチックの遊具が本格的です。ブランコも砂場も大きい。ただ、天気が悪くてもそれなりに人がおり、良い休日なんかには信じられないほど混みます。すぐ隣にピザ屋とスーパーがあるのでお菓子や食べ物買ってから公園でゆっくりしたり、子どもは公園で遊ばせて親が買い物なんて方もいます。大きな通り沿いに面してますが塀と崖でしきられており飛び出しの心配はありません。駅から遠いのでわざわざ来ないと思いますが、レアなターザンロープ目的で遊びに来て、混んでたり飽きたりしたら有栖川公園に逃げるようなことが良さそうです。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
Yosi o'yama,4,2 か月前,"広くて陽当たりが良く日向ぼっこするには良いところ
子供達も沢山遊んでいるので、苦手な方は子供達のいない時頃が良いかと
この字読めませんよね(笑)",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
Yosi o'yama,4,2 か月前,"広くて陽当たりが良く日向ぼっこするには良いところ
子供達も沢山遊んでいるので、苦手な方は子供達のいない時頃が良いかと
この字読めませんよね(笑)",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
Mr Gon,4,5 年前,広尾駅から徒歩で5～6分の場所に有る。沿革によると、この辺りは以前有った笄橋にちなんで笄町（こうがいちょう）と呼んでいたそうです。解放感の在る公園で大勢の子どもが遊んでいます。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
Mr Gon,4,5 年前,広尾駅から徒歩で5～6分の場所に有る。沿革によると、この辺りは以前有った笄橋にちなんで笄町（こうがいちょう）と呼んでいたそうです。解放感の在る公園で大勢の子どもが遊んでいます。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
十時正和,3,1 年前,トイレ、時計、ベンチ、ブランコ、鉄棒砂場、滑り台等が有ります,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
十時正和,3,1 年前,トイレ、時計、ベンチ、ブランコ、鉄棒砂場、滑り台等が有ります,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
インフィールド,4,1 年前,"ターザンロープ、アスレティック的な遊具もあって人気の公園です。
場所柄、多国籍な子供達で賑わってます。",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
インフィールド,4,1 年前,"ターザンロープ、アスレティック的な遊具もあって人気の公園です。
場所柄、多国籍な子供達で賑わってます。",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
YUKIYOSI HIRANUMA,3,7 年前,"遊具が充実しており、また砂場は犬猫が進入して糞尿しないようにフェンスで囲って有ります。保母さんに引率された園児や幼稚園帰り母子が大勢遊んでます。約20名分のベンチが備えられいますが、いわゆる路上生活者はいません。
冬場は日だまりが心地よいのですが、夏場は木陰がなくまた雨を凌げる四阿山が無いのが－☆です。",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
YUKIYOSI HIRANUMA,3,7 年前,"遊具が充実しており、また砂場は犬猫が進入して糞尿しないようにフェンスで囲って有ります。保母さんに引率された園児や幼稚園帰り母子が大勢遊んでます。約20名分のベンチが備えられいますが、いわゆる路上生活者はいません。
冬場は日だまりが心地よいのですが、夏場は木陰がなくまた雨を凌げる四阿山が無いのが－☆です。",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
河畠俊篤,3,2 年前,子供たちを、遊ばせるには良いところです。外国の、子供たちも、多くあそんでいます。女性トイレは、綺麗ですが、男性用は、和式トイレで、良くありません。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
河畠俊篤,3,2 年前,子供たちを、遊ばせるには良いところです。外国の、子供たちも、多くあそんでいます。女性トイレは、綺麗ですが、男性用は、和式トイレで、良くありません。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
エスミ,4,5 年前,"子供が多く遊んでいます
親も安心して見守れるようにベンチも多く設置してあります
砂場が大きいです
大型の遊具もあり順番待ちをしている子供もいます
地域に親しまれている公園だと思います。

水場あり。男女トイレあり",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
エスミ,4,5 年前,"子供が多く遊んでいます
親も安心して見守れるようにベンチも多く設置してあります
砂場が大きいです
大型の遊具もあり順番待ちをしている子供もいます
地域に親しまれている公園だと思います。

水場あり。男女トイレあり",笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
tatu,3,3 年前,街中にあるわりと大きな公園です。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
tatu,3,3 年前,街中にあるわりと大きな公園です。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
平林雅和,5,7 年前,いつもお世話になっております。インターナショナルな感じもあり、お行儀もよく、キレイで、都会的な感じがします。こんな都会のど真ん中にターザンなどのアスレチック遊具があり、幼児や児童が安全に遊べるスペースがあることに感謝しております。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
平林雅和,5,7 年前,いつもお世話になっております。インターナショナルな感じもあり、お行儀もよく、キレイで、都会的な感じがします。こんな都会のど真ん中にターザンなどのアスレチック遊具があり、幼児や児童が安全に遊べるスペースがあることに感謝しております。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
松本桂子,5,2 年前,木々に囲まれ遊具は、沢山あります。港区には　バラエティー豊かな公園があり、元気な子供達の声が　楽しいです。,笄公園,"
〒106-0031 東京都港区西麻布３丁目１２−１","
03-5114-8803",http://www.city.minato.tokyo.jp/shisetsu/koen/azabu/04.html,"3.9
(325)",Unknown,公園,35.0094597,136.0775752
