Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
阪井忠好,5,5 か月前,"娘が見たいと言うので、久しぶりに行ってきました。先日からの雨で水量も多く　迫力が増していました　本当に綺麗でした
国道から１０ｋｍ　道のりは１３㌔近くｗ　狭い道をどんどん行きます",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
阪井忠好,5,5 か月前,"娘が見たいと言うので、久しぶりに行ってきました。先日からの雨で水量も多く　迫力が増していました　本当に綺麗でした
国道から１０ｋｍ　道のりは１３㌔近くｗ　狭い道をどんどん行きます",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
yoggy camp (ヨギーキャンプ),5,1 年前,"五條ICから約2時間かかります。
160号線で谷瀬や十津川に向かいます。
谷瀬の吊り橋からも1時間かかります。
日帰りで行くのは大変です。
道は160号から分岐して1本道ですが途中で狭くなるので大型車などは難しいです。路面は悪くないのでバイクは通行できます。
滝の入り口にトイレと駐車場があります。無料です。
滝の入り口から10分程度の遊歩道を通ります。
岩のトンネルをくぐったり、鎖があるところを進みます。
登山靴があった方が良いです。
滝壺の近くまで行くことができます。
綺麗な写真を撮る場合は川を横切る必要があるので
マリンシューズなども持っているよ良いです。
滝は落差32mで日本の滝百選にも入っています。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
yoggy camp (ヨギーキャンプ),5,1 年前,"五條ICから約2時間かかります。
160号線で谷瀬や十津川に向かいます。
谷瀬の吊り橋からも1時間かかります。
日帰りで行くのは大変です。
道は160号から分岐して1本道ですが途中で狭くなるので大型車などは難しいです。路面は悪くないのでバイクは通行できます。
滝の入り口にトイレと駐車場があります。無料です。
滝の入り口から10分程度の遊歩道を通ります。
岩のトンネルをくぐったり、鎖があるところを進みます。
登山靴があった方が良いです。
滝壺の近くまで行くことができます。
綺麗な写真を撮る場合は川を横切る必要があるので
マリンシューズなども持っているよ良いです。
滝は落差32mで日本の滝百選にも入っています。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
Chao,5,11 か月前,"車で来れますが、道が狭いので、落石が多いためお勧めしたいです。着いたら駐車場ありますけど、４台ほどしか止まりません。
最後の5キロは大変でしたが、滝まで1キロの道路は若干幅が広くなって、走りやすくなった気がします。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
Chao,5,11 か月前,"車で来れますが、道が狭いので、落石が多いためお勧めしたいです。着いたら駐車場ありますけど、４台ほどしか止まりません。
最後の5キロは大変でしたが、滝まで1キロの道路は若干幅が広くなって、走りやすくなった気がします。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
博史,5,1 年前,"墓参りの帰り道、寄り道？して久しぶりに笹の滝迄、行きました。
昨日までの雨で水量は多かったです。
1の滝、2の滝、3の滝が、ありますよ。
上まで行けますが足場が悪いので気をつけましょう。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
博史,5,1 年前,"墓参りの帰り道、寄り道？して久しぶりに笹の滝迄、行きました。
昨日までの雨で水量は多かったです。
1の滝、2の滝、3の滝が、ありますよ。
上まで行けますが足場が悪いので気をつけましょう。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
ktm,5,8 か月前,"国道からそれて10kmほど細い山道を走ります。対向車が来たら泣くほど狭いですが、待避所が多くあるので安心。
上には少し駐車できるスペースとトイレがあります。
車を降りると徒歩で鎖場を上がっていく必要があるので覚悟が必要。
その先の滝と清流は見応えあり。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
ktm,5,8 か月前,"国道からそれて10kmほど細い山道を走ります。対向車が来たら泣くほど狭いですが、待避所が多くあるので安心。
上には少し駐車できるスペースとトイレがあります。
車を降りると徒歩で鎖場を上がっていく必要があるので覚悟が必要。
その先の滝と清流は見応えあり。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
Monster ZDM904,4,2 年前,国道168号線から林道へと向かいますが、勾配のある急カーブの交差点なので注意してください。林道へは10キロ強の走行となりますが１キロ毎に案内坂があるので迷うことはありません。他の方の書き込みにあるように林道はとても狭く、見通しの効かないカーブの連続です。自分の存在を早めに認識してもらうためにもライトを付けて走行するようにしてください。滝の入口周辺には５～６台位の駐車スペースとトイレも常設されているので安心ですね。滝までは遊歩道を５分も登れば滝を拝めることができます。滝百選だけあって勢いのある滝です。苔た岩場や樹木、前衛滝にナメなど主瀑を引き立てる環境はどこから観ていても飽きません。滝好きで無くてもいろいろな立ち位置で楽しめそうですが、滑りやすいので足元は注意です。,笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
Monster ZDM904,4,2 年前,国道168号線から林道へと向かいますが、勾配のある急カーブの交差点なので注意してください。林道へは10キロ強の走行となりますが１キロ毎に案内坂があるので迷うことはありません。他の方の書き込みにあるように林道はとても狭く、見通しの効かないカーブの連続です。自分の存在を早めに認識してもらうためにもライトを付けて走行するようにしてください。滝の入口周辺には５～６台位の駐車スペースとトイレも常設されているので安心ですね。滝までは遊歩道を５分も登れば滝を拝めることができます。滝百選だけあって勢いのある滝です。苔た岩場や樹木、前衛滝にナメなど主瀑を引き立てる環境はどこから観ていても飽きません。滝好きで無くてもいろいろな立ち位置で楽しめそうですが、滑りやすいので足元は注意です。,笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
にゃんこまま,4,1 年前,"平日に行ったせいか、すれ違う車もなく、どんどん山道を走るので「ほんとに着くのだろうか⁉️」と不安げに車を走らせましたが、当然ですが、ちゃんと着きました。
数台置ける駐車場から滝まで歩きますが、滑らないスニーカー等の靴がオススメ。
なかなかの滝でした。",笹ノ滝,"
〒637-1212 奈良県吉野郡十津川村内原",Unknown,Unknown,"4.5
(111)",Unknown,滝,34.0604903,135.8593276
