Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
やなきち,5,1 か月前,"夫の百箇日法要と納骨式をお願いしました。住職、副住職は御兄弟だからでしょうか。息のあったお経が素晴らしかったです。現代語訳付きの経本もいいですね。

初めての喪主・施主でわからないことだらけでしたが、丁寧に教えていただき助かりました。お世話になりました。これからもよろしくお願いします。",等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
やなきち,5,1 か月前,"夫の百箇日法要と納骨式をお願いしました。住職、副住職は御兄弟だからでしょうか。息のあったお経が素晴らしかったです。現代語訳付きの経本もいいですね。

初めての喪主・施主でわからないことだらけでしたが、丁寧に教えていただき助かりました。お世話になりました。これからもよろしくお願いします。",等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
ヒロシ“KoZ”,5,9 年前,"下谷の等覺寺 日根正朗の由縁地
日根略系（東大史料編纂所影写本）に弘就の三男，弘正に始まる家系．徳川幕府旗本．日根を名乗る．
「寛政重修諸家譜巻」第十五　三四〇参照．初代弘正と二代目正吉が和泉国日根郡に蟄居とある．",等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
ヒロシ“KoZ”,5,9 年前,"下谷の等覺寺 日根正朗の由縁地
日根略系（東大史料編纂所影写本）に弘就の三男，弘正に始まる家系．徳川幕府旗本．日根を名乗る．
「寛政重修諸家譜巻」第十五　三四〇参照．初代弘正と二代目正吉が和泉国日根郡に蟄居とある．",等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
neko cat,5,6 年前,落ち着いた寺院と気さくな住職さんたち。癒される雰囲気が好きです。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
neko cat,5,6 年前,落ち着いた寺院と気さくな住職さんたち。癒される雰囲気が好きです。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
近間隆治,3,4 年前,お寺のまわりは昭和の匂いが漂う町並みです,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
近間隆治,3,4 年前,お寺のまわりは昭和の匂いが漂う町並みです,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
J. MANO,5,6 年前,厳かな　浄土真宗大谷派のお寺です,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
J. MANO,5,6 年前,厳かな　浄土真宗大谷派のお寺です,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
Yoshihisa,4,2 年前,浄土真宗大谷派のお寺さんです。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
Yoshihisa,4,2 年前,浄土真宗大谷派のお寺さんです。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
秋葉けんた,4,5 年前,静かで落ち着く本堂。住職のお経を読む声がいいらしい。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
秋葉けんた,4,5 年前,静かで落ち着く本堂。住職のお経を読む声がいいらしい。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
七海渡,4,6 年前,奥に素敵なペットの供養墓があります。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
七海渡,4,6 年前,奥に素敵なペットの供養墓があります。,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
Jeff Hogue,5,6 年前,親切で魅力的な多世代の家族がこの寺院の世話をしており、私たちを歓迎し、その伝統について説明してくれる素晴らしいもてなしを示してくれました。  これは数百年前からある近所の寺院で、近代化されて清潔な集会場もあり、今でも地域社会で実際に使用されています。 …,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
Jeff Hogue,5,6 年前,親切で魅力的な多世代の家族がこの寺院の世話をしており、私たちを歓迎し、その伝統について説明してくれる素晴らしいもてなしを示してくれました。  これは数百年前からある近所の寺院で、近代化されて清潔な集会場もあり、今でも地域社会で実際に使用されています。 …,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
happy O-sora,5,1 か月前,      1 か月前,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
happy O-sora,5,1 か月前,      1 か月前,等覚寺,"
〒111-0041 東京都台東区元浅草２丁目１０−１７","
03-3841-2844",http://tokakuji.com/,"4.2
(20)",営業時間を追加,〒111-0041 東京都台東区元浅草２丁目１０−１７,35.7068456,139.190594
