Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
A Watanabe,5,1 週間前,"大川側の駐車場は広々と余裕がありました。
橋の中央部に管理人がおられ、橋を上下させながら解説していただけます。
この橋は汽車専用のものだったようで、汽車通過時間以外は常に上がっていたようです。
蒸気機関車、ディーゼル、最後は歩行者専用の橋となりました。
潮風を感じながらの散歩は最高でした。",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
A Watanabe,5,1 週間前,"大川側の駐車場は広々と余裕がありました。
橋の中央部に管理人がおられ、橋を上下させながら解説していただけます。
この橋は汽車専用のものだったようで、汽車通過時間以外は常に上がっていたようです。
蒸気機関車、ディーゼル、最後は歩行者専用の橋となりました。
潮風を感じながらの散歩は最高でした。",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
H.T,5,4 か月前,"2023年3月4日に訪問

現存する国内唯一最古の昇開式可動橋です。
国鉄佐賀線の鉄道橋として昭和10年に架設。
昭和62年に国鉄佐賀線が廃止となりましたが、この橋は残り、平成8年4月に遊歩道として開通し現在に至ります。
平成8年12月　国登録文化財登録
平成15年5月　重要文化財指定
平成19年8月　機械遺産認定

歴史的にも貴重な近代産業遺産で、現在でも可動し、可動橋は通常上がっている状態です。

近くには駐車場、トイレもあり、歩きやすい場所です。
もちろん無料で通行することができ、橋を管理している人もいて、橋を可動させて見せてくれます。",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
H.T,5,4 か月前,"2023年3月4日に訪問

現存する国内唯一最古の昇開式可動橋です。
国鉄佐賀線の鉄道橋として昭和10年に架設。
昭和62年に国鉄佐賀線が廃止となりましたが、この橋は残り、平成8年4月に遊歩道として開通し現在に至ります。
平成8年12月　国登録文化財登録
平成15年5月　重要文化財指定
平成19年8月　機械遺産認定

歴史的にも貴重な近代産業遺産で、現在でも可動し、可動橋は通常上がっている状態です。

近くには駐車場、トイレもあり、歩きやすい場所です。
もちろん無料で通行することができ、橋を管理している人もいて、橋を可動させて見せてくれます。",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
浅辺雅史,5,5 か月前,"佐賀から熊本方面に向かう際に、珍しい昇開橋が見えたので、吸い込まれる様に立ち寄りました。

国鉄民営化の前に廃線となった佐賀線。

筑後川をまたぐ筑後川昇開橋は、舟運との共存で、橋桁の一部が垂直方向に上下する昇開橋。

日本で現存する最古の昇開橋です。

現在では遊歩道となっています。

なんと！今でも稼働するとの事です！！
マジにロマンがあるな〜。

夕暮れ時にはライトアップされる観光名所となっています。素敵です！",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
浅辺雅史,5,5 か月前,"佐賀から熊本方面に向かう際に、珍しい昇開橋が見えたので、吸い込まれる様に立ち寄りました。

国鉄民営化の前に廃線となった佐賀線。

筑後川をまたぐ筑後川昇開橋は、舟運との共存で、橋桁の一部が垂直方向に上下する昇開橋。

日本で現存する最古の昇開橋です。

現在では遊歩道となっています。

なんと！今でも稼働するとの事です！！
マジにロマンがあるな〜。

夕暮れ時にはライトアップされる観光名所となっています。素敵です！",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
TAKEDA ATSUSHI,5,4 か月前,かつて鉄道橋だったものを、廃線になったので歩道橋にしたそうです。今では、もっぱら観光客向けに橋を上げ下げしているそうで、人がある程度集まったところでやっていただけました。ちょっとした記念品も販売してました。駐車場もあるので車でも行けます。,筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
TAKEDA ATSUSHI,5,4 か月前,かつて鉄道橋だったものを、廃線になったので歩道橋にしたそうです。今では、もっぱら観光客向けに橋を上げ下げしているそうで、人がある程度集まったところでやっていただけました。ちょっとした記念品も販売してました。駐車場もあるので車でも行けます。,筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
jump1612jp,5,3 か月前,"ドロンパで買い物の後車を止めさせていただき、佐賀県側から中央まで行きました、風が強くて寒かったのでそこまで💦渡っているとあまりかたちなどがわかりにくいので、橋の駅ドロンパより北の方へ川沿いを歩き全体を見ました凄いですね〜！お宝です！
次回は中洲のもうな場所があるのでそこで見たいです、今回は時間なく断念、また来まーす♪ …",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
jump1612jp,5,3 か月前,"ドロンパで買い物の後車を止めさせていただき、佐賀県側から中央まで行きました、風が強くて寒かったのでそこまで💦渡っているとあまりかたちなどがわかりにくいので、橋の駅ドロンパより北の方へ川沿いを歩き全体を見ました凄いですね〜！お宝です！
次回は中洲のもうな場所があるのでそこで見たいです、今回は時間なく断念、また来まーす♪ …",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
神風特攻,5,1 か月前,"ちょうど夕日が沈み始めた頃に行ったのでライトアップも見れました！
２６年ぶりくらいにこの地に来ました
若い頃を想い出しライトアップも楽しめました(⁠ノ⁠^⁠_⁠^⁠)⁠ノ",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
神風特攻,5,1 か月前,"ちょうど夕日が沈み始めた頃に行ったのでライトアップも見れました！
２６年ぶりくらいにこの地に来ました
若い頃を想い出しライトアップも楽しめました(⁠ノ⁠^⁠_⁠^⁠)⁠ノ",筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
畑沢虎雄,5,3 か月前,2025年1月19日立寄り。予想を上回る大きさ。昇降機構をまじかでみることが可能である。昇降の時間（予定）をわかりやすく表示してもらえると、昇降そのものを効率的にみることができるので助かる。,筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
畑沢虎雄,5,3 か月前,2025年1月19日立寄り。予想を上回る大きさ。昇降機構をまじかでみることが可能である。昇降の時間（予定）をわかりやすく表示してもらえると、昇降そのものを効率的にみることができるので助かる。,筑後川昇開橋,"
〒840-2102 佐賀県佐賀市諸富町大字為重地先","
0944-87-9919",https://www.shoukaikyou.com/,"4.4
(320)",Unknown,橋,33.214726,130.3623332
