Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ysnr39,4,4 か月前,日曜日の夜に久し振りに行って来ました。19時半ごろで、入口には混雑中の看板がありました。浴槽数も広さもそんなにないので厳しいかなと思ったのですが、丁度よく空いてきたところらしく数人のみの入浴だったのでゆっくりできました。,箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
ysnr39,4,4 か月前,日曜日の夜に久し振りに行って来ました。19時半ごろで、入口には混雑中の看板がありました。浴槽数も広さもそんなにないので厳しいかなと思ったのですが、丁度よく空いてきたところらしく数人のみの入浴だったのでゆっくりできました。,箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
neristajapan,4,7 か月前,"土曜日に行きましたが、そんなに混んでなかった。
箱根温泉、中はそんなに広くないですが、周りに沢山あるので穴場です。
料金若干高いですが、お風呂は露天が広くて気持ちいい。
サウナは無い、休憩所広く、のんびり休める、飲食持ち込み良いそうです。",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
neristajapan,4,7 か月前,"土曜日に行きましたが、そんなに混んでなかった。
箱根温泉、中はそんなに広くないですが、周りに沢山あるので穴場です。
料金若干高いですが、お風呂は露天が広くて気持ちいい。
サウナは無い、休憩所広く、のんびり休める、飲食持ち込み良いそうです。",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
come come,4,1 か月前,"リピートさせてもらいました！
日帰り入浴を利用しています。
湯加減も良く、泉質も良さそうです！
内風呂は少し熱め、露天は広々としていて気持ちよく長風呂できます。
サウナ好きとしては、サウナ無い点が惜しいですが温泉を楽しむ意味では非常に良いと思います。

施設自体は古めで、脱衣所は簡易的な洗面台が2つ。イスはあったり、無かったり。

裏手に喫煙所がありますが、裏口からスリッパで行けるように鍵が空いています。
建物裏に車駐車して裏口から無賃で侵入して、温泉に入って行ったおばさんが居ました。それは普通に犯罪だと思うので、監視した方が良いと思います。",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
come come,4,1 か月前,"リピートさせてもらいました！
日帰り入浴を利用しています。
湯加減も良く、泉質も良さそうです！
内風呂は少し熱め、露天は広々としていて気持ちよく長風呂できます。
サウナ好きとしては、サウナ無い点が惜しいですが温泉を楽しむ意味では非常に良いと思います。

施設自体は古めで、脱衣所は簡易的な洗面台が2つ。イスはあったり、無かったり。

裏手に喫煙所がありますが、裏口からスリッパで行けるように鍵が空いています。
建物裏に車駐車して裏口から無賃で侵入して、温泉に入って行ったおばさんが居ました。それは普通に犯罪だと思うので、監視した方が良いと思います。",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
zuri san,4,2 週間前,"地元の利用客も多いようで、そばやうどんの軽食がリーズナブル。
カレーそばは美味しくてボリュームあり。
3時間ほど休憩部屋を借りました。
スタッフの方々が親切で気持ちの良い施設。
全体的に清潔感があります。",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
zuri san,4,2 週間前,"地元の利用客も多いようで、そばやうどんの軽食がリーズナブル。
カレーそばは美味しくてボリュームあり。
3時間ほど休憩部屋を借りました。
スタッフの方々が親切で気持ちの良い施設。
全体的に清潔感があります。",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
TGT MO,5,5 か月前,"ノスタルジーな雰囲気で落ち着く空間とリーズナブルな値段が気に入りました！
アソビューでチケット買うと少しお得になりますよ👍",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
TGT MO,5,5 か月前,"ノスタルジーな雰囲気で落ち着く空間とリーズナブルな値段が気に入りました！
アソビューでチケット買うと少しお得になりますよ👍",箱根の湯,"
〒250-0312 神奈川県足柄下郡箱根町湯本茶屋１００−１","
0460-85-8080",http://www.hakonenoyu.co.jp/,"4.0
(1,622)",Unknown,日帰り温泉,35.23143,139.0891029
