Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
n M,5,2 か月前,オンラインメインで購入していましたが、東京に行くと必ずお米やおにぎりを買いにお店に伺います。お米の研ぎ方や土鍋での焚き火を親切に教えて下さり、お米の硬さを伝えるとドンピシャで美味しい好みのお米‼️感動しました。近々東京に行くので久しぶりにお店に行くのが本当に楽しみです😊 …,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
n M,5,2 か月前,オンラインメインで購入していましたが、東京に行くと必ずお米やおにぎりを買いにお店に伺います。お米の研ぎ方や土鍋での焚き火を親切に教えて下さり、お米の硬さを伝えるとドンピシャで美味しい好みのお米‼️感動しました。近々東京に行くので久しぶりにお店に行くのが本当に楽しみです😊 …,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
Riki Kobayashi,5,2 年前,"偶然訪れたお米屋さん

近くで仕事があり

コンビニに昼食を買いに寄ろうとしていたら

お米屋さんのお弁当

この言葉に魅かれて

お店に入りました。

確かに弁当は安くて美味しかったですが

米の種類がすごい

そして

わかりやすく説明書きが

その場で精米（今回は七分づき）
胚芽が残った感じではがしてもらいました！

東京で
この価格で

ピンキリたくさん置いてました

お手頃から攻めてみます。

楽しみなお店です。",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
Riki Kobayashi,5,2 年前,"偶然訪れたお米屋さん

近くで仕事があり

コンビニに昼食を買いに寄ろうとしていたら

お米屋さんのお弁当

この言葉に魅かれて

お店に入りました。

確かに弁当は安くて美味しかったですが

米の種類がすごい

そして

わかりやすく説明書きが

その場で精米（今回は七分づき）
胚芽が残った感じではがしてもらいました！

東京で
この価格で

ピンキリたくさん置いてました

お手頃から攻めてみます。

楽しみなお店です。",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
いしだ先生,5,4 年前,創業70周年こだわり🌾農家直送米を扱う篠原ライスさん。全国から拘りの生産農家さんからの最高級米を扱っています。本物のお米を食べたい方は通信販売もされてるそうです。ぜひご利用なさっては如何でしょうか。今日は保存料が入っていない搗き立て餅を買わせて頂きました。帰ったら早速いただきまーす‼️ …,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
いしだ先生,5,4 年前,創業70周年こだわり🌾農家直送米を扱う篠原ライスさん。全国から拘りの生産農家さんからの最高級米を扱っています。本物のお米を食べたい方は通信販売もされてるそうです。ぜひご利用なさっては如何でしょうか。今日は保存料が入っていない搗き立て餅を買わせて頂きました。帰ったら早速いただきまーす‼️ …,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
w177,1,2 か月前,"店員のおばさん、やる気ないならやめたら？教育受けてこなかったのかな
値段も高い
スーパーバリューで1000円安く売ってました",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
w177,1,2 か月前,"店員のおばさん、やる気ないならやめたら？教育受けてこなかったのかな
値段も高い
スーパーバリューで1000円安く売ってました",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
渡辺〇男,1,8 か月前,"店主の態度かイマイチ過ぎて
二度と行かない。

先客の精米待ちであった為
色々と物色。

順番になり　種類多いため迷い
お勧めを確認。

どれもオススメと返答。

と　ここまでは良いが

客個人の好みあるからと
米屋のウンチク語りだし
まるで説教まがい。

呆れたので　無難に新潟のコシヒカリを
選ぶと今度は　去年の冷害で味が
イマイチとケチを付け始める始末。

客に何を選んで貰ったら満足なのか？
が不明だが　取り敢えずそのまま
押し通す形で　コシヒカリを購入。

米屋が衰退する理由とは
こーいうのもあるなと思い
十条の米屋にハシゴした。

店主悪ければ　味がもそれなり
緊急用の米として　今も開封は
していない。",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
渡辺〇男,1,8 か月前,"店主の態度かイマイチ過ぎて
二度と行かない。

先客の精米待ちであった為
色々と物色。

順番になり　種類多いため迷い
お勧めを確認。

どれもオススメと返答。

と　ここまでは良いが

客個人の好みあるからと
米屋のウンチク語りだし
まるで説教まがい。

呆れたので　無難に新潟のコシヒカリを
選ぶと今度は　去年の冷害で味が
イマイチとケチを付け始める始末。

客に何を選んで貰ったら満足なのか？
が不明だが　取り敢えずそのまま
押し通す形で　コシヒカリを購入。

米屋が衰退する理由とは
こーいうのもあるなと思い
十条の米屋にハシゴした。

店主悪ければ　味がもそれなり
緊急用の米として　今も開封は
していない。",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
篠原利久,5,1 か月前,毎日が美味しいで溢れます。,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
篠原利久,5,1 か月前,毎日が美味しいで溢れます。,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
窪田智浩,5,5 か月前,最高の米屋さんです とても美味しいお米 種類豊富 親切丁寧,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
窪田智浩,5,5 か月前,最高の米屋さんです とても美味しいお米 種類豊富 親切丁寧,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
吉田勝彦,5,5 か月前,"1kg、610円、5kg、で、3050円。
幡ヶ谷、サンディ、では、5kg、3022円。",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
吉田勝彦,5,5 か月前,"1kg、610円、5kg、で、3050円。
幡ヶ谷、サンディ、では、5kg、3022円。",篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
T S,5,7 か月前,とても品質の良いお米を扱っているお店です。,篠原ライス,"
〒114-0001 東京都北区東十条６丁目７−５","
03-3902-4588",https://shinohararice.com/,"4.1
(26)",Unknown,〒114-0001 東京都北区東十条６丁目７−５,35.7718172,139.6495348
